Role,Dialogue
피해자,네 여보세요.
사기범,네 여보세요? 네 OOO 고객님 맞으시죠?
피해자,네 맞아요.
사기범,네 고객님 안녕하세요. 현대 캐피탈 결제 부서에 김고은 과장입니다.
피해자,네 안녕하세요.
사기범,"네 네 안녕하세요. 잠시 송금 건 땜에 늦은 시간에 연락을 좀 드렸는데요, 어 지금 현재 통화 불편하신 건 없으시죠?"
피해자,"아니요, 기다리고 있었어요."
사기범,아 기다리셨어요? 간단한 개인 신원 확인 차 생년월일 앞자리까지만 빠르게 확인 한번 부탁드릴게요.
피해자,예 OOOOOO
사기범,네 이용하신 핸드폰은 고객님 본인 명의로 이용하시구요?
피해자,네
사기범,네 지금 이용하시는 핸드폰은 엘지 유플러스로 확인되시는데 맞으시고요?
피해자,아 네 맞아요.
사기범,네 저희도 자금 수령하신 계좌 번호만 고객님께서 확인 한번 좀 부탁드리겠습니다.
피해자,네 국민은행
사기범,"네, OOO"
피해자,"네, 맞아요."
사기범,"국민 은행 동일 계좌로 자동 이체 설정해 주셨구요, 매월 납부 일은 십일일로 지정해 주셨어요 고객님."
피해자,네 맞아요.
사기범,"네 일단 저희 쪽 승인 자금 자체는 이천 삼백만원 이시구요. 금리 팔점 팔 프로 적용되셔서 오년 상환 동안 납부하시면은 월 이자 원금 이자 포함하신 금액은요, 사십칠만 오천이백십삼 원이셨는데요, 지금 요거 증액되신 게 조금 있으셔서요. 칠백 만 원으로 수령하시는 거세요. 금리 연 팔점팔 프로 동일하시구요. 납부하시는 금액은 원금 이자 포함하셔서 오십오만 칠천 팔 백오십 팔 원이세요."
피해자,네 네 알겠어요
사기범,네 네 요거는 변동 사항 없으신 거죠. 안내 받으신 거랑. 네 그러시고요. 어 일단 개인 정보 확인 감사 드리구요. 현재 지금 송금 시간이 조금 늦어지다 보니까 제가 예약 송금건으로 좀 잡아 드릴 거에요. 예약 송금까지 받아 보실 수 있는 시간을 19시부터 20시까지 신데요.
피해자,네
사기범,고객님 순번은 지금 5번째에서 6번째 이신데 혹시나 만약에 오늘 중으로 송금을 못 받아 보실 경우 에는 내일 오전 아홉 시에서 열 시 반 사이로 송금되실 거에요.
피해자,네
사기범,만약에 혹시나 오늘 진행이 좀 불가능하신다고 하셔도 이 부분은 양해를 좀 부탁 드리고 내일 오전에 바로 자금 수령하시면 되시는 부분이시거든요
피해자,네. 만약에 오늘 자금 안들어 오면 내일 또 통화를 해야 되는 건가요?
사기범,아 내일 오전 중에서 담당자랑 통화 한번 더 하시구요. 그 다음에 자금 그냥 바로 확인되신 거예요.
피해자,만약에 그러면 내일 오전에 안 들어오는 경우는 없죠?
사기범,"그렇죠. 근데 만약에 혹시 나는 상황이 대비해서 말씀을 드리는 거고 뭐 직원이 남아 있어도 전산상에 닫혀버리면은 뭐 저희도 손쓸 수 있는 방법이 없다 보니까, 예 그 부분만 양해를 좀 해주시면 되시구요."
피해자,네
사기범,"지금 전자 서명이 안 되신다고 담당 통해서 전달을 좀 해 주셨는데요,"
피해자,네
사기범,어 일단은 전자 서명 같은 경우 에는 담당자 통화하셔서 자금 수령하시면서 녹취 전화로 진행 도움 드릴 거니까
피해자,네
사기범,네 그 부분은 내일 오전에 담당자랑 녹취 전화하시면서 하시면 되세요.
피해자,예 알겠습니다.
사기범,네 혹시 또 궁금하신 사항 있으신가요?
피해자,없어요 그럼 지금 예약 송금을 해 놓은 상태네요. 맞죠?
사기범,그렇죠. 지금부터 이제 예약 송금을 걸어 드린 거구요. 송금 예약 송금되시는 시간은 19시부터 20시까지세요.
피해자,"네 알겠습니다, 수고하셨습니다."
사기범,"네 고객님, 고생 많으셨고요. 담당자도 진짜 많이 왔다 갔다 했으니까 에 고객님께서 위로 아닌 위로 좀 부탁드릴게요."
피해자,한 번 만나 볼라고요 서울 가면.
사기범,아 그러세요? 뭐 진행 건 종료 되시면은 밥한끼 하셔서 이렇게 다 인연도 만들어 가시는 게 좋을 거 같아요.
피해자,예 정말 좋은 얘기입니다.
사기범,"네 네 그러시니까요. 담당자 연락 드리라고 할 테니까요, 고객님께서 안내받으셨다고 말씀 좀 해주세요. 지금 담당자도 퇴근도 안하고 계속 기다리고 있거든요."
피해자,알겠습니다
사기범,네 고객님 고생 많으셨습니다
피해자,네
사기범,"감사합니다, 김고은이었습니다."
