Role,Dialogue
피해자,네? 삼백만원 뭐요? 다시 말씀 해주세요.
사기범,삼백만 원에서 오백만원 정도 고객님 본인이 본인 융통이 좀 되시면은
피해자,네
사기범,나머지 저희가 지원금 통해서 같이 상환 처리하시는 걸로 제가 도움을 드릴 수도 있으세요.
피해자,근데 지금 뭐 거의 사정이 어렵습니다.
피해자,"사정이 좀 안 되시는 거고, 예 알겠습니다. 그럼 조금만 뭐 소액이라도 일단은 고객님께서 다 1,000만원 다 완불 처리하신다 생각하지 마시고 금액만 융통이 되시면 저한테 미리 말씀을 한번만 해주세요. 왜냐면 제가 지원금이 또 얼마 나갈 수 있는지는 확인을 해보면은.."
피해자,네
사기범,많이 받아 볼 수 있는 부분이 있기 때문에 그렇게 진행 도움 드리겠습니다.
피해자,네 네 소액이라도.. 소액금 한다면 이걸 어떻게 한다는 거예요?
사기범,일단은 저희가 지원금을 통해서 완납 처리는 되여야지만 전산이란 자체가..
피해자,삼백만 원 내면..
사기범,"네 고객님께서 예를 들어서 웰컴 저축 은행에 한 삼백만 원정도 본인 상환 처리를 하셨다는 게 1,000만원 남으셨잖아요. 그럼 칠백 만 원을 저희가 지원금을 나가야 된단 얘기잖아요."
피해자,네
사기범,네 그렇게 되면은 저희가 아.. 한 천오백만원 정도까지 대출 승인을 내여 줄 수가 있단 얘기죠..
피해자,잘 이해가 안되는데.
사기범,"쉽게 설명 하면은, 예 저희가 지원금이 만약에 칠백만원이 나갔으니까,"
피해자,네 네
사기범,"고객님이 받아 보신 받아 보시는 거는 팔백만원 받아 보시면 되요, 저희 대출 금액을."
피해자,아 그래요?
사기범,네 네 네 제가 말씀드리는건 어느 정도 금액이라도
피해자,네
사기범,융통이 자금이 좀 되시면은 제가 뭐 지원금을 여부를 해드릴 수 있는지 없는지 여부를 제가 한번 심사과장님께 여쭤볼 테니까 저한테 말씀을 미리 좀 하시란 얘기죠. 그렇게 되면 진행 사항은 제가 말씀드린단 얘깁니다.
피해자,알겠습니다.
사기범,감사합니다.
