Role,Dialogue
피해자,여보세요
사기범,예 여보세요. 네 감사과장 박철민 과장입니다.
피해자,예
사기범,아 OOO고객님 맞으시죠?
피해자,예
사기범,"아 네어 지금 김상훈 대리 좀 찾으셨다고요. 네 아까 연락와가지고. 예 예, 어 전화 주신 거 어떤 거 때문에 연락 주신 거죠 고객님."
피해자,아 어떻게 되나 싶어가지고요.
사기범,음 어떤 걸 어떻게 하신다는 거죠 고객님?
피해자,처리를 뭐 어떻게 해야 하나 싶어서.
사기범,서류 부분이요?
피해자,예
사기범,"처리, 처리 부분이요?"
피해자,예 처리 부분이요.
