Role,Dialogue
피해자,네 말씀해주세요
사기범,네 신한은행이고요
피해자,네
사기범,네 1 1 0
피해자,네
사기범,(삐-)
피해자,네
사기범,네 한번 불러보시겠어요
피해자,아 제가 녹음을 시켰거든요
사기범,아 녹음을 시키셨다고요?
피해자,네 네 네. 남편이 없어가지고 애기랑 같이 있어 가지고 네
사기범,아 그러세요
피해자,네
사기범,그럼 송금 처리 해 주시면 되시고 어 그 입금자 성함은 김(삐-) 법인 팀장님으로 나오실 거고요.
피해자,네
사기범,"송금 처리하시면 그 저희 팀장님께서 자금대기를 해놓으셨다가 아까 전에도 제가 안내해 드렸듯이 별도에 뭐 서류 첨부나 심사 필요없이 저희 자금 쓰셨던 그대로 반환 처리가 가능하신 거 고 어 반환 가능하신 그 고객님, 그 처리하실 때 빠른 처리 위해서 어느 은행에서 누구 명의로 하시는 거죠?"
피해자,(삐-) (삐-)
사기범,아 그러세요. 시간이 얼마나 걸리실까요?
피해자,아 오 분도 안 걸릴 거 같애요
사기범,아 네 알겠습니다. 제가 그 이 부분은 바로 찍어 가지고 보내드릴 거고 그러시면 저희 쪽에서는 바로 확인이 되십니다
피해자,네
사기범,되시니까 처리하시고 그 하나 저축 쪽에 전화를 하셔가지고요
피해자,네
사기범,전산대기만 좀 해달라고 요청해 주시겠어요
피해자,네 알겠습니다
사기범,네 감사합니다
피해자,네
사기범,네
