Role,Dialogue
사기범,네 안녕하세요　고객님 신한 금융입니다.
피해자,어디요?
사기범,신한 금융이요.
피해자,네
사기범,이번 달 카드 결제대금이나 예외적인 ... 서류...
피해자,잘 안들리거든요
사기범,네 여보세요
피해자,네 여보세요
사기범,네 들리세요?
피해자,네 이제 잘 들리는거 같은데
사기범,네 이번 달 카드 결제 대금이나 여유자금 필요 하시면 서류 없이 신용카드 사용하고 계시면 당일 대출 가능하신데 혹시 자금 안필요하십니까?
피해자,얼마나. 얼마나 되는데요?
사기범,어 몇 백에서 몇천까진 가능하십니다
피해자,그게 기준이 어떻게 되는 거에요?
사기범,고객님 신용 카드 사용하고 계세요?
피해자,네
사기범,아 신용 카드 한도 내에서 이제 발생됩니다
피해자,"한도내에 비율로 가는거에요, 어떻게 되는거에요?"
사기범,네 네
피해자,비율이 얼마나 되는데요?
사기범,어 저희는 접수 팀이라서 십분 안에 저희 진행팀이 전화 드리면요
피해자,네
사기범,진행팀이 이제 이율이나 금리나 그런 쪽은 다 알려드릴 겁니다.
피해자,전화 한번 하시라고 하세요 그럼
사기범,아 그럼 접수 한번 도와드려 볼까요?
피해자,한번 들어 볼게요
사기범,그 신용 카드는 어디꺼 사용하고 계세요?
피해자,신한 카드요
사기범,신한 하나 사용하세요?
피해자,네
사기범,한도는 어느 정도 나오세요?
피해자,"3,000만 원이요"
사기범,"3,000만원이요?"
피해자,네
사기범,몇 년생이신데요?
피해자,예?
사기범,몇 년생이세요?
피해자,아 나이가 필요해요?
사기범,네
피해자,아 90년생이요.
사기범,연체는 없으시죠？
피해자,연체 안하는데요.
사기범,성함이 어떻게 되세요?
피해자,OOO
사기범,OOO?
피해자,예
사기범,네 접수되셨구요. 저희 진행팀이 십분 안에 전화드릴 거니까 부재 남기지 마시고 잘 받아 주시고요. 저는 상담사 박유진이였습니다. 좋은 하루 보내세요.
피해자,근데
사기범,네
피해자,뭐 아무튼 그럴껀데
사기범,네
피해자,네 제 번호는 어떻게 아셨어요?
사기범,어 고객님께서 신용 대출 상담 받으셨던 이력이 있으셔서 전화 드렸던 겁니다
피해자,아 그럼 이력같은거 지울수도 있어요?
사기범,네네
피해자,그냥 찝찝해가지고
사기범,아 네네
피해자,지울수가 있어요?
사기범,네 네
피해자,어떻게 지워야 해요?
사기범,접수 도와드릴까?
피해자,....
사기범,필요　하신 금액이 어느 정도신데요？
피해자,아까 얘기 했잖아요. 아 한 이삼천 정도면 될거같은데
사기범,아 네 알겠습니다
피해자,아 진짜 접수 된거에요?
사기범,네 네
피해자,아 전화 주세요
사기범,네
