Role,Dialogue
사기범,아 네 고객님 담당자입니다 계속 통화중이고 해서 제가..
피해자,아 통화중이셨어요?
사기범,네 그래서 연락을 계속 주셨는데 연락 많이주셨더라구요 한 5번
피해자,네 맞습니다
사기범,전산 확인해보니까 심사과 전산에서 이거 승인처리까지는 다 나오셨더라구요 보니까
피해자,취소 하려고 하는데요
사기범,아 취소를 하신다구요
피해자,그러면 고객님 본인 취소를 하시는거죠?
피해자,네
사기범,알겠습니다 일단은 본인취소 ...공문 대부업측에다가 보내드릴건데 이게 본인취소건으로 들어가게되면 부결사항이 아니기 때문에 고객님께서 환급처리가 들어가는 부분이 짧게는 일주일 내지는 이주일 정도가 걸리세요
피해자,네 그러니까요 짧게는 일주일
사기범,네 일주일 정도
피해자,처음에는 그런말 못들었는데..
사기범,이게 이제 저희측에서 부결 사항으로 처리될 경우에는 그런거구요 이거는 이제 고객님 본인 취소 건으로 들어가는 거잖아요
피해자,네
사기범,부결처리가 나온게 아니고 저희쪽에서 승인처리까지는 다 나온 내용이에요
피해자,아 그런데 승인처리까지 왔는데 부결 처리가 됐더라면 바로..
사기범,네 그렇죠 부결 처리가 나오셨다 하면 바로 환급 처리가 되었겠죠 그런게 아니고 승인처리가 다 나온건데 고객님이 본인취소로 나오셨기때문에 네
피해자,아까 제가 입금했던 명의로 들어오나요?
사기범,어떤게요?
피해자,환불절차요
사기범,아 환불 부분은 어차피 그 고객님께서 대출금 입금받으시는 입금계좌부분을 말해주셨잖아요 그쪽계좌로해서 환급이 들어가실겁니다
사기범,들어가는데 보내지는 계좌는..보내지는사람
사기범,그거는 산와측에서 처리가 되는거죠
사기범,아 그게 이제 입금처리까지 되는 내용이신데 저희측에 그 납부증명서까지 들어와있기때문에 그거를 반대로 그쪽 해당 금융사에다가 처리를 해드려야 하거든요 그래서 그렇습니다
피해자,어플은 지워도 되나요?
사기범,이거 취소하신다면 지우셔도 상관없어요
피해자,아...
사기범,아니면 고객님께서 진행을 하신다라고 하면 추가적으로 추가상환증명서 부분 요청이 들어왔구요
피해자,네 그거에 대해서는 지금 할수가없어서요
사기범,그러십니까 네
피해자,아 최대한 빨리 되면 좋을거같은데
사기범,네 알겠습니다 빠른 요청 드리도록 할게요
피해자,어플을 지우게 되면 그번호로 안갈거같은데 담당자
사기범,아뇨 그런부분은 아니고 그거랑은 상관없어요
피해자,일단 그렇게 처리해주시고 십분뒤에 다시 전화 드릴게요
사기범,네
