Role,Dialogue
사기범,여보세요. 예 고객님 롯데 심사팀이에요.
피해자,예 예
사기범,예 아까 좀 전에 전화 드렸는데 전화 연결이 안 되시더라고요 고객님
피해자,아 예 운전 중이라서요
사기범,아 지금 운전 다 끝내셨어요?
피해자,네
사기범,예 안전 운전하셔야 되고요 고객님 그 지금 입금 받으실 계좌 번호
피해자,예
사기범,카카오 뱅크
피해자,예
사기범,계좌 번호 좀 불러주세요 고객님
피해자,"계좌번호 아까 거기에 있는데, 왜, 전화 한 2, 3분 있다가 할래요? 내가 이거 휴대폰 끄고, 휴대폰에 기록이 돼있으니까."
사기범,예 알겠습니다. 고객님.
피해자,네
사기범,예 고객님. 롯데 캐피탈 심사팀 전성환 대리고요.
피해자,예
사기범,"지금 저희 쪽에서 신용 대출로 나가는 한도가 최대 1억인데, 제가 지금 전산 상에 1억으로 잡혀있는 거, 제가 지금 잘못 보고 깜짝 놀래 가지고요."
피해자,예
사기범,전화드렸던 거구요
피해자,예
사기범,혹시 고객님 그 다시 한번 제가 지금 말씀을 여쭤볼게요
피해자,네
사기범,(삐-) 고객님 맞으시죠.
피해자,네 네
사기범,예 고객님 주민 번호 앞에 6자리 확인 좀 부탁드리겠습니다
피해자,(삐-)
사기범,예 고객님 그 직장 주소는 어떻게 되세요
피해자,어 (삐-) (삐-)
사기범,예 고객님
피해자,예
사기범,예 좀 불러주세요 고객님
피해자,(삐-)
사기범,(삐-) 시구요. 지금 직장명은 어떻게 되세요
피해자,(삐-) 요.
사기범,예 고객님. 그 직장 전화번호 있으세요?
피해자,예
사기범,예
피해자,(삐-)
사기범,(삐-) 시고요. 자택 주소는 어떻게 되세요. 고객님?
피해자,"어, 부산 (삐-)"
사기범,부산 (삐-)요 고객님?
피해자,예
사기범,고객님 입금 받으실 계좌 번호 어떻게 되세요?
피해자,아 그거는 지금 아까 제가 얘기해 드렸는데 지금 저 휴대폰에 넣어놔서 잘 모르는데요 카카오 뱅크거든요.
사기범,아 카카오 뱅크시고요?
피해자,예
사기범,예 저희 쪽에서 카카오 뱅크로 대출금 송부가 될지는 모르겠습니다. 잠시만요.
피해자,된다고 했는데?
사기범,아 그러셨어요. 고객님?
피해자,예
사기범,예 카카오 뱅크시구요 요거 계좌 번호는 제가 조금 있다 다시 한번 확인해 드릴게요. 고객님. 번호 좀 메모해 주시고요. 불러주세요 매달 결제는 며칠로 도움드릴까요?
피해자,결제일 12일이요.
사기범,12일이시구요 고객님.
피해자,예
사기범,예 대출 나가시는 대출 승인 금액은 얼만지아세요 고객님?
피해자,아까 1억이라고 안 했어요?
사기범,예 1억이시고요. 제가 고객님한테 다시 한번 여쭤보는 거예요.
피해자,예
사기범,1억이시고요. 금리 몇 프로세요. 고객님?
피해자,4%라고 하던데.
사기범,아 4%가 아니라 고객님 4.2%세요 고객님.
피해자,아 4.2%요?
사기범,"예 예. 일단 고객님 지금 모든 통화 내용을 제가 지금 다시 한번 확인을 해드려야 되는데, 지금 카카오 뱅크 계좌 번호 확인이 안 되셨잖아요. 고객님?"
피해자,예
사기범,혹시 담당자 분한테 말씀해주셨나요?
피해자,어떤거요?
사기범,카카오 뱅크 계좌 번호요.
피해자,예 맞습니다.
사기범,아 그러면 제가 지금 담당자님한테 확인 한 번 전화 다시 한번 드리고요. 대출 금액이 1억이시잖아요. 지금요.
피해자,예
사기범,1억이시고 지금 보증 보험으로 지금 대체 하신 거 맞으시죠?
피해자,예 예.
사기범,예 고객님. 대출금 송부는 저희가 21시까지인데 혹시 늦어지면은 익일 아침으로 미뤄줄 순 있습니다 고객님.
피해자,아 예.
사기범,지금 접수가 되셨기 때문에요.
피해자,예
사기범,예 그리고 고객님 대출금 송부가 되실 때는 1억 돈이 한꺼번에 송금되시는 게 아니라요.
피해자,예
사기범,예 2번이나 3번에 나눠서 입금되실 거예요. 금액이 너무 크기 때문에요.
피해자,예
사기범,저희 전산 상에서 1번에 입금이 안 되시구요.
피해자,예
사기범,예 그리고 고객님 혹시 저희 롯데 캐피탈 일단 대출 진행하시면서 뭐 불편하신 사항이 있으셨나요?
피해자,예. 그런 거는 별로 없습니다.
사기범,그런 건 없으셨어요. 고객님
피해자,예
사기범,아 저 일단은 뭐 저희 쪽에 지금 클레임 들어 온 게 있는데 지금 고객님. 예 그 저희 그 롯데 캐피탈 대출 진행하시면서 고객님 뭐 지금 경찰서에서 연락 오고 은행 쪽에서 연락했는데 무슨 상황인지 제가 잘 모르겠습니다.
피해자,예?
사기범,경찰서에서 연락이 왔었는데 저희 쪽으로요.
피해자,예
사기범,예 무슨 상황인지 제가 잘 모르겠거든요. 일단 이거는.
피해자,예
사기범,"그 고객님 담, 담당자분하고 다시 한번 확인 통화하시고요."
피해자,예
사기범,"일단은 고객님 제일 중요한 거는 대출금 송부되시기 전에 신용 변동 내용 만드시면 안되, 만드시면 안 되세요."
피해자,예 알겠습니다
사기범,예 그리고 혹시 고객님 신용이 변동될 수 있으시면 저희 쪽에서 대출 진행이 어려우시니까 이 점 꼭 양지 부탁 드릴게요. 제가 다시 한번 전화 드릴게요.
피해자,알겠습니다 예.
사기범,네 카카오 뱅크 다시 한번 계좌 번호 확인해 주시고요.
피해자,네
사기범,네
사기범,대금은 얼마세요?
피해자,1억원이요.
사기범,1억이요. 고객님?
피해자,예
사기범,대출금이 1억이 나간다고 말씀하셨다고요?
피해자,예
사기범,1억이 맞으세요. 고객님?
피해자,예
사기범,아 잠시 만요 금리는 몇 프로 나오셨어요. 고객님?
피해자,4%라 그러던데요?
사기범,아 고객님 잠시만요. 지금 전산상에 문제가 있나본데 제가 확인 후에 바로 연락드리겠습니다. 지금요.
피해자,예
사기범,예
사기범,롯데 캐피탈입니다.
피해자,예
사기범,예 지금 이거 다 마무리됐구요
피해자,예
사기범,이제 자금 이제 송부되실 거예요.
피해자,네
사기범,인제 녹취 한번만 해주면 되시구요
피해자,예
사기범,예 지금 제가 간단하게 다시 설명드릴게요 고객님.
피해자,예
사기범,최대 금액 1억 나오셨구요.
피해자,네
사기범,금리 4% 나오셨구요.
피해자,4%요?
사기범,예 4%.
피해자,예
사기범,그래서 고객님 이것도 자율상환으로 이자만 납부하실 거죠?
피해자,예
사기범,"그래서 333,333원을 납부하시면 되세요"
피해자,예
사기범,예 그러니까 이거 제가 지금 다시 써 놓을게요 고객님.
피해자,네
사기범,1억에 지금 금리가 4% 승인나셨고
피해자,네
사기범,60개월로 제가 잡아 드렸어요.
피해자,네
사기범,결제일은 뭐 12일 아까 동일하게 할까요?
피해자,네 네
사기범,"예 동일하게 하고. 고객님 다시 한번 내용 녹취해야 되는데, 지금 뭐 바로 하실 수 있으시죠?"
피해자,예
사기범,예 잠시만요. 고객님. 지금 고객님 성함과 생년월일 확인. 생년월일 6자리 확인 좀 부탁드릴게요.
피해자,예. (삐-)
사기범,예
피해자,(삐-)
사기범,"예. 지금 신청하신 자금은 저희 롯데 캐피탈 상품으로 1억, 1억 원이시며 상환 방식은 자율 상환 방식으로 적용되시며 금리는 연 4%로 이용하시는 거예요. 상환 기간은 60개월이시며 매달 납부하실 상환 금액은 333,333원이시며, 매달 결제는 12일이시구요. 예 맞으시죠. 고객님?"
피해자,네 네
사기범,그리고 고객님 입금 받아 보실 계좌는 아까 그대로 카카오 뱅크 (삐-)
피해자,예
사기범,예 이메일은요. (삐-)
피해자,예
사기범,네 맞으시고요?
피해자,네
사기범,"알겠습니다. 고객님. 제가 이대로 해 가지고 저희 심사팀에 올라가서 심사팀에서 심사 후에, 음 한 다섯 시쯤에 연락이 가실 거 같으세요. 고객님."
피해자,심사팀에서요?
사기범,예 예.
피해자,롯데캐피탈 심사팀이요?
사기범,예 예. 이제 최종 승인이 떨어졌잖아요.
피해자,예
사기범,"이제 떨어지기 전에 고객님께 다시 한번 통보를 해요. 이런 걸 숙지를 받았고, 이러 했는지, 그래서 후에 진행하시면 되세요. 고객님."
피해자,예. 그런데 만약에 혹시나 부결되면 제가 그 보증금...
사기범,고객님. 부결 안 되세요.
피해자,아 예.
사기범,예. 왜냐면은 보증 보험에서 끌어온 거잖아요.
피해자,네 네 보증보험은 나왔나요. 그러면?
사기범,보증 보험이 나왔다니 어느거요?
피해자,보증 보험은 이제 된 건가요?
사기범,아. 보증 보험에서 고객님의 신용을 잡아 준 거잖아요.
피해자,예.
사기범,부결이 나실 수가 없으세요.
피해자,예.
사기범,그래서 보증 보험을 끊는 거고요. 예.
피해자,집사람이 불안해가지고 자꾸만 그러는데.
사기범,어느게 불안하세요? 고객님. 자금이 나가시는데.
피해자,보증금을 보냈는데 인제 그 우리가 전화로만 지금 한 거잖아요.
사기범,고객님.
피해자,예.
사기범,제가 말씀드렸죠. 고객님이 직접 전화하셔가지고 계좌 번호 발급도 받으신 거고.
피해자,예
사기범,"고객님 입금하신 거고, 저는 고객님께 제가 일절 고객님께 계좌 번호를 불러드린 것도 없구요."
피해자,예
사기범,왜냐면 보이스피싱이면은 고객님께 당연히 뭐 돈을 요구해야 되잖아요.
피해자,그니까 보증 보험에다 우리가 보증 보험이라는 사람한테 전화 했는데 그 사람이 어떤 사람인지 잘 모르잖아요.
사기범,그런데 고객님.
피해자,네
사기범,서울 보증 보험이 국가기관이잖아요.
피해자,그니까
사기범,국가 기관인데 국가 기관에서 고객님께 보이스 피싱을 할까요?
