Role,Dialogue
피해자,여보세요?
사기범,OOO. KB 국민은행 ...부 이정호 대리입니다.
피해자,네네
사기범,어제 담당자로 배정 돼서 전화 드렸구요. 잠시 통화 괜찮으실까요?
피해자,네
사기범,어 제가 상품 설명 간단하게 해드리고요. 접수 한번 도움 드리겠습니다.
피해자,네
사기범,국민 행복 기금이구요. 한국 자산 관리 공사에서 나오는 정부 지원 자금이세요. 한도는 전에 팔천만 원까지 가능하시고요. 금리는 최저 2.1 프로해서 8.5 프로까지 고객님 신용 등급 및 신용 평점에 따라 차등　적용 해드리고 있습니다.
피해자,네
사기범,제가 자금 내어드릴 때 마이너스 통장으로 고객님 자금 내어 드리는데요. 그래서 마이너스 통장에 대해서 알고 계실까요?
피해자,네 네
사기범,"어 네 그러시면은 접수하실 때 저당 조건은 신용상에 문제만 없으시다면 가능하신데요. 현재 고객님께서 신용 불량자, 개인 회생, 파산 면책 중에 해당되시는 게 있으실까요?"
피해자,아니요
사기범,어 네 그러시면 접수 신청 가능하시고요. 제가 정확한 접수를 위해서 고객님이 몇 가지 간단하게 질문 드리고 가승인 한도와 금액산출 도움 드리겠습니다.
피해자,네
사기범,네 고객님께서 지금 직장인 이실까요 개인 사업 운영 중이실까요?
피해자,직장인입니다.
사기범,네 어떤 일 하고 계신가요?
피해자,아 여기가 지금 부동산 투자 회사 이거든요?
사기범,그 투자회사이시고요.
피해자,네
사기범,"네, 근무하신 진 얼마 되셨을까요?"
피해자,아 지금 이직한지 일개월째 됬고요.
피해자,네
사기범,네 월급은 어떻게 되실까요?
피해자,월급은 일단 제가 기본급 130에 저희는 인센티브로 받고 있거든요.
사기범,네 그래서 사대 보험은 안 돼 있으시고요?
피해자,네
사기범,네 주거래 은행은 어떻게 되실까요?
피해자,하나은행입니다.
사기범,하나은행 되이시고요. 네 신용 카드 이용 중이신건 있으실까요?
피해자,네 네
사기범,신용 카드 어느 카드사 이용중이실까요?
피해자,어 하나카드하고 씨티카드하고 롯데요.
사기범,롯데 카드 되시구요. 고객님 뭐 폰 뱅킹이나 인터넷 뱅킹은 이용 중이신가요?
피해자,네 인터넷 뱅킹이요.
사기범,네 인터넷 뱅킹 뭐 하나 은행 측 이용 중이시고요.
피해자,네 다 이용중입니다.
사기범,"네 저희 당사, 당사 측은 이용 안 해 주시구요?"
피해자,네?
사기범,저희 당사 국민은행은 따로 이용 안해주십니까?
피해자,아 국민은행도 이용하고 있습니다. 인터넷 뱅킹이랑 다.
사기범,아 인터넷 뱅킹. 고객님 저희 당사 측도 이용 중이기 때문에 금리 혜택 영점삼프로인하 혜택 받아 볼 수 있습니다.
피해자,네
사기범,어 외부에서 지금 대출 이용 중이신건 있으실까요?
피해자,아니요.
사기범,대출 따로 없으시고요.
피해자,네
사기범,네 그러시면 고객님 저희 당사 자금 용도는 어떻게 되실까요?
피해자,"용도는 근데 주택 관련한건데, 투자쪽으로."
사기범,주택 자금 되시는 거구요.
피해자,네
사기범,그러시면 제가 주택 자금이라 생활 자금 까지 해서 고객님 나오시는 한도 내에서 최대한으로 잡아 드리겠습니다.
피해자,네
사기범,어 고객님 거주지 한번 말씀해주세요.
피해자,네 경기도 성남시 분당구.
사기범,네 성남시 분당구.
피해자,OOO OOO
사기범,네 동까지만 말씀해 주시면 되시고요.
피해자,네
사기범,고객님 성함이 어떻게 성함 성함을 다시 한번 말씀해주세요.
피해자,O
사기범,네
피해자,O
사기범,네
피해자,O
사기범,네 OOO 이시고요.
피해자,네
사기범,예 고객님 본인 확인차 생년월일 여섯 자리 확인 좀 부탁드리겠습니다.
피해자,OO OO OO
사기범,"네 확인되셨구요. 2011년 3월 29일부터 개인 정보 보호법 관련해서 고객님의 동의 없이는 개인 정보를 수집하거나 연락, 기록할 수 없다고 법적으로 보호되고 있으니까 안심하셔도 되시구요."
피해자,네
사기범,지금 사용해 주시는 휴대폰 본인 명의 맞으시고요?
피해자,네네
사기범,"소중한 정보 감사 드립니다. 이제 가승인 한도와 금리 조회해 드릴 텐데요, 끊지 말고 잠시만 기다려주세요."
피해자,네네
사기범,네 여보세요
피해자,네
사기범,"네, 가승인 한도와 금리 산출되셨구요. 제가 가승인 한도 5600만원, 금리 3.4 프로 산출되셨습니다."
피해자,네네
사기범,네 이 부분으로 해도 괜찮으시다면 제가 심사과로 접수 도움드릴까요?
피해자,네 네
사기범,오늘 접수하게 되시면 내일 오전 중에 심사과에서 전화 가실 테니까 부재 없이 잘 받아 주시구요.
피해자,네
사기범,심사과에서 최종 승인 결제를 나시면 고객님 거주하고 계시는 지역에서 현금 유동이 가장 많은 국민 은행 지점으로 배정을 해드릴거구요.
사기범,네
피해자,고객님께서 직접 서류 지참하셔서 국민 은행 지점 방문해주셔야 되는데 이 부분 괜찮으시고요?
피해자,네 네. 서류는 뭐가 필요 할까요?
사기범,어 필요 하신 서류는 고객님 심사과에서 최종승인까지 나시면 필요하신 서류 안내 받으실 거세요.
피해자,아 그럼 가승인이 5600에 몇프로라고 했죠?
사기범,3.4프로 나왔어요.
피해자,아 3.4 프로요.
사기범,네
피해자,네 알겠습니다.
사기범,"혹시라도 다른 궁금하신 사항이나 문의 사항 있으시면요, 이 번호로 이정호 대리 찾아주시면 제가 친절하게 상담 도움 드리겠습니다."
피해자,예 알겠습니다
사기범,네 내일 좋은 결과 있길 바라겠구요. 지금까지 KB 국민은행 이정호 대리 전화드렸습니다.
피해자,네
