Role,Dialogue
피해자,여보세요
사기범,네 그 제가 지금부터 민감한 이야기할 거니까 사람 없는 곳으로 가서 전화 받아요.
피해자,여보세요
사기범,되묻지 말고 xx 사람 없는 곳 가서 전화 받으라고 아줌마. 여보세요.
피해자,"여보세요. 네, 말씀하세요."
사기범,네 내가 경고하는데 경찰에 신고하거나 주위 사람에게 알리면 애 배때기 칼로 쑤셔버립니다.
피해자,아니 그러니까 어디
사기범,여보세요
피해자,여보세요 네 네
사기범,애가 어디 있는지 xx 그 왜 나한테 묻나? 니 애 어디 있는지도 모르나 아줌마
피해자,지금 아이가 학교 갔는데 이 전화가 와서
사기범,아줌마 지금 옆에 누구있어요
피해자,지금 여기 직장입니다.
사기범,하 근데 왜 옆에 사람한테 뭐 아이가 다쳤느니 맞았다느니 왜 말해요.
피해자,아니 지금 같이 근무를 하고 있으니까
사기범,네 아줌마 내가 원하는 건 단순히 돈이야. 돈. 돈이 필요하다. 나한테 돈 얼마나 해줄 수 있나요 최대한? 나 애는 해칠 마음 없다.
피해자,그러니까 아이가 어디 있는거에요?
사기범,아이가 어딨냐고? 우리 지금 일산이에요.
피해자,아 일산 어딘데요? 아이 저기를 봐야 알죠.
사기범,아니 어딘지 왜 자꾸 위치 묻냐고 이 xxx아 돈 준비 하라니까. 어? 여보세요?
