Role,Dialogue
사기범,"예, OOO고객님? 예 상담사 김정훈 대리입니다 고객님의 소득만을 담보로 해서 대출이 나가시기 때문에 그와 관련해서 대출계약서 상에 두가지 특약 사항이 포함되실 텐데요. 제가 지금부터 두가지 특약사항에 대해서 말씀드리겠습니다. 들으시는 도중이라도 모르시거나 이해가 되지 않은 게 있으면 바로 바로 여쭤보셔도 됩니다. 첫째 고객님께서 대출 지급 받으신 이후에 삼개월 이상 연속으로 장기 연체를 하시거나 삼개월 이상 고의적으로 납부를 회피하는 상황이 발생됐을 때 저희 은행에서는 법원에 명령만으로 고객님 소득에 대해서 강제 추심이 들어갈 수 있다. 이를테면 압류가 들어갈 수 있다라는 조항 하나 들어가십니다."
피해자,아 네.
사기범,첫번째 조항 이해 하셨습니까?
피해자,네.
사기범,예 두번째 고객님께서 대출 지급 받은 이후에 혹시라도 개인 회생이나 신용 회복 또는 파산 신청을 하시더라도 이번에 대출받는 이번에 실행되는 대출건은 그 내용에 포함될 수 없다라는 조항 더 들어가십니다
피해자,네.
사기범,두번째 조항도 이해 하셨습니까?
피해자,네.
사기범,예 이 두가지 특약 사항에 대해서 법적인 효력을 얻기위해 공증 설정을 진행할 건데요.
피해자,네.
사기범,공증설정 진행하는 방법도 두가지가 있습니다. 고객님께서 직접 선택하시면 되구요
피해자,변호사는 왜 선임하는거에요?
사기범,공증 설정을 진행하는 이유가 고객님 소득만을 담보로 해서 대출 진행되는 대출 상품이기 때문에
피해자,네.
사기범,고객님 소득에 대한 일차적인 추심에 대한 권한을 저희 햇살 저축 은행으로 분류해 주셔야 되기 때문입니다
피해자,네.
사기범,예 이해하셨습니까? 공증업무를 진행 방법에 대해 왜 하는지는
피해자,네.
사기범,그러시면 저희 은행에 의해서 진행되는 경우에 대해 설명 드리겠습니다
피해자,네.
사기범,저희 은행과 위탁 계약 맺어진 법무 법인 소속 변호사님께서 고객님께 전화를 하실 겁니다.
피해자,네.
사기범,그러시면 고객님과 변호사님 통화되는 모든 내용이 지금처럼 전화 녹취를 통해서이루어지실 거구요. 녹취된 내용을 근거로 변호사님께서 녹취 공탁을 진행하게 될 겁니다
피해자,예.
사기범,전화를 통한 공증 설정이 특정상 변호사님께서 여쭤보시는 질문 사항을 잘 들어 보시구요. 맞으면 맞다 틀리면 틀리다라고 정확하게 답변을 해주시면 공증 설정을 끝나게 됩니다
피해자,네.
