Role,Dialogue
사기범,아 예 신경화 고객님이시죠.
피해자,네
사기범,아 예 고객님 그 네이버 소객님 주소 다시 한번 바꿔봤거든요.
피해자,아 네
사기범,다시 한번 불러봐 드릴게요. 예 예 125.230.191.94.
피해자,아 네 다운로드..
사기범,아 다운로드 되고 계세요?
피해자,네 완료 됬어요.
사기범,그 열기 한 번 눌러 주시고요.
피해자,네
사기범,혹시 뭐 상담서 소개나 이런 거 뜨세요 고객님?
피해자,설치를 하라고 뜨는데요.
사기범,아 예 설치 한번 해주시구요.
피해자,아 네 설치 됬어요.
사기범,"열기 한번 누르시면 혹시 뭐라고 뜨세요, 고객님?"
피해자,상담사 소개..
사기범,예 거기다가 강해중 이라고 입력해 주시고요.
피해자,강 해?
사기범,강 해 중.
피해자,중?
사기범,네 네
피해자,네
사기범,잠시만요. 고객님 지금 전산으로 제가 지금 확인하고 있고요. 아까 제가 이제 DTI도 팔고 주시는 거 있잖아요. 음 대출은 어차피 한번밖에 진행은 안 되시는 거예요. 안 되니까 정부 지원 상품이고 해서 고객님이 금리랑 대출 금액은 더 많이 받고 싶으시면 이체 한도로 추가적으로 계속 이제 한번에 이제 낮춰 주시면 되시는 거구요. 예 고객님께서 그러시면 혹시 개인 자금은 어떻게 구 백만 원이면은 받으면서 하신 거세요?
피해자,그거 다 안받아도 되는거죠?
사기범,전부다요?
피해자,"아니, 구백만원 까지 안받고 그것보다 조금만 받을 수 도 있죠?"
사기범,"아 이게 기본적으로 심사 심사가 나시는 금액이 있어요. 네 근데 이거 대출금을 받고 나서요, 필요없다고 생각을 하시면 은요, 바로 원금 상환을 하시면 은요, 중도 상환 수수료 없이 그냥 원금 상환 처리만 되세요. 이자 붙는 것도 없으시고요."
피해자,아
사기범,네 네
피해자,아 그 정확한 이름이 뭔가요? 그 제가 지금 하려는 상품 이름이.
사기범,아 정부 지원 상품이고요. 대환 대출이에요 고객님.
피해자,아 이름이 그냥 그거에요?
사기범,예 예 뭐 대환 대출이에요 고객님. 고금리 쓰시던 분들 저희가 낮은 금리로 대환 진행을 해드리고 있는 거예요. 그러니까 저희는 대부업이나 이런 데처럼
피해자,네
사기범,"이상한 이름 같은 거 지어 가지고. 그렇게 하는 게 아니에요. 원래 이름 같은 거거든요, 신용 대출하고 대환 대출하고 딱 두가지 밖에는 없어요. 추가적으로 햇살론 이런 게 있는 거구요. 그 이외에는 회사 자체적으로 자기네들끼리 이름을 정해가지고 저희가 그냥 그 사람들은 신용에 맞게끔 대출 진행을 하기 위해서 그냥 이름만 이제 부여 받으시는 거구요."
피해자,예
사기범,예 무형의.. 유형의 상품처럼 물건이 아니라 무형의 상품이신 거잖아요
피해자,예
사기범,예 무형의 상품이기 때문에 결론은 어차피 대출마다 금리는 다 똑같으세요.
피해자,네
사기범,"이름만 이렇게 있는 거고 그래서 원래 공식적인 금융 감독원에 지칭된 명칭은 신용 대출과 햇살론과 대환 대출 세 가지입니다, 고객님."
피해자,아 대환 대출 이게 담보가 들어가거나 그런 건 아니죠?
사기범,"아니에요 고객님. 제가 아까 말씀 드린 대로요, 십오 퍼센트 이상 고금리 쓰시는 게 있으시면 은요, 대환 대출이 가능은 하신 거고, 기존에 대출이 있는 거기 때문에, 그거를 낮은 금리로 갈아타겠금 지원을 해 드리는 거구요."
피해자,아 네 네
사기범,예 단순히 신용으로만 보고 이거를 진행을 하는 거기 때문에요.
피해자,네
사기범,"담보가 들어가게 되면은 굉장히 복잡하고 대환 성격이 안 맞기 때문에 담보 건들은 진행을 안 되세요, 대출이 들어가시는데. 그래서 담보 같은 거 설정 안하고 진행을 해드리고 있는 겁니다."
