Role,Dialogue
사기범,아 네 여보세요
피해자,여보세요
사기범,아 네 안녕하세요. OOO고객님 맞으시죠?
피해자,네 네
사기범,예 안녕하세요. 저희 케이비 국민 은행 고객 관리부 이성연 대리라고 합니다.
피해자,예
사기범,예 예 아 다름이 아니고 저희가 최근에 고객님께서 뭐 케이 저축 은행에서 삼백만원 대출 받으신 이력 때문에 전화드렸어요. 예 그것 때문에 전화를.. 저희가 대출 받으라고 따로 연락드린 건 아니고 고객님께서 고금리 대출 사용하시고 있으시잖아요. 지금 저희 쪽에서 이제 정부 지원 자금을 마련된 상품이 또 낮게 새로 나와서 고객님께서 이제 고금리 대출 사용하지 마시고 이제 저금리 대출로 저희 쪽으로 갈아타셔서 한번 사용해 보시라고 전화드린 거예요.
피해자,이거 개인 정보 누출 아닙니까? OK 저축은행에 가서 경찰에 고발하겠습니다.
사기범,네?
피해자,OK 저축 은행에다가 고발.. 개인정보 누출로... 예 그죠?
사기범,"아 그 대출 받으신거는 고객님, 금융사끼리는 거의 다 웬만하면 공유가 돼요. 고객님께서."
피해자,"아니죠, 개인정보유출은 될 수가 없는 거잖아요..."
사기범,"고객님, 대출 하실때요.. 죄송한데 잠깐만 제 얘기 잠깐 들어 보시겠어요? 고발을 뭐 하신다 그게 아니라요 고객님. 대출 받으실 때요"
피해자,개인 정보 이용....
