Role,Dialogue
사기범,여보세요.
피해자,여보세요.
사기범,예 현대 캐피탈 담당자...
피해자,아 네네네네.
사기범,예 예 고객님. 일단은 승인 결과 나오셔서 연락 좀 드렸구요.
피해자,예?
사기범,통화는 좀 괜찮으세요?
피해자,아 네네네.
사기범,예 지금 금액 건은 제가 최초에 내어드린 가지불 결과 좀 인지하고 계신가요?
피해자,네네.
사기범,예 2400만 원에 7.5% 말씀 드렸잖아요.
피해자,네 네.
사기범,지금 금액 건은 기존보다 동일하게 내려오셨는데요
피해자,네.
사기범,"아 그런데 고객님께서는 현재 정상 승인권은 아니시고, 좀 죄송한 말씀이지만 지금 조건부 승인권으로 나와계시거든요."
피해자,네 네.
사기범,이게 월 소득 대비 채무상환능력.
피해자,채무상환능력.
사기범,그리고 조회 건 수 같은게 이제 합산 돼서 고객님들 개인이 받으실 수 있는 채무 한 도가 있으시잖아요.
피해자,네네네.
사기범,"지금 현재 고객님께서 그 한도가 가득 차있는 상태에요. 이게 총 부채 상환비율지 체 결과 초과되셔서, 아 사실은 지금 부결 건으로 나오셨는데..."
피해자,예.
사기범,뭐 다른 부분에서 문제가 없으셔서 제가 심사과에서 직접 조건부 승인권으로 조회를 해온 거구요.
피해자,네.
사기범,"어 심사과에서 이제 말씀하시는 조건이라는 게 지금 고객님께서 보증인이신 채무 일 부를 고객님께서 직접 상환 처리하셔서 채무금 감면 좀 만들어 주시면, 금액과 동일 하게 조건부 승인권으로 당일 중으로도 수령 가능하다고 말씀하시거든요. 어 혹여나 이게 오해하실까봐 말씀 드린 건데 저희 쪽으로 납부하시는 거 절대로 아니세요. 바 로 직접 연락하셔가지고 고객님 채무 상환 처리하시는 거구요."
피해자,예.
사기범,지금 이제 심사과에서 말씀하시는 금액 최소 변제 금액이 300만원이세요.
피해자,네 네.
사기범,물론 뭐 300만원 적은 금액은 아니잖아요. 하지만 이제 고객님 2400만원 나가시잖 아요. 대환하실 게 2300이시고 생계 자금 100만원이신데 300만원 상환하시면 이제 대환하실 금액이 줄어드시는 거잖아요. 부채상환으로.
피해자,네.
사기범,그러면 생계 자금이 400만원 된다고 생각하시면 되시는 거거든요. 나머지 자금은 고객님 다른 용도로 사용하셔도 무관하신 거기 때문에 어 당일 중으 로 고객님한테 들어가신다고 생각하시면 되시는 거거든요. 좀 힘드시겠지만 고객님께서 채무 A1 대부 NR이든 어느쪽으로든 300만원 정도 좀 채무 직접 상환 처리가 가능하실까요?
피해자,지금 좀 힘든데?
사기범,좀 많이 힘드시고요?
피해자,예.
사기범,아 물론 적은 금액은 아니지만 제가 말씀 드리는 게 이제 고객님한테 어차피 당일 중으로 들어가시는 거기 때문에 좀 말씀을 드려보는 거구요
피해자,네 네.
사기범,어 이제 고객님께서 뭐 처리했는데 자금 안 나오면 어떡하냐 걱정하실 수도 있으신 데 이게 담당자 입장에서 확실하지 않은 부분에 대해서 권유를 드렸다가 나중에 가 서 안 된다고 말씀드리면 저도 차후에 문제가 생길 수가 있기 때문에.
피해자,네 네.
사기범,뭐 확실하지 않은 부분에 대해서 권유 자체를 안 드리거든요.
피해자,네.
사기범,조건 부분 충족되시면 승인 나시는 거고 자금 수령 가능하신 거니까요.
피해자,네네.
사기범,어 좀 힘드시겠지만 고객님께서 뭐 하루 만이라도 좀 잠깐만이라도 융통하셔서 채무 300만 원 정도만 좀 줄여주시고 자금 저희 쪽에서 이렇게 좀 받아 보시는 쪽으로 이렇게 하시는 게...
피해자,아 그러면은 대출금을 조금 낮춰서 받을...
사기범,아 이게 예 저희 쪽에서 나가는 자금 액수랑은 무관하세요. 왜냐면 고객님 이제 채 무... 본인의 채무 한도가 문제가 생기신 거기 때문에
피해자,예.
사기범,"저희 쪽에서 뭐 1,000만원이 나가든 2,000만원이 나가든 자금 액수랑은 사실상 크게 무관하신 거구요"
피해자,아...
사기범,"예 그리고 뭐 다른 쪽에서 이게 부결이 나시면 담당자가 전화 한통도 안 드린 경우 가 솔직히 많으세요. 뭐 문자 한통으로 부결 났다고 이렇게 발송하고 끝나는 경우가 많으신데 지금 한도 부분 솔직히 괜찮게 나오셨고, 조건부 승인권으로 떠 안고 가실 필요없으시기 때문에 제가 최대한 한번 조회를 해본 거거든요. 힘드시겠지만 고객님 잠깐만이라도 이렇게 융통하셔서, 어 좀 채무 상환 처리를 하시고 좀 제가 받아 보 시는 쪽으로 좀 최대한 권유를 드려보고 싶습니다"
피해자,지금은 좀 힘들겠네...
사기범,좀 많이 힘드시구요?
피해자,네.
사기범,이거 일단은 제가 보류 건으로 좀 남겨놓을게요.
피해자,네 네.
사기범,고객님께서 힘드시겠지만 뭐 최대한 한번 융통해보시고 어차피 고객님한테 당일 중 으로 들어가시는 거니까.
피해자,음...
사기범,아니면 고객님이 현재 카드론 같은 것도 전혀 지금 한도가 없으신 거세요?
피해자,네 네. 안 될거 같...
사기범,뭐 물론 힘드시겠지만 한번 최대한 융통해 보시고.
피해자,네.
사기범,예 뭐 조건부 승인권이시기 때문에 이 부분 충족되시면 자금 수령 가능하신거니까요.
피해자,네.
사기범,어 고객님께서 좀 힘드시지만 최대한 한번 융통해보시고 저한테 꼭 한번 연락주세 요. 조건부 승인권으로 남겨놓게게 할게요.
피해자,알겠습니다.
사기범,네 감사합니다.
