Role,Dialogue
사기범,네 웰컴저축은행입니다
피해자,네 문자받고 전화드렸는데요
사기범,아 네 문자 언제받으셨어요?
피해자,네?
사기범,문자는 언제 받으셨어요 고객님?
사기범,아 좀전에 받으셨어요? 네 성함이 어떻게 되십니까?
피해자,ㅇㅇ이요
사기범,ㅇㅇ이요 고객님? 네 확인 되셨구요 현재 저희가 고객님 앞으로 최대 천이백만원까지 이용 가능하시다고 문자 보내 드렸네요 지금 신청하시면 가능 하시구요 저희
사기범,이상품은요 대출 대체 상품으로 고객님들께 마이너스 통장을 발급해 드려서 저금리로 이용할수 있게끔 진행해 드리고 있으신데요 고객님 마이너스 통장 사용해보신적 있으신가요?
피해자,네
사기범,아 그러시면 이용방법은 똑같으시구요 한도와 이율같은 경우에는요 고객님들의 신용등급에 따라서 조금씩 다를수있고요 ..
피해자,아 그럼 어떻게 조회되고 저에게 문자가 발송된 거에요
사기범,아 고객님께서 대출신청 하셨다가 부결나셨잖아요 저희쪽에서 가능하신 상품이 있어서 연락 드렸습니다
피해자,네
사기범,네 고객님 이제 어떻게 해드릴까요?
피해자,아 네 진행할수있으면 해주세요
사기범,아 네 그러시면 저희가 본인확인 겸 기본적인 인적사항 다시 여쭤보고 진행 도와드릴건데요 현재 고객님 직장인이신가요?
피해자,네
사기범,4대보험은 적용 되시구요?
피해자,아니요
사기범,어떤직종이십니까?
피해자,의료요
사기범,의료면 간호사인가요? 아니면 어떻게 되신가요?
피해자,네 간호조무사요
사기범,네 소득은 얼마정도 되시구요? 고객님?
피해자,연봉 2800정도요
사기범,2800요? 네 그러시면 기대출 얼마정도 있으시구요?
피해자,은행별로 얘기 해드려야되나요
사기범,아니요 총금액 말씀해주세요
피해자,2900이요
사기범,연체되시거나 연체되신 기록은 없으시죠?
피해자,네
사기범,네 4대보험이 안되시니까 600만원까지 이용이 가능 하시네요 이율은 연 9%나오셨구요 저희가 이제 고객님들의 신용등급에 따라서 마이너스 통장이 두가지 방법으로 진행해드리고 있으신데요
사기범,신용등급이 3등급까지 되시면 저희가 신규로 마이너스 통장 발급이 가능하시구요
사기범,4등급이하인고객님들께는 고객님께서 기존에 사용하시던 통장과 저희가 연동을 시켜드려서 기존 통장이 마이너스 통장으로 이용이 가능하게끔 해드립니다
사기범,고객님 그러시면 마이너스통장으로 연동 받으실 은행은 어떤 은행으로 진행하시겠습니까?
피해자,아 그것도 저축은행에서 받은건데..
사기범,네
피해자,상관있나요?
사기범,네 상관 없으세요 그런건 네
피해자,마이너스통장인지를 몰라요
사기범,그게 무슨말씀이신가요
사기범,고객님께서 저축은행에서 대출받으신게 있으시다구요?
피해자,네
사기범,아 그러면 사용 금액이 마이너스 표시가 되시던가요?
피해자,안됐던거같아요
사기범,그러시면 일반통장이십니다 고객님
피해자,아 네
사기범,저희가 마이너스 통장으로 승인받으신지는 저희쪽에서 확인 받으시면
피해자,네
사기범,그럼 그거는 일반 통장이시구요
피해자,네
사기범,그러시면 고객님 연동받으실 은행 어떤 은행으로 신청하시겠습니까?
피해자,우리은행이요 네
사기범,그러시면 우리은행 체크카드 사용하고 계시죠
피해자,네
사기범,체크카드 하루에 출금 금액이 얼마이십니까 고객님
피해자,600만원 정도요
사기범,아 네 언제 확인해보셨어요?
피해자,예전에 제가 그렇게 등록을 했어요
사기범,아 600만원이요? 그리고 체크카드는 계속 꾸준히 사용 하시구요?
사기범,아 왜냐하면요 저희가 체크카드를 어느정도 사용 안하시면 체크카드로 6개월에 한번씩 자동 하향 되세요 고객님께서는 우리은행 체크카드 꾸준히 사용하고 계시구요
사기범,아 그러시면 가능하십니다
사기범,우리은행으로 저희가 연동을 받으실려면요 계좌번호 확인 되셔야돼요 계좌번호 확인 되십니까
피해자,네
사기범,네 불러주세요
사기범,잠시만요 확인한번 해드리겠습니다 맞으신가요?
피해자,네
사기범,네 알겠습니다 그러시면 저희가 이쪽으로 연동승인 넣어드릴거구요 승인 받으시는데는요 시간은 1시간정도 소요되시는데요 이게 완료 되시면 저희쪽에서 바로 연락드리겠습니다
피해자,네
