Role,Dialogue
사기범,아 지금 통화 가능하세요?
피해자,예
사기범,"처리되신 거죠, 고객님."
피해자,예
사기범,아 네 지금 저희 쪽에서 처리되셨다고 공문 받았구요.
피해자,예
사기범,"지금 처리하시고 전화 달라고 말씀 드렸었는데. 바쁘셨어요, 고객님?"
피해자,아니 아까 전화번호가 없는 걸로 나오는데?
사기범,"어떤 번호 가요, 고객님?"
피해자,지금 이 번호가.
사기범,중개 번호요?
피해자,없는 번호로 나오는데요.
사기범,어떤 번호가 없는 번호 나오신 거예요?
피해자,구 오 팔 사.. 구 삼 구 팔 삼 오
사기범,"저희 지금 통화하고 있잖아요, 고객님."
피해자,아니 그러니까 통화를 다시 누르니까 없는 번호로 뜨는데?
사기범,뭐 잠깐 뭐 혼선된 거 아니세요? 일 오 둘 둘에 구 팔 삼 오. 저희가 지금 이걸로 연락을 드리고 있는데.
피해자,그러니까 이상하게.
사기범,하하하 바쁘신가 봐요 고객님? 아 지금 저희가 이거 지금 처리되신 거 확인되셨구요.
피해자,예
사기범,"저도 기다리고 있거든요. 다른 업무 안 보고 지금 저희가 오늘 중으로 좀 내어 드리기 위해서 이거 준비를 좀 해드린 거잖아요. 그래서 최종적으로 확인 한번 해드릴게요. 지금 시간이 좀 어느덧 지금 좀 많이 지났잖아요, 고객님. 지금 세시 사십분. 어 제가 한 네시라고 저희가 시간 한 두시간 정도 시간을 좀 주셔야 돼요. 그래서 지금 시간이 세시 사십분이니까,"
피해자,예
사기범,"아 잘 되셨네요. 아무래도 고객을 뺏기는 입장이다 보니까, 좀 빳빳하더라고요."
피해자,네
사기범,"뭐 좀 음 그래서 좀 걱정을 많이 했는데 그래도 좀 잘해주셔서 말씀을 좀 끝내셨나 봐요, 고객님. 처리는 다 하신 거죠?"
피해자,예 예.
사기범,저희 쪽에서 아직 서류는 이관은 못 받았는데 해준다고 약속은 지금 들어와있어요.
피해자,네
사기범,그래서 저도 이제 고객님에게 OOO고객님에게 시간 약속해드리는 거는 지금 네시라고 가정을 하고요.
피해자,네
사기범,"저희가 여섯시 전까지는 책임 지고 고객님 신청하신 신한 은행 계좌 마지막으로 확인해 드릴게요, OOOOOOO번. 맞으시죠?"
피해자,네 네
사기범,그쪽으로 주식 회사 롯데 캐피탈 이름으로 이천 이백 수령하실 거구요.
피해자,예
사기범,"그 1,000만원은 상환 처리를 미리 산와머니 쪽에 해 주셨기 때문에 추가적으로 사용해 주실 필요는 없으세요. 그래서 예 이천이 백만원 다 자유롭게 사용 가능하신 거거든요. 지금 상황이."
피해자,예
사기범,"이천 그 이거를 잡기 위해서 아까 조금 그 좀 이렇게 좀 안 맞으셨던 거 같아요, 시간이. 그래서"
피해자,예
사기범,"이렇게 해주시면 되시고. 계약서는 저희가 칩이 내장 되어 있어서 저희가 그 직원 방문이라든지 등기로 저희가 오프라인으로 보내드리고 있습니다. 그 받아 보실 주소, 세부적인 주소 한번 말씀해 주시겠어요?"
피해자,어 주소가.. 받아 볼 수 있는 주소요?
사기범,네 네 뭐 자주 가시는 직장이시라든지.
피해자,네 잠시만요.
사기범,네 자택으로 하시긴 좀 그러시죠.
피해자,예 여기 사무실로 보내주시면 되요.
사기범,네 혹시 그 좀 보안 유지 상황이 좀 필요하신 상황이신 거세요?
피해자,아니요. 그니까 그런 건 아니고.
사기범,그런 건 아니시구요.
피해자,사무실에 계속 있으니까.
사기범,네
피해자,잠깐만요
사기범,네
피해자,OOOOOO
사기범,"그렇게만 하면 되나요, 고객님?"
피해자,예 예
사기범,"잠시만요. 저희 그 직원 방문하시는 게 나으시죠, 아무래도? 등기로 보내드리는 것보다는."
피해자,아 저 직원..
사기범,저희가 등기로 보내 드리면은 고객님께서 받으시고
피해자,네
