Role,Dialogue
피해자,여보세요
사기범,네 여보세요
피해자,네
사기범,네 안녕하세요. 고객님 케이비 국민 은행 김진아 대리입니다.
피해자,네
사기범,네 어 월요일날 접수해주신 부분 결과 나와서 안내 차 연락 드렸거든요.
피해자,네 네
사기범,잠시 통화 괜찮으시면 제가 결과 안내 도와드리도록 하겠습니다
피해자,네 말씀해 주세요
사기범,아 네 지금 현재 결과가 나오신 게 저희 쪽이 상품이 이제 서민 구제 명목으로 정부 지원을 받고 출시가 된 상품이 신데 기존 마이너스 통장보다는 발급 조건이 그렇게 까다롭지는 않다고 말씀을 드렸었잖아요
피해자,네
사기범,"네 근데 그렇게 까다롭지 않은 대신에 저희 쪽에서 이제 다 고객님들께서 신용 대출 거래 이력을 토대로 이 구행 인제 발급을 넣어 드리고 있는 상황인데 고객님 현재 신용 대출 거래 내역이 전혀 없으시다고 이렇게 결과가 나오셨어요. 지금 현재 이용중 이신게 주택 담보 대출만 이용 중이신데 이 부분은 당연히 금융권에서 저금리로 받으셨기 때문에 연체를 안 하시게 되시는데 이제 신용 대출 거래 이력을 토대로 이제 발급을 내어 드린다는 게 어떤 거냐면은 이제 이 부분 신용 대출 이용하시게 되시면은, 그 고객님께서 원금이랑 이자 같은 부분을 상환을 하시잖아요? 그 내역을 보고 이 고객님께서는 아 인제 저희 쪽 마이너스 통장 발급을 해드려도 문제 없이 사용이 가능하시겠구나 뭐 안하시겠구나, 이렇게 인제 판단을 해야 하는데 고객님께서 판단할 수 있는 자료가 없다고 말씀을 해 주시더라고요. 그래서 저희 쪽 마이너스 통장 발급시에 원금과 이자되는 부분을 원활이 상환을 해주실 수 있는지 상황 능력평가 미달로 현재 부결 처리가 나오셨거든요"
피해자,네.. 그럼 이게 대출 있어야지 되는 그런 상황인건가요?
사기범,음 솔직히 결과가 나오신 게 이렇게 결과가 나오셨는데 솔직히 말씀 드려서 제가 인제 심사과에서 어떤 기준으로 인제 심사를 판단을 하는지 정확하게 말씀을 드릴 수가 없어요. 심사과에서 판단하는 부분이기 때문에
피해자,아니 그러니까 결론은 제가 이 대출이 서민 뭐 그렇게 해가지고 기존에 신용 대출이나 이런거를 받은 사람 해가지고 신용 대출을 갚는거 그런걸 토대로 해가지고 처리를 해서 나온다는 건가요?
사기범,네 일단 결과는 그렇게 나오셨거든요.
피해자,이해가 안가네요.
사기범,"그 인제 말씀 드리자면 신용 대출 거래 내역을 토대로 이제 고객님께서 뭐 잘 이제 저희 쪽 마이너스 통장 발급 같은 경우 에는 내어 드렸을 때 원금과 이자되는 부분이 원활이 잘 상환을 해주실 수 있는지 뭐 이런 부분으로 이제 결과가 나오시는데 제가 봤을 때 고객님 충분히 가능하실거 같아서 발급이 그런 부분이 있을거 같아서 제가 이제 접수를 도와드렸던 부분인데, 어.."
피해자,"은행에서는 지금 그런건가요? 심사과에서 그런건가요? 제가 마이너스 대출을 받으면 상환할 수 있는 능력이 없다고, 안된다고 판단하는 건가요 그럼?"
사기범,약간 이제 그런 판단을 할 수 있는 게 판단을 할 수 있는 판단 여부 인제 그런 자료가 조금 약간 부족하다라는 식으로 이제 결과가 나오셨어요.
피해자,희한하네.
사기범,저희 쪽에서도 약간 이제 저한테는 충분히 사용 가능하실것 같아서 저도 상담 이제 접수 도와드렸던 부분이시고 제가 봤을 때는 건 부결 처리 나오신게 아쉬운 부분이 굉장히 많으세요. 지금 뭐 사대 보험 가입되어 있으시고 사대 보험도 있으신 직장도 재직 중 이신데다가 재직 기간도 오래 되셨고 소득 같은 부분도 그렇게 적으신 편이 아니신데 조금 아쉬운 부분이 좀 많으신데
피해자,"그니까 이게 왜,, 그냥 아예 안 된다고 나온건가요? 금액이 줄어 든게 아니라, 아예 마이너스 통장이 발급이 안된다고 나온건가요?"
사기범,"네 부결처리가 나오셨어요. 이 부분이 음,"
피해자,이해가 안가네. 제가 핸드폰 요금이나 카드 요금이나 이런 거는 한번도 밀린적이 없는데. 제가 지금 신용 대출을 받아도 제가 삼천만원 정도는 나오는 걸로 알고 있는데.
