Role,Dialogue
사기범,"아 네 그러시면 제가 심사 결과 안내 도와드리겠습니다. 어 현재 OOO 고객님께서는 지금 직장에 근무하시며, 지금 대출 면에서 지금 현재 우리 은행 등 3개 금융사에서 자금을 받아 보셨고 그리고 총 5개 금융사 카드를 사용 중이시잖아요."
피해자,네
사기범,예 최근까지 연체 없이 사용하시고 우량하게 사용하신 점은 저희 국민 은행 측에서는 굉장히 긍정적으로 평가가 됩니다.
피해자,네
사기범,어 근데 지금 반면에 저희 측 전산에는 현재 현금 서비스 사용 빈도 과다로 나와있으셔서..
피해자,아 네 네
사기범,예 최종 상환능력평가 미달로 정말 아쉽게 부결 처리가 나오셨는데. 어 고객님 현금 서비스가 이제 소액의 긴급 자금 서비스 대출인 건 알고 계시죠?
피해자,몰라요.
사기범,어 이 부분은 고객님께서도 이제 뭐 소득이 분명히 있으신 데도 불구하고 현금 서비스를 사용하신다는 거는 이제 카드를 현금화는 거잖아요
피해자,네
사기범,예 그렇기 때문에 전산 측에는 고객님께서는 이제 자금이 부족하다고 판단이 되세요.
피해자,아..
사기범,예 이제 이제 그래서 정말 아쉽게 상환 능력 평가 미달로 이렇게 부결이 나오셨는데
피해자,네
사기범,이 상환 능력 평가라는 거는 저희 국민 은행 측에서 추가적으로 자금을 내어 드렸을 때 고객님께서 제대로 상환할 수 있는 부분을 확인하는 거예요.
피해자,네
사기범,"예 근데 제가 오전에 좀 확인을 해보니까, 고객님께서 저희 쪽 전산에서 이 상환 능력 평가 부분만 좀 확인되시면 처음 받아 보셨던 한도와 금리보다 좀 더 좋은 조건으로 발급은 가능하다고 확인이 되세요."
피해자,아 네..
사기범,네 이게 먼저 고객님께서 정말 이렇게 아쉽게 부결이 나신 부분도 있고 솔직히 말씀 드리면은 저도 다음 달에 정말 중요한 진급 심사가 있어요. 예 그래서 저도 좀 급하게 실적을 좀 올려야 하는 부분도 있는데 뭐 그렇다고 제가 아무 고객분들이 된다고 해서 예 그래서 그렇게 해서 하는 거보다..
피해자,네
사기범,"뭐 고객님처럼 연체 없이 잘 상환해 주시는 그럼 고객분을, 신규 고객분을 예 저희 국민 은행 본점 측으로 유지를 해야 실적 부분이 반영 되거든요."
피해자,아..
사기범,예 전산상 상환 능력 평가로 미달이 되신 건데 어 이렇게 전산으로 부결이 나신 만큼 다시 이제 전산으로 승인을 만드는 건 뭐 이렇게 말씀 드리기 좀 그렇지만 굉장히 간단하시긴 해요.
피해자,네
사기범,우선은 고객님께서 손해 가시는 건 전혀 없으시니까 어 혹 진행하실 의사가 있으시다면 제가 자세하게 상환 능력 평가 부분에 대해서 조심스럽게 말씀을 드려볼게요.
피해자,네.
사기범,우선은 약간의 편법 이지만 상환 능력 평가만 따로 보실 수 있게 예외 심사건으로 재접수를 도와드리려고 하는데. 예 고객님 생각은 좀 괜찮으신가요?
피해자,저는 그거를 내용을 모르니까.
사기범,음 일단은 뭐 고객님께 손해 가시는 거 전혀 없으세요.
피해자,근데 뭐 어떤거 때문에 그러시는 거에요?
사기범,어 우선은 이 상환 능력 평가를 볼 수 있는 여부도 제가 과장님께 한번 여쭤보고 승인이 나셨을 경우에 평가를 진행 가능하신 부분이고요.
피해자,아니 그게 어떤 식으로 절차가 되는데요? 절차는?
사기범,우선은 상환 능력 평가라는 거는 고객님께서 그 자금이 이제 이제 부족하다 라고 판단이 되셔서 부결이 나셨잖아요. 근데 그 부분이 확인을 해야 되기 때문에 제가 이제 과장님께 먼저 승인을 받고 와서 그 추후에 제가 설명을 해드릴 수가 있는데.
피해자,국민은행 자체내에서 이걸 하는건가요? 아니면..
사기범,국민 은행에서 하시는 거죠 고객님.
피해자,네 네 네 네. 어떻게 절차를 밟는 거에요?
사기범,"어 일단은 그.. 그 부분에 대해서 저희 과장님이랑 먼저 통화를 먼저 해주셔야 되세요 고객님. 그래서 제가 이 서류 접수를 다시 하면서 저희 과장님께 제가 그냥 일반 접수, 그냥 일반적으로 다시 하게 되면 뭐 이제 윗선에서 이제 서대리가 실적을 좀 채우려다보다 라고 안 좋게 보실 수 있기 때문에 제가 그래서 이제 친인척 관계로 이렇게 해서, 어 저희 친척 이모님 정도 되신다고 하면서 이렇게 접수를 도와 드릴게요... 여보세요?"
피해자,예.. 뭔지 모르겠네..
사기범,아 그러시면 고객님 이거 굳이 그 좀 그런 부분이 있으시면 진행 안하셔도 되세요. 뭐 저도 물론 실적 부분 때문에 이렇게 말씀을 드리는 거지 고객님께서 굳이 그렇게 뭐 많이..
