Role,Dialogue
사기범,어 성함이 어떻게 되십니까 고객님
피해자,"뭐 신한은행, 뭐 방금 어떤 여성분한테 전화왔는데, 뭐 좀 여쭤볼려고 하니까 바로 전화 끊어 버리더라고요"
사기범,"어, 누, 누가, 누구한테 전화를 하셨다고요?"
피해자,아니요 거기서 전화가 왔거든요. 신한은행 대출할 거 있으면은 동의하면 연락주겠다고 하면서
사기범,아 그러십니까. 아 저희가 이제 뭐 중금리 혹은 고금리 대출 부채를 지금 보유하신 분들께 한해서 저희가 이제 ARS 발송 드린 부분 이구요. 어 불편하셨으면 저희가 차단을 시켜 드리겠습니다. 고객님
피해자,지금 통화한데가 어디에요?
사기범,"저희는 이제 신한 은행 본점 스마트 센터라는 부서입니다. 고객님. 마이너스 통장, 그 담당 업무를 받, 맡고 있는 부서입니다 고객님"
피해자,아 제가 뭐 동의를 해서 거기로 번호가 간 건가요? 마케팅...
사기범,네 네 고객님. ARS 1번 눌러주셔서 저희가 이제
피해자,그렇죠
사기범,확인을 하고 전화드리는거거든요.
피해자,ARS는 뭐 랜덤으로 통화 가는거에요?
사기범,"아니 그 아까 말씀 드렸다시피, 이제 고객님께서, 어 일정 부분 이상 부채를 보유하신 분들께 한해서 고객님께 저희가 이제 저금리로 이제 마이너스 통장 어 발급해 드리면, 대환 쪽으로 이제 필요로 하신 분들이 많으시니까, 저희도 이제 마이너스 통장 사용하시면서 나머지 대출 부채를 이렇게 정리를 하자 이 뜻으로..."
피해자,부채가 없는데
사기범,아 예 아 예 없으십니까. 고객님?
피해자,네
사기범,아 그러시면 이제 고객님 뭐 은행 금융권 한번도 사용하신 적이 없습니까?
피해자,금융권은 사용하는데 부채는 아에 없거든요
사기범,"아 그럼, 그 사용하시면서 저희가 이제 어, 해당 사항 대상자분들께 전화가 가시거든요"
피해자,"아 그 신한은행은 뭐, 제꺼 정보를 확인해서 열람했다는 거예요?"
사기범,네 네 네
피해자,아 제가 동의를 안 해도요?
사기범,"아 네, 이거는요. 고객님께서 거절하시면 거절하실 수 있는 ARS라서요"
피해자,"아니요. 아니요. 그, 그거 이전에 뭐 방금 말씀하신 거는."
사기범,이제 무작위로 발송이 되십니다. 고객님.
피해자,무작위로 그러면 제꺼 정보를 열람을 해서 확인 후에 전화를 줬다는 말씀이세요?
사기범,"네, 고객님. 이거, 그거는 이제 동의 거절하실 수 있으시니까요"
피해자,"아니요, 아니요. 자 통화를 받고 거절하는 건 나중 문제고 그 전에 제꺼 정보를 열람했단 말씀이잖아요"
사기범,"네, 죄송합니다. 고객님"
피해자,"아, 네. 거기가"
사기범,죄송해요. 죄송해요. 고객님
피해자,"아니요, 아니요. 저 다 녹음했고요. 거기 통화하는데가 신한은행 스마트"
사기범,"네, 맞습니다. 네"
피해자,"아, 그래요. 그러면은 수신거부 해주시고요"
사기범,네
피해자,거기 위치가 어디죠? 정확히?
사기범,서울 중구 세종대로에 위치하고 있구요.
피해자,아 신한은행에서 정상적으로 운영하고 있는데에요?
사기범,예 예 예. 맞습니다 고객님. 불편하셨으면 죄송합니다. 고객님
피해자,"그리고 그 저랑 통화했다가 바로 끊으신 분은, 그 분하고는 통화가 불가능하죠?"
사기범,"어, 네 네. 고객님. 뭐 네 연결을 시켜드릴 수는 있는데요. 워낙 이제 상담 업무가 많아서요. 고객님"
피해자,정확하게 신한은행 스마트센터 맞죠?
사기범,네
피해자,네 알겠습니다. 네
사기범,네
피해자,저 금감원에 한 번...
