Role,Dialogue
사기범,여보세요
피해자,여보세요
사기범,아 예. 안녕하세요. 고객님. 새롭게 시작하는 KB 국민은행 김연우 대리라고 합니다.
피해자,네
사기범,네 제가 전화드린 건 다름이 아니구요.
피해자,네
사기범,고객님께서 마이너스 통장 발급 신청 희망해주신다고 하셔서 제가 상담 차 연락드렸구요.
피해자,네
사기범,네 발급 신청해주신 고객님 본인이 맞으신가요?
피해자,네
사기범,네 그러시면 제가 간단하게 상품 설명 먼저 도와드려도 괜찮으시겠어요?
피해자,네
사기범,네 저희 국민은행 마이너스 통장은 연금리 최저 3.7%에서 최대 7.5%까지 저렴하게 출시가 되었구요.
피해자,네
사기범,"한도는 최대 5000만 원까지 이용 가능하신데, 한도와 금리는 고객님의 신용 등급에 따라 차등 적용되시구요. 5년 동안 금리 변동 전혀 없이, 고정 금리로 사용 가능하신 마이너스 통장 상품이세요."
피해자,네.
사기범,혹시 추가적으로 더 궁금하신 사항 있으신가요?
피해자,5년 동안 갱신없이 쓰는거에요?
사기범,네 고객님 그러시고 5년 만기일까지 고객님 연체 없이 우량하게 잘 사용해 주시면요. 이제 5년 만기 시에 추가로 3년 더 갱신이 가능 가능하세요.
피해자,네
사기범,네 네. 그러셔서 총 8년 사용하실 수 있는 마이너스 통장 상품이시구요
피해자,네
사기범,기존에 마이너스 통장 같은 경우에는 고객님 연마다 금리가 변동되잖아요
피해자,네
사기범,"네 네. 그렇지만 저 요번에 나온 저희 마이너스 통장 상품 같은 경우 에는 국민 행복기금 즉 정부에서 지원을 하는 상품이기 때문에, 금리 변동 전혀 없으시고요. 서민형 대출로 나온 상품이라 인제 시중에 나와있는 상품으로는 뭐 햇살론이나 새희망홀씨 같은 대출 상품 알고 계시죠?"
피해자,아뇨 잘 몰라요.
사기범,아 잘 모르세요?
피해자,네
사기범,네. 어쨌든 정부에서 지원을 잘 받고 있는 상품이기 때문에요 금리같은 부분 변동 전혀 없으세요.
피해자,이거 새로 출시된거에요?
사기범,네?
피해자,상품이 새로 출시된거에요?
사기범,아 출시된지는 고객님 2주 정도되셨어요
피해자,2주요?
