Role,Dialogue
피해자,여보세요?
사기범,네 2가지 방법이 있는데 첫 번째는 국민은행에 고객님 적금이나 정기 예금 상품이나 신청하시는 거예요
피해자,네
사기범,그렇게 되시면 평점이 오르긴 합니다만 그 500만원 이상 목돈 넣어 두시고 한 3개월 이상 정도 기다리셔야 하시거든요. 근데 고객님 지금 필요하신 대출이시잖아요
피해자,네
사기범,"이 방, 뭐 그래서 제가 기간이 좀 걸리니까 추천 드리지 않고, 단 시간에 신용 점수를 상향시킬 수 있는 방법이 있는데, 채무 채무 상환 능력 평가를 하는 방법이에요. 쉽게 이야기해서 뭐 이 채무 상환 능력은 고객님께서 뭐 신규 대출 1건 발생시키시고, 쓰지는 마시고 바로 일시 상환을 하시는 거예요. 그러면 고객님께서 전화를 받으시다가 일시 상환하신 기록이 남으시잖아요. 자금이 필요해서 대출을 받긴 하셨지만 바로 갚을 수 있는 능력이 있다고 판단되요. 평점이 상향되시는 방식인데 대출 받으시고 3, 4일 이내에 상환하시게 되시면, 그 때 금융사마다 차이는 조금씩 있지만 그러시면 평점이 20점에서 한 40점 정도가 상향이 되세요. 그러시면 고객님 768점이니까, 어 대출 받으셨다가 바로 상환하시면 한 2 ,30점 오르신다 생각하시면 800점에 들어가시게 되는 부분에서 고객님께서 신청하신 그 마이너스 통장 발급 조건에 아무런 문제가 없으시게 되시는 거죠. 뭐 방법이 이해를 하시겠어요? 고객님?"
피해자,뭐 어떻게 하라고요?
사기범,"아니 지금 고객님 32점 평점이 부족하신 부분이 있는데 그 고객님이 뭐 신규 대출 한 건 발생시키시고, 쓰지는 마시고 바로 일시 상환을 하시고 평점만 보완하셔가지고 제가 마이너스 통장을 뭐 발급 받는 방식으로 그렇게 진행하시면 가능하실 거 같애요"
피해자,근데 거기가 국민 행복 기금이 아니죠?
사기범,네?
피해자,국민 행복 기금이 아니잖아요
사기범,"아 저희, 아니 저희거는 마이너스 통장은 국민은행에서 발급하는 국민 행복 기금 상품이 맞으신데"
피해자,국민 행복 기금이 거기 물어 보니까 거기 없다든데
사기범,국민 행복 기금이 없다고요?
피해자,네
사기범,어디서 전화하셨는데요?
피해자,국민 행복 기금
사기범,네 국민 행복 기금이요
피해자,네 거기 쪽에 없다든데
사기범,어디에서요
피해자,국민 행복 기금에서요
사기범,"어디에 전화 확인, 전화하셔가지고 확인하셨단 말이에요?"
피해자,국민 행복 기금이요
사기범,아니 국민 행복 기금이 전화를 고객님 어떻게 한단 말이에요? 그거는 국민 행복 기금 상품 이름이에요. 고객님.
피해자,거기 어딘데요?
사기범,아 저희는 국민은행에 여신영업부에요
피해자,네?
사기범,국민 은행 여신영업부요
피해자,국민 은행이요?
사기범,예
피해자,국민 은행 어디 지점이요?
사기범,아 저희는 마포 지점이요
피해자,마포 지점이요?
사기범,네 여태까지 뭐 고객님이 어디신지도 모르고 전화 받고 저하고 통화하고 제가 서류 넣으시고 하셨던 거예요?
피해자,그 거기 전화번호 어떻게 되요?
사기범,네?
피해자,전화번호요
사기범,어디가요?
피해자,국민은행 마포점
사기범,대표 번호는 대표 번호는 지금 고객님 전화 받으신 그 전화 번호에요
피해자,아니 거기 사무실 전화번호
사기범,저희요? 저희 개인 직통 전화 번호 알려드렸잖아요
피해자,아 이거 거기 마포 지점 전화 번호요
사기범,지금 전화기에 뜨는 전화 번호 있으시잖아요. 그게 대표 번호에요
피해자,아니 그거 말고 그 사무실 전화번호 있잖아요. 서울이잖아요
사기범,말귀 못 알아들으세요?
피해자,서울 아니에요?
사기범,맞아요
피해자,그럼 02로 시작되잖아요
사기범,"지금 그 지금 핸드폰 뜬 전화 번호가 저희 대표 번호요. 02, 02 눌르시고 하셔도 되고 02 빼고 하셔도 되시는 거예요"
피해자,다른 번호 이게 없다고요?
사기범,네 그게 대표 번호라고요
피해자,알겠습니다. 생각해보고 다시 전화할게요
사기범,생각 안해도 되겠는데요. 보니까
피해자,네
사기범,무슨 생각을 해보세요
피해자,알았어요
사기범,어딘지도 모르고 뭐 서류 넣고 대출 받을려고 했던 것 그런 자체가 이해가 안되네
피해자,네
