Role,Dialogue
사기범,여보세요.
피해자,여보세요?
사기범,OO OOO입니다.
피해자,네네.
사기범,저희쪽 국민은행 쪽에서 재요청이 들어와서 연락드렸는데요.
피해자,네.
사기범,혹시 어떤 건 때문에 다시 요청 주신거세요?
피해자,"그, 관리자 관련계좌을 좀 열어달라고요."
사기범,그 혹시 담당자 관리계좌 말씀하시는 거세요?
피해자,네네네.
사기범,어 고객님. 일반적인 고객님은 잘 모르시는 부분이신데
피해자,네네.
사기범,실레지만 어떻게 알고계시는 거세요?
피해자,"아 그, 국민은행 일하는 사촌동생이 그 계좌를 열어달라고 해서."
사기범,"아 사촌동생께서 관리를 해주신 거세요? 아 그러신가요, 알겠습니다."
피해자,네.
사기범,일단은 담당자 관리계좌 사용이 가능하신지 확인한번 해드려볼텐데요.
피해자,네.
사기범,통화중에 가능하시니깐 전화 끊지말고 기다려 주시고요.
피해자,네.
사기범,"몇가지 부가적인 안내를 도와드려보자면요,"
피해자,네.
사기범,"저희가 담당자 관리계좌를 열람해 드리게 되면요,"
피해자,네.
사기범,열람이후 30분 안쪽으로 상응하는 내역이 대표하는 제안이 있으세요.
피해자,네.
사기범,"혹시, 바로 상환처리는 가능하시구요?"
피해자,네네.
사기범,"네, 그리고 담당자 관리계좌를 열람해 드리게 되면은"
피해자,네.
사기범,어떠한 용도로 사용이 되시는지
피해자,네.
사기범,별도의 사유작성이 필요하신데요.
피해자,네.
사기범,OOO고객님의 요청하에 저희쪽 채무건 정리하시는걸로 정해드려보겠습니다.
피해자,네네.
사기범,네. 고객님 담당자 관리계좌는 정상적으로 이용가능하시고요.
피해자,네.
사기범,저희가 말씀드려볼텐데 혹시 메모 괜찮으신가요?
피해자,"네, 말씀하세요."
사기범,"네, 개설은행은 기업은행으로 배정되었고요,"
피해자,네.
사기범,OOOOOO-OO-OOOOOO
피해자,네.
사기범,"담당자 관리계좌, OOO팀장입니다."
피해자,"네, 알겠습니다."
사기범,통화하신부분 확인한번 부탁드려 볼게요.
피해자,네. OOOOOO-OO-OOOOOO이요.
사기범,네 맞습니다.
피해자,네.
사기범,"상환하시고 나서 저희쪽으로 연락주시면요,"
피해자,네.
사기범,사용하신 확인해서 국민은행 쪽으로 완납결제서류 발송해 드릳록 할거구요. 다음에도 기회가 되신다면은 저희 현대저축은행 많은 이용 부탁 드려보겠습니다.
피해자,"네, 알겠습니다."
사기범,"네, 감사합니다."
