Role,Dialogue
사기범,우리가 단지 원하는 것은 돈이다. 아줌마가 얼마 해줄 수 있나?
피해자,그쪽이 누구신데요?
사기범,"누군지 알 필요없고, 아줌마 지금 상황 파악이 안 되나?"
피해자,지금 어디신거에요?
사기범,지금 내 차 안에 있다 애는.
피해자,네?
사기범,아줌마가 얼마.. 내 차 안에 있다고. 아줌마가 얼마 해줄 수 있나. 지금 현찰 얼마 있나?
피해자,"죄송한데요, 예 말씀해주세요."
사기범,(야 칼 가지고와)
피해자,아저씨
사기범,아줌마
피해자,네
사기범,아줌마 통장에 얼마　있어 지금.
피해자,저 지금 통장이 바로 없고요.
사기범,지금 당장 해결되는 돈이 얼마나고.
피해자,저 지금 가지고 있는거 백만원도 안되요.
사기범,신용카드는?
피해자,말씀 한번 해주세요.
사기범,있어 없어 신용카드
피해자,있어요. 말씀하세요.
사기범,"어디 꺼야? 어느 은행 꺼야, 신용 카드."
피해자,우리는 애는요?
사기범,아줌마 지금 어디에 있어요.
피해자,저 지금요?
사기범,지금 가까운 데로 가서
피해자,예 예
사기범,"애 데리고 갈테니까, 아줌마 지금 카드 들고 은행으로 가세요. 그 다음 현찰 찾고 우리 만나서 거래하자고. 나는 돈 받고 아줌마는 애 데리고 가고."
피해자,지금 어디쯤 계시는데요?
사기범,지금? 어디까지 여기? 아줌마
피해자,네
사기범,아줌마 지금 직장이야 아님 집이야.
피해자,저 지금 저기 집은 아니고요.
사기범,옆에 사람 있어 없어?
피해자,지금 없어요.
사기범,"아줌마 일단, 지금 우리 은행으로 가세요. 신용 카드 들고."
피해자,제가 뽑을 수 있는게 한계가 있어요.
사기범,신용 카드 가서
피해자,네
사기범,기계 가서 단기 카드론 누르면
피해자,네
사기범,한 6백 찾아 낼 거야. 내가 원래 삼천 요구 할랬는데
피해자,네
사기범,아줌마 가정도 안 좋고 한다니까. 내가 먼저 6백만원만 받고 애는 풀어 줄게.
피해자,지금 어디쯤 계시는데요?
사기범,아줌마
피해자,네
사기범,"어디냐 알 필요 없고,"
피해자,제가 있는 데로 오실거에요?
사기범,네?
피해자,그럼 제가 있는 데로 오실거에요?
사기범,그래 일단 돈을 찾아 가까운 데로 갈게
피해자,죄송한데 지금 저희 집 근처신가요?
사기범,아니다 왜냐.. 우리가 여보세요
피해자,네네
사기범,우리도 이동 중이라고
피해자,네
사기범,만약에 아줌마 신고하면 어떻게. 아니야? 그러니까 지금부터 전화는 끊지 말고 은행으로 가세요. 네? 우리 여기 깔끔하게 끝납시다.
피해자,일단 알겠고요. 제가 지금 배터리가 다 되서 교체해야 하거든요.
사기범,아줌마 내가 .. 알겠습니다.
피해자,네?
사기범,네?
피해자,잘.. 잘 안들려요
사기범,아줌마 됬다 됬다.
피해자,잠깐만요 잠깐만요.
