Role,Dialogue
사기범,네 220만원 처리하시고 받아가시라고 나와있는데 그거 맞으시죠?
피해자,네
사기범,지금 처리는 가능하신가요?
피해자,네 220이라고 얘기 안하셨는데..저 50만원이라고 했는데?
사기범,50만원이요?
피해자,네 제 상담원 아니시죠?
사기범,50만원으로는 안되시구요
피해자,죄송한데요 여기서 했던거 다 취소해주세요
사기범,취소하시겠다구요? 취소는 할수 있는데 고객님 납부 하셨던거 받아가시는데까지는 일주일정도 소요 되세요 상관없으신가요?
피해자,네 해주세요
사기범,네 알겠습니다 해드릴게요 그럼
피해자,취소 어떻게 해주실거에요?
사기범,저희쪽에서 취소 처리 올리면 돼요 일주일 후에 다음주 월요일 정도에 해서 환급 들어가실겁니다
피해자,환급처리가 정확하게 된다는건 어떻게 확인할수 있을까요
사기범,본사에 전화하시든 저희쪽에 연락주시면 ..
피해자,근데 어플은 삭제해도 되는건가요? 근데 이거 어플로 하고 나서부터 ㅇㅇ에서 다른 핸드폰으로 전화했더니 없다고 하시던데? 본인 인증 한게?
사기범,무슨 말이에요?
피해자,제가 이핸드폰에 다른핸드폰으로 전화하니까 ..
사기범,본인 핸드폰으로 전화 하셔야지 확인이 되죠
피해자,그리고 ㅇㅇ에도 전화했을때도 안됐다고 하던데..
사기범,본인 핸드폰으로 전화 안하시면 확인 안해주세요 금융사들이..
피해자,여보세요?
피해자,보이스피싱 맞으시죠?
사기범,아닙니다
피해자,심사처리 정확히 언제 해주실거에요
사기범,다음주 월요일에 들어가실거에요
피해자,정확하게 들어오는거 맞나요?
사기범,네 맞습니다
피해자,보이스피싱 맞으시잖아요
사기범,아닙니다
피해자,어떻게 확인해줄거에요? 본사에서 전화했는데 본사에서 본인인증 안된다는데? 경찰에 신고해도 돼요?
사기범,그건 상관 없어요
피해자,알겠습니다 이거 다 녹음 됐으니까 신고해드릴게요
사기범,네
