Role,Dialogue
사기범,안하셔도 되고 신용 등급 하락이라는 거는 십사일 이내에 대출 계약 철회도 상환 처리 하시는 거기 때문에 신용 등급에는 문제가 안되시니까.
피해자,그럼 제가 대출 받을 때 이걸 이렇게 얘기해서 하면 되는거죠?
사기범,"아니죠. 대출 받을 때는 이렇게 하면 안되죠, 고객님."
피해자,안돼요?
사기범,대출 받을 때는 당연히 뭐 대출 상환이라고 받는 거다 이렇게 얘기하면 안 되는 거구요.
피해자,네
사기범,네 그렇게 되면은 이제 고의적으로 편법으로 대출 진행한다는 거에 대해서 그쪽에서 승인을 안 내드리거나 저희 쪽에서 승인이 불가능하세요. 그러니까 대출 받을 때도 무슨 뭐 정부 상품 받기 위해 잠깐 하는거다 이렇게 말씀하시면 안 됩니까.
피해자,아 그래요?　그럼 제가 돈을 빌리면 이거를 가지고 저기 그 웰컴 저축 은행하고 이쪽에다가 그냥 납부하면 되는 거예요? 어떻게 하면 되는거에요?
사기범,"아니 아니요. 아까 말씀 드렸다시피, 공문을 발송이 되시면 저한테 전화 주시면돼요. 예 예"
피해자,"예 예, 그러면 언제, 거기서 직접 주시는 거에요?"
사기범,예 아 제가 공문 접수를 하면요. 예 그쪽에서 고객님한테 확인 전화 들어오신다고.
피해자,"아 웰컴에서 전화가 오고? 그러면 지점 가가지고,"
사기범,다시 한 번 설명 드리겠습니다.
피해자,네 네
사기범,"네 네. 어 일단은 고객님께서 그냥 상황을 알아서 하시게 되시면은요, 제가 예를 들어서 뭐 자금 융통하시고 저희 방문 접수 안 하고 바로 상환 처리하시게 되면은 신용 상환 대출입니다."
피해자,예
사기범,그렇기 때문에 고객님 전산이 저희 쪽으로 이관되지 않기 때문에 대출이 불가능하시구요.
피해자,예
사기범,"고객님 상환하실 때는 저희한테 미리 말씀해 주셔야지 제가 그쪽 저축 은행이라던지 캐피탈, 금융사에 다 공문 접수를 해요."
피해자,예
사기범,공문 접수 내용은 뭐냐면은 고객님에 대한 신용 평점이나 이런 데이터를 조정을 해서 저희 쪽에 넘겨달라는 이런 공문 내용입니다.
피해자,네
사기범,"그 공문 내용을 고객님께서 동의를 해주시고,"
피해자,네
사기범,예 전화를 받아 주셔야지만 전산 자료가 저희 쪽 넘어 오기 때문에
피해자,예
사기범,"공문 접수를 하고, 하고 나서 고객님 상환 처리하시고 나서 그 다음에 저희 쪽에 대출 나가는 거예요. 그렇게 되면 최종 승인이 나오시면은 고객님 원하신 지점 쪽으로 제가 그때 연결을 시켜드립니다."
피해자,아 그래요? 원하는 지점은 그냥 제가 알아서?
사기범,고객님이 그냥 동네만 어디 동네가 좀 편하시겠다 말씀하시면 동네 가까운 지점으로 연결시켜 드리는 거예요.
피해자,아 상환은 먼저 하고 그다음에 이제 그거 하는 거구나 은행 가서 해야 되는 거구나. 은행가서
사기범,상환 처리 하셔야지만 전산 자료가 넘어 오기 때문에
피해자,아
사기범,그 전산 자료를 토대로 저희가 대출
피해자,"아니, 제가 궁금해서 그러는데 그럼 상환을 제가 직접 저기 저축 은행에다 하는 거죠?"
사기범,그쵸. 고객님께서 하시는 거죠.
피해자,직접 하는거죠? 아니 저는 중간에서 딴데다 이렇게 하고.
사기범,"아니요, 고객님 직접 하시는 거죠, 당연히."
피해자,예 그래요. 거기가 여의도 거기라 했어요?
사기범,네 네 네 맞습니다. 영등포구 여의도동 33번지.
피해자,아 그래요?
사기범,예 예
피해자,일단은 지금 제가 이래저래 얘기는 해놨으니까
사기범,네 네
피해자,그거에 대해서 뭐 내일 전화 주면은.. 저도 한번 알아 볼게요.
사기범,알겠습니다.
피해자,네 알겠습니다. 네.
