Role,Dialogue
사기범,고객님 이름으로 된 채권이잖습니까 저희 은행 이름으로 된 채권이 아니고요
피해자,네네
사기범,그저 그러니기 때문에 천오백만원 저희 은행 자금으로 다 지불을 할 수는 없어요 고객님
피해자,네네
사기범,맞잖습니까?
피해자,네네
사기범,저희가 안만 고객님 우선순위로 해서 저희 쪽에서 은행 자금을 처리를 하고 한다고 그래도 저희 쪽 은행 자금으로도 천오백만원을 다 처리를 할 수가 없어요 그리고 MPA쪽에도 개 내들도 바보가 아닌 이상은 달랑 천오백만원 채권 매입 비용만 받고 할 수 없는 거잖아요 개 내들도요 솔직하게 말씀드려서
피해자,네
사기범,저희 결제 부서 저희 전산부서 과장님께서 MPA쪽 하고도 얘기를 하는 중인데 개 내들도 얘기하는 것 보니니깐 6개월에서 모 많게는 1년치까지 이자분을 내달라 그러는데
피해자,네
사기범,그얘기는 나오는데 그 부분에 대해서 까지는 저희 은행 쪽에서 처리를 해드릴 겁니다
피해자,네네
사기범,왜냐하면 나중에 저희가 저희도 구상권 초성을 내면 그 부분을 저희가 다 환급을 받을 수가 있기 때문에 그러는 거고
피해자,네네
사기범,다만 저희가 채권 매입 천오백만원 채권 매입 받는 것에 대해서 저희 은행 자금으로 다 처리를 해드릴 수 없는 부분은 왜 그런가 하면 저희가 다 처리 하게 되면 고객님으로 된 채권을 저희 은행 자금으로 처리하게 되면 저희 은행 쪽하고 고객님하고 작업대출로 오해를 받아요 고객님
피해자,네
사기범,그러기 때문에 저희 은행 자금으로 다 처리할 수 없고 다만 저희 본점 쪽에서도 얘기 중이지만은 지금 본점 쪽 40~50% 저희 지점에서 20~30% 지원 자금으로 처리를 해드릴 거예요
피해자,네
사기범,그러면 나머지 비는 프로 테이지 20~30% 있잖습니까?
피해자,네
사기범,이 부분은 고객님께서 처리를 해주시고 저희가 고객님한테 다시 환급 처리를 내여 드릴 겁니다. 먼저
피해자,그거는 좀 힐들 거 같아요 그러면
사기범,힘들다 그럼 어떻게 그럼 왜 그런가 하면 고객님 지금 고객님 같은 경우는 지금 금감원에 보고가 올라가는 상황이잖아요
피해자,네
사기범,지금 여기저기 문어발식으로 대출을 진행한 거다 이렇게 지금 보고가 올라가는 거를 저희가 해명을 해야 될 거 아니에요 고객님께서 악의적으로 그런가 아니다라고요
피해자,네
사기범,그러기에 만약에 고객님 금감원 보고가 되면 금융질서 물란죄로 앞으로 대출받기가 너무 힘들죠요 고객님
피해자,근데 제가 20~30% 로를 낼 여유가 없어요
사기범,그러니깐 제가 말씀을 드리는 거예요
피해자,네
사기범,그러기때문에 저희 은행 자금으로 다 처리할 수가 없는 거기 때문에
피해자,네
사기범,저도 최대한 저희 은행 지원 자금으로 최대한 얼마까지 나갈 수 있는지는 부탁을 드리지마는 최소 못해도 20%정도는 나올 거예요 20%로면 300만원이에요 고객님
피해자,아 그러면 죄송한데 그냥 저 안 하는 걸로 할게요 그냥
사기범,뭐 땜에 그런데요 고객님
피해자,아니 그거 지금 20~30% 그거를 제가 어떻게 할 수 있는 게 없어요 지금
사기범,음 만약에 20%로면 300만원 인대 고객님께서 300만까지 처리가 안 댄다는 거잖아요
피해자,그렇죠 저도 나가는 돈이 있으니깐
사기범,그러니깐 이것도 저희가 어차피 저희 은행에서 환급처리는 나가는 건데 이것도 안되는 거예요?
피해자,그러니깐 환급 처리가 나간다 할지언정 제가 지금 제가 그거를 낼 수 있는 상황이 돼야 되는 거잖아요
사기범,네
피해자,그래서 말씀드리는 거예요
사기범,자 그러면 고객님
피해자,네
사기범,고객님께서는 그럼 얼마까지 가능하신데요?
피해자,얼마까지 가능한 게 아니라 그렇게 까지 무리하게 하고 싶지 않아서
사기범,왜 무리를 하는거죠? 제가 봤을 때는 고객님한테는 이득인데?
피해자,아니 이득이긴 한데
사기범,네
피해자,지금 어 그냥 오늘도 어찌 됐던 제가 무지해서 그렇게 된 거지만
사기범,네
피해자,어찌 됐던 상황 자체가 지금 이렇게 되게 제가 그냥 안 하는게 나을 거 같아요
사기범,음 모 저도 강요는 안 하지만은
피해자,네
사기범,다만 금감원에 등제가 되면 참 고객님께 .. 앞으로 대출받으실 일도 많으실 건데 그런 부분에 대해서 참 금감원 얘기가 들어가면 대출받기가 힘드니깐 제가 말씀을 드리는 거예요 제가
피해자,그건 아는데
사기범,다른 거 같으면 아싸리 제도 얘기 안 하고 그냥 제가 그냥 오늘 부교 처리 내고 내일 환급처리해드릴게요 제가이렇게 말을 하죠
사기범,"54,55년생 같으면 나이가 많으신 분들은요"
사기범,지금 고객님은 앞으로 살아갈 날이 더 많잖습니까?
피해자,그건 알죠
사기범,네
피해자,아는데 당장 그럼 내일 이삼백만원 붙이시라는 얘기 시잖아요
사기범,그럼 내일 당장이 아니더라도 고객님께서 좀 시간을 좀 달라고 그러면 시간을 달라고 그러면 시간을 드릴 수는 있습니다. 고객님 그리고 이런부분을 말씀드리지마는 음... 제가 좀 도와드릴게요 너무 안 대서 제 와이프하고 생연월이 같은 신데요
피해자,네
사기범,네 제 와이프 ...년생이거든요
피해자,네네
사기범,또 제 와이프 생각도 나고 그래서 제가 말씀을 드리는 겁니다 그것도 싫다고 그러시면
피해자,어떻게 도와주신다는 말씀이세요?
사기범,모 제가 와이프한테 얘기해서 모 제 통장에 있는 돈하고 모 제가 최대 끌어모으면 최대 백오십까지는 끌어모을 수 있을 거 같아요
피해자,네
사기범,그럼 나머지 고객님께서 좀 처리해주시고 저희 쪽에서 환급처리 나가면 저한테 돌려주시면
피해자,근데 그게 환급이 언제나 오는 거예요 만약에 한다고 하면
사기범,음 고객님께서 내일 처리하시게 되면은요
피해자,네
사기범,내일 대출금 받고요 저희가 채권 매입한 거 시간이 보통 한 3시간 정도 걸리거든요 서류 작성하고 금감원에 해명하고 하면 3~4시간 걸려요
피해자,네
사기범,그러면 대출금 3시간 후에 대출금 저희 본점 쪽에서 저희 지점 쪽으로 자금 송달받아서
피해자,네
사기범,고객대출금 내어드리기전에 결제부서 과장님께서 전화한번 하시고 잘 상환해달라고 얘기가 나올 거고 고객님한테 삼천오백만원 대출 송금처리가 될 거고요
피해자,네
사기범,그리고 그 다음날 날짜에 환급처리는 이 금액에 대해서 환급처리에 대해서 나갑니다
피해자,아니 그 제가 잘못한 것도 있지만 제가 모 지금 그 대리님이 대리님이세요 혹시?
사기범,네 대리입니다
피해자,제가 대리님 못 믿는 게 아니라 지금 계속 돈을 부쳐야 되는 상황이니깐 저도 약간 위험 감수가 있잖아요 지금 약간 불안한것도 있고
사기범,네 알고 있습니다 고객님
피해자,네 약간 불안한 것도 있고 막 이러다 보니깐 괜히 이런 이런 이런 거는 제 생각이지만 괜히 좀 나쁜 말로 아닌 말로 내가 잘못하고 있는 건 아닌가 이런 생각도 들고요 아까부터 계속 그랬거든요
사기범,자 고객님 그러면 제가 모 고객님 믿음을 보여드리기 위해서 제 신분증 보내드릴 수 있고 제 휴대폰 번호도 보내드릴 수 있습니다. 그리고 저 믿으시면 되잖아요
피해자,네
사기범,맞잖아요 고객님
피해자,네
사기범,고객님 대출금 안받으시면 저 신고하시면 되잖아요 저도 애가 있고 와이프가 있는건데 저 신고하라고 대출금 안내어 드리겠어요 그건아니잖아요
피해자,그쳐
사기범,네
피해자,음.. 어떻게 하지 그러면 제가 내일 백오십만원만 더 붙이면 되는 거예요?
사기범,네 이제 고객님께서 가능하시다 그러면 제가 그렇게 모 저도 모 통장에 잔고 확인하고 현금서비스 받고 하면 백오십정도 될 거 같은데 제가 그렇게 도와드릴 수는 있습니다 다만 한가지 부탁말씀드리는거는 저희 은행쪽에 절때 얘기하시면 안 되는거예요
피해자,그렇죠 얘기하면 안대져 도와주시는 건대
사기범,만약에 저희 은행 쪽에 얘기 들어가면 저 이회사 잘려요
피해자,그건 아는대 지금 너무 불안해서 제가
사기범,그래서 제가 말씀드린 거잖습니까? 어떤 상담자가 미친놈이 아니고서야 이렇게 도와드리겠어요? 맞잖아요
피해자,그쳐
사기범,저도 이제 제가 말씀드렸다시피 제 와이프하고 동년생이기때문에 제 와이프 생각이 나기 때문에 이렇게 도와드리려 그러는 거예요
피해자,말씀 너무 감사한데
사기범,네
피해자,지금 너무 불안해가지고 저도 이렇게 백오십만원이 작은 돈은 아니잖아요
사기범,알고 있습니다 고객님
피해자,그러다 보니깐 오늘도 백만원했고 또 그러면
사기범,백만원하는거는 내일 채권매입다되면 내일 대출금 받고 나서 한시간 후에 저희 지원 환급부서에서 백만원 환급처리는 나갈겁니다
피해자,네
사기범,그리고 내일 날짜로 낼 모레 날짜로 채권매입한 비용은 다시 환급처리 나가는 거고요
사기범,네
피해자,아 대리님 너무 좋으신데 제가 아 큰일났네 아 제가 백원십만원정도는 할수 있어요 할수 있는데
사기범,네
피해자,그마음 아시겠죠?
사기범,네 그 마음 압니다 저도 이렇게 대출 전화통화로만 대출상담하면서 저도 욕 많이 얻어먹어요 솔직하게요
피해자,네
사기범,고객님도 그 부분은 이해 좀 해주세요 고객님 제가 전화상으로만 대출진행을 하기때문에 요즘에 은행을 사칭하는 곳이 너무 만치안습니까 그런 부분 때문에 저희도 지금 욕은 많이 얻어먹습니다 솔직하게 저희도 스트레스 많이 받고요
피해자,아 진짜 그 돈 날라 그런 생각이 드는 게 그 돈 이제 다 날아가면 혹시라도 만약에 대리님한테 말씀드리게 아니라 그러면 제가 너무 어려워지니깐 생활이 그거 생각하면 너무 불안해서
사기범,제가 말씀드리는 거잖아요 그래서 제가 신분증 보내 드린다고요
피해자,음...
사기범,그러면 만약 안 대면 저 신고하시면 대잖아요 모가 문제에요? 그렇다고 제가 모 도망가는 것도 아니고
피해자,그러면 내일 그러면 오늘처럼 똑같이 하면 대는 거예요?
사기범,오늘처럼 똑같이 하는 것보다 이제 저희도 모 저도 모 수납 받는 분한테 부탁을 드려야 되는 거고
피해자,네
사기범,네 저희 수납담당자분이 지정해주시는 은행에 가셔서 처리해주시면 됩니다 고객님
피해자,음 근데 오늘처럼 그렇게 하나은행에서 빼서 새마을금고로 빼서 하는게 제가 일을 하고 있으니깐
사기범,네
피해자,지금은 퇴근했지만
사기범,네
피해자,일을 하고 있어서 나가기가 힘들어서 오늘은 15~20분 정도는 빼서 하기는 했는데
사기범,네
사기범,음 그러면 고객님 모 우체국도 가깝다면서요?
피해자,네 우체국도 가까워요 우체국이 제일 가까워요
사기범,음 그러면 제가 최대한 가까운 데로 배정을 받을 수 있도록 부탁을 드려 볼게요 고객님께서 진행하실 의사가 있다고 말씀하시면
피해자,음 아 대리님 그렇게 말씀하시니깐 좀 하긴 저도 어차피 필요하긴 한데
사기범,네
피해자,대리님 잘해주셔가지고 아 큰일 났네 그럼 내일 대출은 바로 받을 수 있는 거죠 그러면?
사기범,그렇죠 채권 매입하고 금감원에 해명하고 고객님께서 악의적으로 그런건 아니라고 해명하고 금감원에서 해명것 저희 본점으로 올려 드리면 저희 본점에서 확인하고 저희 쪽 지점쪽으로 자금 송달해드릴 거고요 사천만원
피해자,네
사기범,그러면 저희 결제 부서에서 사천만원 자금 고객님한테 내어드리기 전에 먼저 고객님한테 먼저 전화를 드려서 저희쪽에 대출진행한 거 고맙다 대신에 잘 상환해 달라 이런 부분 얘기를 할 거고 그리고 자금 송달을 해드릴 겁니다.
피해자,네 그러면 그렇게 할게요 그러면
사기범,진행하시겠어요?
피해자,네네 그렇게 할게요 모 대리님이 그렇게까지 말씀하시는데
사기범,네 제가 그럼 신분증 보내드릴게요 그러면요
피해자,네 알겠습니다
사기범,네 그러면 좋은 하루 보내시고요 제가 내일 오전에 혹시 몇시 출근하세요 고객님
피해자,저 9시요
사기범,9시요? 제가 8시50분에 전화드려도 전화받으실수 있으신가요?
피해자,언제요?
사기범,8시50분이요
피해자,아유 그럼요 받을수 있죠
사기범,아 예 그러면 8시 50분쯤에 일단에 8시 30분에 출근하니깐 또모 서류 모 고객님꺼 말꺼 말고 다른 고객님꺼 서류 정리하다 보니깐요 8시 50분쯤에 고객님한테 전화를 드리겠습니다.
피해자,예 알겠습니다
사기범,신분증은 제가 지금 보내드릴게요
피해자,네 알겠습니다
사기범,네 좋은 하루 보내시구요
피해자,네
