Role,Dialogue
사기범,본점으로 서류 보내드릴 거에요 제가요
피해자,네네
사기범,그러면 고객님 대출금 승인 나시면 오늘 저희 쪽으로 본점에서 자금 송달받아서 어.... 대출금 나가기 전에 저희 결제 부서 과장님께서 제가 전화드린다고 말씀드렸지요?
피해자,네
사기범,네 그러고 나서 대출금 바로 고객님한테 송금 처리가 나가실 겁니다.
피해자,네네네
사기범,대출금 계좌 제가 다시한번 확인할게요 하나은행이고요
피해자,네 맞아요.
사기범,네 맞으시죠?
피해자,네네
사기범,고객님 제가 당부 말씀드리는 거는 처음 이제 3개월 동안은 저희 지점에서 고객님 관리를 하고 그다음에 3개월 이후에는 본점쪽으로 넘어갈 거에요
피해자,예예예
사기범,제 고객이지만 본점에서 집중적인 관리를 하는거죠
피해자,네네
사기범,고객님께서 저희 쪽으로 잔고 정리까지 해주셨기 때문에 그러기 때문에 3개월 동안은 고개님께서는 잘 상환을 잘해주셔야대요 아셨죠?
피해자,아 그럼요
사기범,저도 또 체면이 있는 부분이고
피해자,아 그럼요
사기범,솔직히 말씀드리면 저도 실적 부분이 있는 거기 때문에 그 부분 잘 좀 지켜주시고요
사기범,그다음에 고객님
피해자,"오늘 4시 정도 대겠네요 그러면, 4~5시 정도"
사기범,이게 저희가 순번대로 나가는데 저희가 본점에서 빨리 처리가 되면 모 다섯시반 요렇게 다섯시 반 늦어도 6시 안에 나갈거에요
피해자,아 오늘은 꼭 무죠건 돼야대요 제가
사기범,네네 그러니깐요 다섯시 반 여섯시 그리고 고객님께서 어제 잔고 정리해주신 거는 대출금 받고 나서 한 시간으로 환급 팀에서 환급처리가 나가실 겁니다.
피해자,그러면 7시정도 대겠네요 그거는
사기범,네 그렇죠
피해자,아 네 알겠습니다
사기범,그리고 오늘 체크매입한 비용은 월요일에 나가실 거고요 합쳐서 300만원 나가시면 나머지 150만원에 대해서는 다시 저한테 돌려주셔야 되고요
피해자,아 그럼요
사기범,제가 전화를 드릴 거구요
피해자,알겠습니다
사기범,그리고 고객님 한가지 말씀드리는 거는 제가 빌려준 부분이기 때문에 저희 은행 쪽에는 절대 비밀입니다
피해자,아 그럼요 알겠습니다
사기범,제가 이거 제가 부탁드릴게요
피해자,아예 알겠습니다.
사기범,그리고 고객님께 우체국이나 국민은행 전화 가시면 어제도 좀 말씀드렸지만은 저희 은행 지원 자원이 들어가는 부분이 있기 때문에 그리고 또 제가 또 돈 넣은 부분도 있잖아요
피해자,네네
사기범,그러기 때문에 저희 수납담당자분이 이제... 수납담당자분이 여자분이시고 69년생이 서울 거주하시는 분이세요
피해자,예예
사기범,그러기 때문에 모 고객님같은면 고객님보다 나이가 많은시기때문에 고모부 고모 뻘 대시잖아요 서울에 거주하는 고모한테 일전에 빌린 거
피해자,네
사기범,모 주는 거라고 얘기하시면 정상적으로 처리 할실거 같아요
피해자,네 알겠습니다
사기범,네 이 부분을 제가 말씀드리는건 왜 말씀드리는 건 아시는 거죠?
피해자,네네
사기범,네 이제 이 부분 어차피 모니터링 직원들도 연말이다 보니깐 개 내들도 실적 문제 때문에 여기저기 막무가내로 전화하는 경우가 많거든요
피해자,아 네네
사기범,네 그러기 때문에 고객님한테 전화는 가실 수도 있지만 안 갈 수도 있고 근데 가실 가망성이 클 거에요 연말이다 보니깐
피해자,네 알겠어요
사기범,네 그럼 그 부분 좀 잘 좀 말씀해좀 해주시면 정상적으로 처리되실 거예요 69년생이시고 서울 거주
피해자,네네
사기범,고모한테 보내는 거다 그다음에 제가 빨리해서 대출 빨리 받아 보실 수 있도록 제가 해드릴께요
피해자,네
사기범,네 또 전화드리겠습니다 중간중간에요
피해자,네 알겠습니다.
