Role,Dialogue
피해자,내일 오전 몇시쯤에요?
사기범,오전 제가 아홉시 반에 연락을 드릴 거니까 저희가 업무 같은 부분은 한 열 시 정도에 저희가 보거든요
피해자,네
사기범,네 네 그래가지고 한 열시 반전에는 무조건 가실 거예요 연락이
피해자,음 내일은 내일도 안 될 수도 있어요?
사기범,아니 저희 쪽에 승인나셨어요 고객님 제가 승인 처리 받아왔기 때문에 승인 받아왔습니다 고객님
피해자,대출 나간다고 승인이 되었는데 오늘 안되고 내일 되야 된다고요?
사기범,예 그래 대출금 이제 내려드리는 한도 자체가 오늘 나갈 수 있는 한도 자체가 초과가 되가지고 그냥 내일 중으로 연락 한 다음에 대출 같은 경우 바로 송금해준다 해드리는 거예요 저희 쪽에서
피해자,그럼 저는 그 그 송금 저기 대출 받을 때 계약은 어디하고 하는 거에요?
사기범,계약이요? 계약서 같은 경우는 저희가 그 저 이제 그 자금 떨어지신 다음에 고객님한테 계약서 몇 가지 보내드리고 작성하신 다음에 등초본이랑 같이 보내시면 되시는 거예요
피해자,아 우편으로요?
사기범,네 네 우편으로 가면 안되시나요 혹시?
피해자,아니 그건 괜찮은데 네 그 어느 회사 하고 하는지를..
사기범,아 현대 저축 은행이죠 저희는 고객님
피해자,네 그럼 어차피 전화좀 주세요. 아까전에 워낙 확고하게 얘기를 하셔가지고. 한군데 연락이 왔는데 제가 안한다 그랬거든요.
사기범,네 네 아 그나저나 승인이 나셨으니까
피해자,그리고 개인적으로 부탁을 한 데가 있어가지고 거기를 지금 오늘 저녁에 할까 지금 계속 생각하고 있는데
사기범,아 그러면 제가 일단 지금 좀 있다가 일단 뭐 팀장님한테 다시 한번 정확히 말씀해 드린 다음에 다시 한번 연락을 드려볼게요 고객님
피해자,오늘 좀 되게 해주셨으면 좋겠는데
사기범,아 오늘 저희도 내어드리고 싶은데 저희가 뭐 저희도 자금이 없으니까 못 내드리죠 고객님
피해자,아 그럼 내일은 된다는 거죠.
사기범,네 내일은 다시 새롭게 이제 하는 거니까 아 네 내일은 저희가 바로　내어드릴 수 있어요
피해자,오전 중에 되는 거에요 그러면?
사기범,예 예 예 예
피해자,알겠습니다
사기범,네 그럼 좀 있다 다시 한번 연락을 드릴게요
피해자,네
사기범,네
