Role,Dialogue
피해자,여보세요. 뭐라구요?
사기범,네 네 그 앞전에 사용했던 상품이 연대 보증 상품이라건 알고 계시죠.
피해자,아. 네 네.
사기범,네 고객님 입장에서는 현재 지금 어머니께서 어머니께서가 채무자. 저랑 통화하신 분 권오준씨께서 2차 채무자 이렇게 간단하게 알고 있을텐데
피해자,예
사기범,오늘 심사 보시는 금융사에서는 1차 채무자 2차 채무자 공동 채무로 분류됬다. 한 마디로 두분 다 채무자이신 거예요
피해자,네 네
사기범,그래서 아마 그때 당시 서류 보내주신 것도 본인께서 본인께선 본인 확인 소득자료 만 보내주셨을 거에요.
피해자,"예,"
사기범,그래서 고객님이 은행권에서는 뭐 별도의 뭐 보증 서류나 설정 서류나 공동서류를 보낸 것이 없기 땜에 은행권에서는 고객님이 보증이라는 것이 서류상은 증명된 게 없으세요. 예 그래서 이 보증 상품 같은 경우는 빨리 대환 처리를 해야지만 뭐 채무 이변이 되시거나 그런 일이 없으셔야 되기 때문에 어떻게 뭐 고객님이 어머니 믿고 도움을 주셨기 때문에 도움을 주신 거기 때문에 스스로 그렇게 되시면 안 되시잖아요.
피해자,예.
사기범,그래서 저희가 금융사 쪽으로 요청을 해가지고 이 연대 보증 상품을 어머니 앞으로 개인 상품으로 변경 처리 도움을 드릴거구요.
피해자,네
사기범,다만 이거 요번에 내 드린 자금은 기존에 있던 보증 상품을 갚으시라고 내 드린 보 증 채권 대환 자금이기 때문에...
피해자,네
사기범,확실하게 보증 상품을 상환 처리해주실 본인 앞으로 최초 송금 자체만 보증 납부로 송금 처리 도움을 드릴 거예요.
피해자,예.
사기범,일단 채무자분들 같은 경우는 자금을 받고 나서 본인 자금이 급하시면 기존에 있던 보증 건을 안 갚거나 기존 대출 건은 대환 처리 안 하면 좀 위험성이 있겠지만 보증 인 분 입장에서 어느 정도 위험 부담을 가지고 있기 때문에 그 무엇보다 연대 보증 상품을 없애는 게 중요하기 때문에...
피해자,예.
사기범,어 확실하게 기존에 있던 보증 상품 대환을 해주실 고지 납부를 송금 처리만 저희가 진행을 해드릴거구요.
피해자,예.
사기범,어머니 대출 받으신 게 있어 가지고.
피해자,예
사기범,예 그렇게 해서 저희가 진행해 드릴 거고 고객님 오늘 그 송금 심사만 받아 보시는 곳이 두 분 다 일단은 두 군데서 일단 먼저 전화 들어가신다고 생각을 하시면 되세요.
피해자,몇 군데에서 전화가 와요?
사기범,일단 두 군데만
피해자,왜 두 군데에요?
사기범,왜냐면 그 어머님 필요하신 자금이나 보증 채권 대환하시는 자금이 한군데서 다 안 맞춰주시기 때문에 딱 두 군데 정도에서만 자금 송금 나눠서 들어가신다고 생각을 하시면 되세요.
피해자,네 오늘 두 군데에서 전화온다는거죠?
사기범,네 그렇죠. 오늘 자금 받으신 다음에 기존에 있던 대출건이 보증 건만 상환 처리해 주시면 마무리되시는 거구요
피해자,네 네.
사기범,오늘 이후로 더 이상 전화 들어갈 일은 없으세요.
피해자,그럼 아까 송금이라 얘기했잖아요.
사기범,송금 네 네.
피해자,그 뭐 송금이 나한테 들어오...
사기범,네 송금 자체만 고객님한테 들어가시는 거구요
피해자,돈이 나한테 들어온다고요?
사기범,네 그렇죠. 어머님이 대출 받으신 게 있어서 그래서 아까 제가 설명해 드렸던 게 그 건데 왜 보증인 앞으로 송금 처리해 드릴 거예요. 연대 보증을 이제 개인 상품 변경 처리하는게 있어 가지고...
피해자,예.
사기범,앞전에 지금 저희가 자금을 내드리는 용도가...
피해자,네.
사기범,어 그냥 지금 고객님 뭐 쓸데없이 대출을 받으시라고 말씀을 드리는 게 아니고요.
피해자,네.
사기범,요번에 자금을 내드린 용도가 기존에 일단 보증권 이제 상환 처리를 하라고 내 드린 보증 채권 대환 자금이기 때문에...
피해자,네.
사기범,기존에 있던 보증권을 확실하게 대환 처리를 해주실 안전하게 확실하게 대환 처리 해주실 본인 앞으로 송금 처리만 저희가 진행을 해드리는 거구요.
피해자,네 .
사기범,네 네 이해되셨어요?
피해자,그렇게 송금되면 그 다음 절차는 뭔데요.
사기범,그러면 고객님이 자금을 받으시고 나서 어머님이 고객님이 직접 갚아 주셔야 되고 아니 어머니한테 자금을 전달해 주시고 전달 전달했다는 내역서만 저희 쪽에 첨부만 해 주시면 되시고요.
피해자,네.
사기범,혹시나 자금을 받고 나서 그럴일 없겠지만 고객님 다른 용도로 써버리게 되신다 그 러시면 곤란 하세요.
피해자,예 .
사기범,예 그래서 혹시나 자금 전달되시기 전까지는 고객님들 채무자 역할로 심사를 받아 주시는 것도 있으시고요.
피해자,예.
사기범,그래서 한국 투자나 OK저축에서 전화 들어가시면 심사보는 요령에 대해서 설명을 해드릴게요
피해자,예.
사기범,사실과 무관하더라도 저희가 요령에 대해서 설명을 해드리는 거니까...
피해자,그런데 잠깐만요. 저 궁금한게 생겨가지고요.
사기범,네 네
피해자,지금 또 지금 두 번의 심사를 받고 돈을 받는 거잖아요
사기범,네.
피해자,앞전에 벌써 5번에 심사를 받았잖아요
사기범,"네 아 지금 그니까 진행이 어떻게 되시냐면 1차 2차 이렇게 나눠서 두 번을 진행을 한다고 생각을 하시면 되시는데, 앞전에는 은행권을 저축 은행권에 등재 안 된 쪽으 로 해가지고..."
피해자,그래서 2500을 벌써 받았잖아요?
사기범,네 어머님이 2500만 원을 받아서 지금 일단 대출건을 갚아 주셨잖아요.
피해자,그럼 끝난거지 왜 나한테 다시 또 두 번의 심사를 받고 돈이 나한테 또 들어오는거죠?
사기범,아 그니까 지금 제가 그걸 설명을 해드릴게요
피해자,네
사기범,지금 어머니가 1차적으로 보증 상품이 2500만 원을 받고 신용 대출 완납하시는 부 분에 대해서 고객님 확인차로써 들어가신 거고...
피해자,네
사기범,완납해 주시면 본인 채권 해지해야된다고 말씀을 드렸잖아요.
피해자,그래서 완납 지금 보냈다는데?
