Role,Dialogue
사기범,일단 가산되는 사천 팔백만 원에 3.4%가 나오셨어요
피해자,사천 팔백에 3.4요?
사기범,예 저희가 상환 방식이 원금 이자같이 납부하시는 거랑
피해자,네네
사기범,이자만 납부하시는 방법이 있는데요
피해자,네
사기범,이 중도 상환 수수료는 없기 때문에 언제든지 일부 또는 전액 자유롭게 상환이 가능하십니다
피해자,네
사기범,그렇기 때문에 지금 금액이 뭐 소액 이면 상관 없는데 지금 고액이라면 고액이기 때문에 뭐 이자만 상환 방식이 좀 편하실 텐데 어떤 방법이 편하세요
피해자,상관 없어요
사기범,이자만 상환하시면서 원금은 여유 되실 때마다 약간씩 상환하시면 만기 되셨을 때 상환하는 게 부담이 덜 하실 거구요
피해자,네네
사기범,그리고 처음에 기간 정하실 때는 오 년이 최대지만 어 삼년 단위로 세번까지 연장이 가능하세요. 연체만 없으시면
피해자,예
사기범,"예 일단은 사천 삼백, 사천 팔백만원 계산을 한번 해드릴려면 월 이자는 십삼만 육천원 나오실 거예요"
피해자,십삼만 육천원이요?
사기범,십삼만 육천원이요.
피해자,십삼만 육천원이요? 괜찮네.
사기범,예 그 나중에 최종 심사 결과 나오시면은 금리 같은 경우는 고객님 신용에 따라서 계약 결정되는 거기 때문에 변동이 없으신데 한도 같은 경우는 올라갈 수도 있고 좀 줄어들 수도 있습니다
피해자,네 네
사기범,예 그리고 이 상품이 그 접수 과정에서 서류 들어가신 게 없으세요
피해자,네네
사기범,그러면 저희가 전화상으로도 상담이 가능한 거구요
피해자,예
사기범,대신 제출하신 게 없다 보니까 나중에 수령하실 때는 고객님께서 무조건 은행 방문하셔서 수령하시는 방법 밖에 없습니다.
피해자,아 네 그렇게 하도록 하겠습니다.
사기범,예 일단은 지금 자산 관련해서 보증서 발행 조건으로 수령하는 거기 때문에 이 서류는 안 들어가야지만 이게 자산 관리 공사 홈페이지 회원 가입을 따로 해주셔야 됩니다
피해자,네
사기범,고객님 혹시 공인 인증서라고 사용하시는 거 있으세요
피해자,네네네네
사기범,아 그러시면 제가 문자로 제 이름 하고 전화 번호 같이 해서 회원 가입 방법을 안내해 드릴 거예요
피해자,네네
사기범,이 부분 지금 해주셔도 되고 아니면 퇴근 후에 집에 가셔서 하셔도 상관 없구요. 어 주말 중으로만 회원 가입 완료해주시고 연락 주시면 되세요.
피해자,예 알겠습니다
사기범,지금 예 그리고 저희가 상담원은 오후 여섯시까지니까요. 혹시 궁금하신 거 있으면 언제든지 전화 주시고요.
피해자,아 그래요. 핸드폰 번호 하나만 알려주세요.
사기범,"핸드폰 번호는 공개 못해드려요. 그러면 뭐 거래 고객님 거래하시는 은행 한번 방문 뭐 가까운 데 아무데나 방문하셔서 대출계 쪽 가셔서 한번 보시면 아시겠지만 명함에 이제 핸드폰 번호 같은 건 공개를 못 해 드리게 돼 있어요. 왜냐면 특히 이 상품 같은 경우 정부 지원금 상품 경우 뭐 홍보 같은 건 안 하기 때문에 고객님들이 잘 모르세요, 정확하게. 그래서 특히 이 상품 같은 경우는 보증서 발행되실 때 수수료가 발생되거든요."
피해자,네네네.
사기범,이게 고객님이 직접 다 자산 관리 공사에서 직접 진행하시면 고객님 부담이신데 은행 통해서 하실 경우 에는 고객님 부담이 아니시거든요
피해자,네
사기범,근데 이런 부분은 잘 모르시니까 고객님들은. 예전에 그 뭐 상담사분 중에서 한분이아 그런 걸 잘 모르시니까 좀 악용을 해서
피해자,네
사기범,"고객님 이제 최종 승인 나셨는데 이제 보증 수수료 계좌로 보내주셔야지 수령이 가능하십니다, 이렇게 해서 받으신 적이 있어요."
피해자,네 네
사기범,그래서 좀 이게 좀 감사 건에 걸리는 경우도 많이 있어서 핸드폰 번호는 따로 저희가 공개를 해드릴 수가 없어요. 만약에 진행 끝 난 다음에 그 때는 공개가 가능하거든요.
피해자,아 성함이 어떻게 되신다 그랬죠 지금?
사기범,저는 오정태 상담사고요. 계속 같이 안내해 드릴거구요.
피해자,오정태 상담사님
사기범,예 예 지금 제가 말했던 대로 상담 저는 대출 상담사기 때문에 현재는 농협에 있지만 나중에는 뭐 신한 은행에 있을 수도 있고 아니 국민은행에 있을 수도 있거든요.
피해자,그래요
사기범,아 예 그렇기 때문에 뭐 대출 쪽이나 뭐 이런 부분 알아 볼 때 먼저 알아보시지 말고 먼저 저한테 말씀해 주시면 제가 고객님 조건에 맞는 상품이 있는지 먼저 확인을 해드릴 수가 있죠..
피해자,네 네 알겠습니다. 예
사기범,일단 제가 문자 바로 안내해 드리겠습니다
피해자,농협을 갈 때 중앙회로 가요 아님 다른 농협으로 가도 되는거에요?
사기범,중앙회로만 가능하세요.
피해자,중앙회로만... 아 알겠습니다.
사기범,"예 이게 농협 은행이 중앙회는 1 금융권이고 다른 농협은 2 금융권이기 때문에요, 예 단위 농협에서는 이 상품에서 대해서 모르세요"
피해자,아 그렇군요 농협이 많다보니까 헷갈려서 혹시나 해서
사기범,아예 그 저희가 고객님 가까운 지점 확인하고 그 다음에 주소랑 전화 번호하고 담당자분 성함 안내해 드릴 거예요 지금
피해자,아 그래요. 알겠습니다
사기범,예
피해자,고맙습니다.
