Role,Dialogue
피해자,아 예 이나현 대리 좀 부탁드립니다.
사기범,아 예 고객님 이나현입니다.
피해자,아 예 예 예.
사기범,아 네.
피해자,저 그 하나는 2000은 무조건 되고.
사기범,아 대신 내...
피해자,3000 얘기하니까 그냥 주 거래 은행 통장 내어서 보내주면 해준대.
사기범,아 그러세요. 제가 이 부분은 먼저 확인을 하고요.
피해자,그러면 빨리 해야 되는데 그 그 담당자 빨리 그 뭐꼬 일처리 해 갖고 그래 쌌드라고.
사기범,아 고객님 제가 그 부분은 그 금리는 몇 프로래요?
피해자,근데 야 그거는 뭐 그거죠. 당연히. 즈그들 받는 20% 20% 이상 되는거 있잖아.
사기범,그러면 고객님 그거 제가 보기에는 금리도 높으시고 한도도 뭐 그만큼이면 충분히 가능하시거든요. 그냥 진행을 하세요.
피해자,그럼 받았다가.
사기범,예 받으시고.
피해자,응.
사기범,오늘 받으시고.
피해자,응.
사기범,오늘 중간에 배송 받아서 바로 상환이 들어가자고요. 오늘 금요일이잖아요.
피해자,네 아 아.
사기범,네 빨리 진행을 해서 오늘 마무리를 지어드릴 수 있으면 최대한 오늘 마무리를 지어드릴게요.
피해자,그러면 우선 받고 제가 다시 전화를 넣으면 되는 거죠.
사기범,고객님께서 직접 하시면 중도 상환밖에 안 되시기 때문에 주무관님 배정 받아서 그리고 상환을 들어가고 주무관님께서 전산 처리를 해드려야죠.
피해자,다른 사람 통장으로 넣으면 안되는데.
사기범,아 그거는 아니고요 고객님 주무관님 배정 받아서 티티 계좌를 발급을 받을 거에요.
피해자,티티계좌가 뭐죠? 그게?
사기범,그니까 상환 대위변제용 전용 계좌인 티티 계좌가 발급이 되세요 고객님 앞으로. 네 그쪽으로 상환이 들어가시면 되세요.
피해자,이해가 안가는구만 또.
사기범,음 이 부분은 고객님 뭐 제가 말씀을 드리는 거는 고객님께서 직접 하시면 중도 상환이잖아요. 그러면 저희가 전산 처리를 해드릴 수가 없어요.
피해자,응.
사기범,그래서 처음부터 고객님께 말씀 드렸던 게 대출을 받으시고 주무관님을 배정을 받아서 상환을 들어가고 전산 처리를 해드린다고 처음부터 고객님께 말씀을 드렸던 거구요.
피해자,그거는 아닌거같애 그러식으로 해가지고 보이스피싱도 많잖아.
사기범,음 그래서 고객님께 말씀을 드린 거에요. 이런 부분 방법이 있는데 진행을...
피해자,어떻게 믿고 해.
사기범,뭐 저 저번에 고객님께 제시한 투자금들 알려드리고 원래는 뭐... 네 문자도 남겨드리고 다 하잖아요.
피해자,아 그래도 그건 아닌거 같다 내가 봐도.
사기범,고객님은 이 부분은 제가 말씀을 해드렸는데 진행하실거면 하시고요 안하셔도 상관 없으세요 저는.
피해자,그거야 그렇겠지만 그래도 방법적인 면에서.
사기범,네 네.
피해자,그건 좀 그렇네.
사기범,이 방법 외에는 제가 고객님께 도와드릴 방법은 없으세요.
피해자,음... 오케이. 알겠습니다.
사기범,네.
피해자,네.
