Role,Dialogue
사기범,예 저희가 승인이 났더라구요. 금전 소비 대차 계약 공증서 발건으로 진행 도와드릴 건데요.
피해자,네.
사기범,그래서 제가 신청을 해드릴 거에요. 그래서 공증서 비용은 쩍게는 오프로에서 사십프로까지 나오더라고요
피해자,네.
사기범,신청을 하면 공증 비용이 얼마 나오는지 알고 인제 나와요.
피해자,네.
사기범,그러면 그 때 이제 결정하시면 되세요. 고객님 꺼 승인은 나셨기 때문에
피해자,네.
사기범,"아 1,000만원에 사점구 프로 잘 나오셨네요. 고객님."
피해자,예.
사기범,이율은 잘 나오셔서 승인을 잘 나오셨는데 신청은 잘 받으신 거 같애요
피해자,네.
사기범,그래서 나오셨는데 공증서만 하나 붙이시면 되는 내용이세요.
피해자,네네.
사기범,그래서 공증서 비용이 얼마 나온 지 제가 알려드릴거구요. 이 공증서 비용도 제가 아 나중에 인제 비용 나오면 어떻게 하면 이 비용도 쩍게 들어간 제가 한번 팁 한번 알려드릴게요. 왜냐면 아버님 임플란트 해주신다 그래서
피해자,네.
사기범,다른 데 쓰신다고도 아니고 그래서 제가 한 공증서 이게 발급 비용 얼마나 온지 한 오분 정도 걸리거든요? 신청해서 제가 네 비용 나온 산출 나오면 제가 바로 또 전화 드릴게요.
피해자,공증서 비용은 나중에 지금 현금이 없는데.
사기범,아 지금 전혀 없으셔서요?
피해자,네.
사기범,음 고객님이 임플란트 비용이 언제 필요하시다 그랬죠?
피해자,설 이후니까.
사기범,아 설 이후에.
피해자,네.
사기범,그러면 고객님이 공증서 발권이 제일 쉽구요. 솔직히 말씀 드리면
피해자,네.
사기범,예예. 공증서 발권이 제일 쉬우세요. 그래도 왜냐면 예전 에는 알다시피 예전에 고객님 연대 보증이라는 게 있었잖아요.
피해자,네.
사기범,근데 지금 연대 보증 제도가 폐지가 됐잖아요.
피해자,네.
사기범,그리고 나서 이 공증서 발급이 진행을 해요.
피해자,예.
사기범,연대 보증 제도를 폐지된 이후에는 공증서 발권이 사실은 젤 쉽구요.
피해자,예.
사기범,예 그쪽으로 승인난 건데 딱 방법은 고객님 평점 높혀서 진행하는 방법이 있으세요. 우회적으루.
피해자,그게 뭐에요?
사기범,어떻게 평점을 높히는 거에요. 고객님이 지금 이제 물론 통장 거래 내역이 지금 급여같은게 들어오긴 하는데 잠시만요. 제가 보면서 제가 설명을 해드릴게요. 고객님꺼 잠시만요. 끊지 마세요.
피해자,네.
사기범,"네, 예예. 고객님 통장에 보면 지금 보면 입출금도 환급 활성화되구 왕성하세요. 그죠?"
피해자,네네.
사기범,"농협 통장도 인제 그어 사업 통장이고, 이제 국민은행 통장은 이제 급여 통장이잖아요?"
피해자,네.
사기범,약간 좀 작은 돈이 들어 왔다 나갔다 하시는 거잖아요?
피해자,네네.
사기범,예 이런 부분은 평점을 높이시려면은 뭐 삼백 오백 이 정도 돈이 들어왔다 나갔다 이렇게 하잖아요. 한번 들어왔다 한번 나가면 그게 만약에 백만원 말 한 오백만 원이 들어 왔다가 오백만원 인출이 되죠? 이게 천만원으로 계산이 되요.
피해자,네.
사기범,아 이렇게 평점을 해서 높히는 거에요. 순간으루
피해자,네.
사기범,그렇게 해서 평점을 높히는 방법이 있어요. 고객님.
피해자,이건 어떻게 해요?
사기범,근데 고객님이 돈이 있으셔서 고객님 넣다가 뺐다가 이렇게 하시면 좋거든요. 그죠.
피해자,최근에 천만원 넣었다가 뺀적 있는데.
사기범,"예예. 그런 것도 이제 그런 것도 해서 평점이 올라간 거예요, 고객님. 그러면 다 합해서 지금 평점이 나온 거에요."
피해자,네.
사기범,"예예. 그래서 그렇게는 고객님이 그 돈있으면 이미 임플란트 하셨지. 뭐,"
피해자,네.
사기범,그러면 고객님. 음~
피해자,평점 높히는 방법? 공증이 안되면…
사기범,"예예. 공증이 만약에 고객님 돈이 없으셔서 공증이 안되시면 평점 높히시는 방법밖에 없으신데,"
피해자,네.
사기범,"공증은 고객님 솔직히, 어~ 폰이 없어서 공증이 좀 힘드시다 그말씀이시잖아요?"
피해자,평점이 높잖아요.
사기범,그렇죠. 근데 공증 비용은 또 뭐가 있냐면 공증을 예전에는 저희가 내줬어요. 공증비용을 저희가 그런데 고객님들이 공증 비용은 저희가 내고 공증서 발급을 받은 다음에 택시타고 가다가 공증서 발권을 저희가 받았어요. 근데 대출을 진행을 안하겠다는 고객님이 있었어요.
피해자,네네.
사기범,그 저희가 공증 비용을 날려버린 거에요.
피해자,네.
사기범,"공증비용을 왜 내주냐면 이 고객님들이 대출 받아서 일년, 이년, 삼년, 사년 저희한테 이자를 내잖아요. 그게 소득이 있기 때문에 공증 비용을 대신 납부를 해드렸는데 이거 공증 발권을 받고 대출을 안한다 해버리면 저희는 이 공증비가 붕 떠가지고 손실로 잡힌 거에요."
피해자,네.
사기범,그래서 저희가 바뀐 거예요. 정책이 공증 비용을 자부담으로 바꼈어요. 근데 이게 뭐가 좋냐면 고객님이 대출을 받고 나서
