Role,Dialogue
사기범,네 감사합니다
피해자,ㅇㅇㅇ 대리 있나요?
사기범,ㅇㅇㅇ대리요? 연결이요? 잠시 외근나가셨는데 어떤것때문에 그러세요?
피해자,아니 사기신고당해서요
사기범,사기를 당했다구요? 무슨 사기요?
피해자,보이스피싱 사기당했다고해서 경찰에 신고 하고 왔거든요
사기범,경찰에 신고했다구요? 무슨 사기 당하셨어요?
피해자,대포통장으로 이용됐다고 하던데요
사기범,고객님게요? 어떻게하다가 그렇게 되셨어요?
피해자,ㅇㅇㅇ대리가 알겠죠 그거는
사기범,ㅇㅇㅇ대리 없으신데 여기 오늘날짜로 퇴사하셨어요
피해자,오늘날짜로 퇴사하셨다고요?
사기범,네 오늘날짜로 그만두셨어요 어떤것때문에 그러세요?
피해자,그분이 어제 대출 해준다고 하면서 통장 거래 유도했거든요
사기범,통장거래요? 그 통장 줬어요?
피해자,아니요 그 통장 주진 않았는데 그 한도가 안나오니까 한도가 나오려면 거래를 따야한다더라구요
피해자,그래서 그 거래좀 받으려고 그사람이 입금을 하면 그거를 출금을 해서 ...
사기범,고객님이 출금하셨어요?
피해자,네
피해자,인출팀한테 전해주라 하더라구요?
사기범,그래서 돈 건네줬어요? 얼마를요?
피해자,총 얼만지는 잘 생각이 안나구요 아까는 외근나가셨다고 하셨잖아요
사기범,그만두셨는데 일단은 외근나가셨다고 말씀드리는게 맞다고 생각이 들어서 말씀을 드린거거는요 경찰서에서는 뭐라세요 혹시?
피해자,일단 지급정지 시켜놨거든요 통장
사기범,고객님도 처벌 받으신대죠?
피해자,저는 아직 그건 안나왔고 우선은 이제 기다려보자고 저도 어떻게보면 피해자니까
사기범,근데 피해자라고 해도 고객님이 돈을 빼서 준거잖아요 그쵸?
피해자,제가요? 거기 경찰이랑 얘기해보니까 좀 기다리라고 하더라구요
사기범,고객님도 이거 인출책으로 아마 경찰서 가셔서 벌금은 모르겠지만 징역갈수도 있어요
피해자,그래서 우선은 기다려보라고 하더라구요
사기범,신고가 들어왔어요 일단은?
피해자,네 그래서 일하다가 간거거든요 경찰서랑...
사기범,네네 아.. 그러셨어요? 어떡해요 고객님
피해자,근데 왜 이거 전화를 안받으셨어요? 계속 끊기던데?
사기범,저희가요? 저는 안끊었는데요?
피해자,계속 아침에 연결 해준다고 해놓고서는 계속 연결 안되던데요?
사기범,아 그러세요? ㅇㅇㅇ대리가 연락도 안되고 지금 퇴사하셨거든요
피해자,연락이 안되신다고요?
