Role,Dialogue
사기범,근데 그 말씀하신 대로 있으시네요. 그러면은 이제 저희가 조금 더 수월하게 진행이 가능한데 그 지금 고객님 그 우량 고객이라 하면은 아시겠지만 네 뭐 아시지 모르겠지만은 그 저희 쪽에서 그 이제 최근 쪽에 거래 내역을 많으신 분들은 아니시면은 뭐 장기 예탁 통장을 조금 오랫동안 사용하시는 분들 있잖아요. 예 이제 뭐 오년 십년 이렇게 계속 적금 계속 드시는 분들 있잖아요. 그런 분들이나 아니 면은 이제 저희 쪽으로 예금이 좀 예치 처리를 많이 하시는 분들 있잖아요. 그런 분들을 통해서 저희가 현장에서 나가시는 건데 지금 따로 저희 쪽으로 뭐 예치나 예금을 하신 건 없으시죠.
피해자,어 안한 거 같은데...
사기범,아 그래요 그러시면 은 예 예 말씀 하세요.
피해자,아니 아니. 없는 거 같아요.
사기범,아 그래요. 그러시면은 저희가 그런 부분을 감안해 가지고 지금 그 예금 처리를 조금 저희가 해가지고 진행을 좀 도와 드릴려고 하는데 고객님 지금 당장 한 이 삼천만원 예금을 드시긴 힘드시잖아요.
피해자,이삼천..
사기범,가능하시면 예 예 예
피해자,그러니까 목돈 이 삼천을 거기다 넣으란 얘기네?
사기범,그러니까 저희 쪽 국민 은행 쪽으로 예금 처리가 예 예 그 부분이나 뭐 이런 상품 가입하셔가지고 예치 처리하시긴 좀 힘드시잖아요.
피해자,그거를 그러면 예치를 하면 목돈을 넣으면은 그 이삼천 넣어가지고
사기범,예예
피해자,그거를 그러니까 뭐 몇 년이상 묵혀있어야 그런 얘기잖아요?
사기범,잘 안 들려요.
피해자,그러니까 이 삼천 저기를 넣어 놓으면
사기범,예예
피해자,그 이 삼천을 바로 찾을 수 있는거에요 아니면 몇 년 이상 묶여
사기범,아니죠. 장기 예탁 통장이라 장기 예탁 통장이라 해서 삼개월 이상 정도는 이제 예금을 하셔야 되는데 이 부분에서 그 비용 적으로는 좀 괜찮으시겠어요?
피해자,이 삼천 만약에 그걸 이 삼개월 정도만 있다가 제가 그걸 해약할 수 있나요?
사기범,그럼요 고객님. 그렇게 하실 수 있으시죠.
피해자,"그럼 거기에서 이게 위약 수수료나 이런 건 없나요? 취소 수수료, 해지 수수료?"
사기범,그런 건 없으세요. 삼개월 이후에 그렇게 되면은 그런 거 없으신데 예예 네네 그런 건 없으세요.
피해자,그럼 얼마정도 예탁을 해 놓으면 되나요?
