Role,Dialogue
사기범,네 여보세요
피해자,네 여보세요
피해자,어 거기가 어딘데요?
사기범,네 우선 저는 바카라 삼삼이라는 사이트를 운영하고 있는 유지석 팀장이라고 하고요. 네 업무 내용을 좀 설명드릴 건데 현재 통화 괜찮으신가요?
피해자,네
사기범,네 네 근무하게 되시면 본인께서 해주실 업무는 환전 업무를 담당해주실 거예요. 하루 수입은 일당으로 이 십사 만 원에서 최대한 사십팔 만원까지 맞춰드리고 있구요. 혹시 뭐 바카라 나 온라인 카지노 이용해보거나 들어 보신 적 있으신가요?
피해자,아니 뭐 어떤 건진 알겠는데요.
사기범,아 그래요? 어 그러시면은 뭐 거부감 같은 건 없으시고요?
피해자,그거 불법적인거 아닌가요 근데?
사기범,"뭐 딱히 저희가 뭐 도박 우리나라에서는 일단은 도박이라고 하면 합법은 아니지만요, 일단은 저희는 삼년 동안 아무 이상 없이 진행되고 있기 때문에 추가 인원을 뽑고 있는 겁니다."
피해자,뭐 어디서 일하는건가요?
사기범,어 일단은 상담을 해야 될 거 같구요. 뭐 따로 그러시면 거부감 같은 없으시죠? 따로 질문 주실 건 없고요?
피해자,그럼 어디서 일하는지만
사기범,아 본인 지역은 어디시죠?
피해자,수원이요 경기도 수원.
사기범,"수원분이세요. 아 수원분이시면요, 저희 직원이 수원으로 이동을 해야겠네요 그러면. 미팅을 한번 해야 되거든요. 일단은 뭐 설명을 좀 드려도 될까요?"
피해자,네 뭐..
사기범,네 네 아 온라인 카지노 같은 경우 에는 저희 손님이 저희 쪽 계좌로 입금하고 충전 신청을 하면 관리자가 게임 머니를 충전해 줘야 배팅이 가능하신 거예요. 어 이거를 간단하게 설명 드리면 은요. 회원들한테 충전 신청이 들어 왔다 그러면 출금해서 환전하고 이게 업무가 될 거고요. 그 다음에 뭐 사이트에 게임 머니만 충전해주면 되는 시스템이에요. 근무하실 시간은 주 5일 평일 근무에 주간 아홉 시부터 열한 시까지 이렇게 두시간이구요. 마찬가지로 오후에도 아홉 시부터 열한 시까지 해서 총 두 타임으로 근무가 가능하세요. 그리고 사대 보험이 적용되는 일은 아니기 때문에 근무 시간에 지장만 없으시면 투잡으로 하셔도 상관 없고요. 뭐 집에서 일 보시다가 저희가 호출에만 응해주시면 되는 겁니다. 여기까지 뭐 이해되셨나요?
피해자,네 그럼 뭐 어떻게..
