Role,Dialogue
사기범,"제가 답답해 죽겠네, 지금? 선생님, 본인이래요, 자기가?"
피해자,네.
사기범,"그 성함이 아니에요, 그 분이."
피해자,아니요. 은행을 통해서 통화했어요.
사기범,"답답하십니다, 진짜 와."
피해자,제가 은행…
사기범,"아니, 결과는 보시면 아실 거예요. 지금 어떤 사태가 지금 발생을 했는지 복잡하게 됐어요, 지금 굉장히."
피해자,"복잡한건 경찰에서 알아서 할일이구요, 저도 경찰서에 신고를 해서 제가 편취를 했으면 제가 벌을 받을거고, 그쪽에서 잘못을 했으면 그쪽에서 벌을 받겠죠. 그런데 이거를"
사기범,뭐 그거는 네 그렇죠.
피해자,사람을 이런 식으로 완전 개떡만들어 놓고 아~진짜 이런 사기가 없네요.
사기범,"아니, 지금 전 지금 납득이 안 됩니다, 납득이 지금 저희 어떻게 돌아가는지 모르겠네. 지금 고객님이 하시는 말씀이 전부 거짓이예요. 지금."
피해자,제가 무슨 거짓이란 말씀이세요?
사기범,지금 상황이 그 상황이 아닌데 지금 무슨…
피해자,상황을 다시한번 말씀해 보세요.
사기범,OOO 통화를 하신 적이 없으시대요.
피해자,통화한적 없대요?
사기범,네 네.
피해자,"아 제가 은행하고 통화하고 은행 고객센터에서 직접 연락을 했기 때문에, 은행에서 알아서 하겠죠."
사기범,아 그걸 지금 은행 은행 지금 어디 통화하셔서 하신 거예요? 은행?
피해자,수협이요.
사기범,고객님이 은행이요. 아니면은 저기 반대 쪽 은행이요?
피해자,반대쪽 은행.
사기범,입금하신쪽 은행이요? 번호가 입금 입금하신 그 보 그 본 그 본사 콜센터 전화 온 거예요?
피해자,"아 예, 그렇죠."
사기범,"아, 미치겠네. 알 수가 없네, 지금"
피해자,"알수없으면 어쩔수 없구요. 저도 어쨌든 지금 너무 황당한 상황에서 경찰에 신고가 되어있는 부분이고, 어쨌든 저는 OOO 통화를 했고요, 돈은 돌려드릴 수 없고, 경찰서를 통해서 돌려드릴테니까 그렇게 알고 계세요. 그리고 지금까지 통화는 모두 녹취가 되어있기 때문에, 그쪽에서 저를 신고했으면 저도 신고할거에요. 알고 계세요. 사람을 병신취급해도 이런 하~"
사기범,"고객님, 지금 그 욕하시는것도 다 녹음하고 있어요."
피해자,"네, 하세요. 하세요."
사기범,네네.
피해자,또 할말씀 있으세요? 저는 그리고…
사기범,답답합니다. 답답합니다.
피해자,"아뇨, 답답할거 없어요. 저는 은행을 통해서 정식적으로 확인을 하고 있는 부분이기 때문에 은행을 통해서 더이상 이렇게 처리가 안되다고 하면, 저는 경찰을 통해서 처리할거구요. 그쪽에서 저를 신고했잖아요."
사기범,경찰서는 저희가 신고했다니까요.
피해자,"예, 신고하세요. 신고가 되어있드라고요."
사기범,아 지금 신고가 돼있다니깐요. 저희가 신고한거에요.
피해자,경찰서에 신고가 되있드라고요.
사기범,저희가 보이스 피싱 당한 거라고요. 저희가.
피해자,"장난치세요, 지금?"
사기범,제가 왜 이게 지금 이게 비싼 밥 먹고 지금 장난을 왜 치겠습니까?
피해자,"그러게요 그럼 저는 정당하게 통화를 했는데도 그렇게 한다면, 저는 무고죄로도 신고할거에요. 그렇게 알고 계시고, 나중에 통화할게요."
