Role,Dialogue
사기범,할 것은 지금 나한테 돈보내는 일이야. 알았어? 나한테 돈 보내줄 수 있어 없어? 없으면 xx 내 약 매겨가지고 내가 동영상 찍어가지고 돈 팔아도 돼? 어?
피해자,아니 그러니까 어떻게 하다가 그렇게 됬냐고요
사기범,그거는 묻지 말라고 xx 너네 애새끼 내가 납치했다고 지금 어? 내 말귀 못 알아듣겠어? 아줌마. 여보세요.
피해자,아니..
사기범,아줌마
피해자,네
사기범,내가 원하는 건 딱 돈이니까
피해자,근데
사기범,나한테 돈만 해줘요
피해자,근데 일단은
사기범,"내가 약속 지키고 풀어 줄 테니까 나도 한국 사람이고. 어? 아줌마, 나도 자식이 있는 사람이야. 애 해치기 싫다고 알았어? 나한테 얼마 해줄 수 있어요."
피해자,"제가 (삐-) 미국에 가있는데, 제가 돈이 많아서 보낸 것이 아니거든요."
사기범,xx 유학을 보냈는데 돈이 없어?
피해자,"아니 거기 유학을 보낸 것이 아니라, 거기 그 학원에 한번 조사를 한번 해보세요. 거기 가게 된 이유가 (삐-) 해서 보내준거거든요."
사기범,"그거는 내한테 얘기하지 말고, 내한테 얼마 해줄 수 있어요. 얘기해 봐요"
피해자,"근데 제... 아니 그니까 제 말을 들어봐요. (삐-) 보내준거고, 저는 혼자 사는 아줌마고, 애하고 아이는 혼자 살아요 혼자"
사기범,그러니까 얼마 해줄 수 있냐고 이것만 물어 보자고. 아니면은 어 내가 내 방식대로 한다고 알았어?
피해자,그러니까. 마련할 돈이 지금 당장 없잖아요
사기범,그러니까 내가 애를 보니까 아주 착해요. 그래서 어 다치게 하기 싫다고. 알았어 지금까지 안 다쳤다고. 아줌마 지금 회사 밖으로 걸어나가요 지금. 알았어? 내가 하라는 대로 해.
피해자,지금 제가 돈이 하나도 없는데 어떻게 하라는 거예요
사기범,신용 카드도 없어요?
피해자,"저는 카드도 없어요. 저는 지금 영세민이야, 차상위라고요. 한번 저를 조사를 한 번 해보세요. 제가 차상위라니까요. (삐-) 보내준거라고요"
사기범,아줌마 그러면 미안한데요.
피해자,예
사기범,알았어 내 방식대로 할게요.
피해자,그러면 애기를 한 번 바꿔줘봐요.
사기범,바꿀 필요없고 음 돈이 안 되잖아. 바꾸지 말고 미안한데요. 일단 내가 동영상부터 찍을게요. 알았죠. 동영상 찍는 사람한테 전화해 보고 그리고 심장 파는 사람. 아줌마.
피해자,네
사기범,미안한데요. 애 심장을 팔아야 되겠어요. 그렇게 해도 되죠?
피해자,그렇게 하면 되겠습니까?
사기범,계속 근데 아줌마가 돈 안 해주잖아 어?
피해자,어떻게 하는 쪽으로 마련을 해봐야죠. 어떻게 만들어봐야 될거 아니야
사기범,아줌마 지금 가지고 있는 거 얼마야
피해자,가지고 있는거 하나도 없어요
사기범,하나도 없으면 어떻게 생활을 해. 어?
피해자,월급 받아서 산다니까요. 차상위라니까요 제가. 한번 그러면 조사를 한번 해 보세요.
사기범,얼마 가지고 있냐고 통장에 지금
피해자,애기 좀 바꿔줘봐요. 애기를 바꿔줘야 될 거 아니에요.
사기범,야 도끼 가져오고 처리해
피해자,애기를 좀 바꿔주라니까요. 여보세요.
사기범,나 아줌마하고 거래 안 하니까 그렇게 알고.
