Role,Dialogue
피해자,여보세요
사기범,예 고객님 김민O이에요
피해자,예 마음이 이상해서 이상한 생각이 자꾸 든다 내가 지금.
사기범,지금 계속 제가 말씀 드리는 거잖아요. 고객님 아무 문제 없으시고요. 지금 다 이제 거의 완료가 되시구요. 자금 나가시는 게 오늘 아무래도 금요일 이다 보니까 월요일 오전에 나가신다고 하세요.
피해자,거봐라
사기범,아니 아니요　아니요. 고객님 그게 아니시라요. 여보세요
피해자,네
사기범,네 아니 그러니까. 지금 오늘 고객님께서 지금 아까 상환 처리하신 게 세시 정도가 되셨잖아요.
피해자,그래 상환 처리를 하는게 내가 지금 이쪽에서 개인통장으로 하는게 아니고 가상 계좌가 아니고 바로 내가 넣어서 갚아버리면 되는데
사기범,그러니까 근데 예 제가 그래서 그거를 그 부분에 대해서 다시 한번 좀 설명을 드려야 되는 게요 고객님께서 그냥 원래 납부하시던 그 가상 계좌가 아니고 이제 고객님께서 발급 받으셨던 계좌로 납부하게 되시면요 고객님께서 그냥 중도 상환 처리가 되시는 거예요
피해자,안되지
사기범,네 그렇게 되시면은 고객님께서 계약 기간 동안
피해자,여보세요. 전화가 왜 이렇지
사기범,그리고 제가 지금 한가지 말씀 드리고 싶은 건요 고객님께서 지금 너무 걱정을 하고 계시는데요 저희가 아까 세시쯤에 이제 상환 처리되셨고 이제 네시쯤에 이제 상환 처리하신 거 완료됐다고 말씀 드렸잖아요 근데 은행 협회측부터 아까 전화 받으셨죠.
피해자,저 내가 그 이 이강현 과장인가 내가 내가 그 그분이 전화 그렇게 와가지고 또 다른 사람이 전화 와서 그렇게 많이 일단 내가 돈 입금하다 보니까
사기범,네네
피해자,확실한 그 내가 마음이 자꾸 걱정스러워서 지금 일이 손에 안잡힌다고 지금
