Role,Dialogue
사기범,"있습니다. 대출금 수정이후 연체가 없으실 경우 원리금 균등 분할 상환, 원금 만기시 상환 방식 중 상환 방식 1회 변경 가능하시며 중도 상환 수수료 없이 계약 만기 이전이라도 여유 롭게 여유 자금 있으실 때 부분 혹은 전액 자유롭게 수수료 없이 중도 상환 가능하십니다. 어 대출 자금 약정 기간을 어떻게 설정 도와드릴까요?"
피해자,제일 긴게 5년이라 했나요? 5년으로 해주세요.
사기범,예 잠시만 기다려주세요. 설정 도와드리겠습니다. 예 예 다음으로 상환 방식 설정 녹취하도록 하겠습니다. 어 상환 방식은 원리금 균등 분할 상환과 원금 만기시 상환 방식 두가지 방식이 있으십니다. 상환 방법 저한테 한번 확인해주세요.
피해자,원리금 균등 분할 상환으로 해주세요.
사기범,예 원리금 균등으로 설정 도와드릴거구요. 잠시만요. 다음으로 상환 결제 일자 설정 녹취하도록 하겠습니다
피해자,10일로 하겠습니다.
사기범,예 잠시만요. 예 그리고 다음으로 이자 상환 방법 설정 녹취하도록 하겠습니다. 이자 상환 방법은 자동 이체와 상환 전용 계좌로 직접 송금하시는 방법 두가지 방법..
피해자,자동 이체 방법.. 예..
사기범,자동 이체는 농협 계좌 OOOO 맞나요?
피해자,예 예
사기범,"예 잠시만 기다려주세요. 어 예 그 계약 녹취 끝으로 어 대출 계약 및 보증서 발급 계약 후에 주의 사항에 대해서 안내 말씀 드리도록 하겠습니다. 예 저희 한국 자산 관리 공사는 고객님께서 대출금을 수령하신 계좌를 이개월 정도 전산으로 자동 모니터링을 하게 됩니다. 그래서 모니터링 기간 동안 고객님께서는 이개월 동안 카드사, 타 대출사 및 금융사에 대해 오늘 승인되신 그 대출금을 포함해서 절대로 연체를 하시면 안 됩니다."
피해자,네 네
사기범,"어 그리고 두 번째는 고객님께서는 그럴 리는 없으시겠지만 여러 다른 고객분들에 그 대출 금액을 이용하셔서 사행성 오락이나 불법 스포츠 도박 자금용으로 사용하셔서 전액 환수가 되신 분들이 가끔 계시는데 대출 승인 금액을 사행성 오락, 유흥비 혹은 도박 자금 이런 불법 자금으로 사용 되시는게 거래 내역에 기제가 되면 불미스럽게도 대출금 회수 및 계약이 취소 될 수 있으니 이점 참고 해주시고 육개월 동안만 주의 해주시길 바랍니다."
피해자,예 알겠습니다.
사기범,아 예 이제 모든 계약 녹취가 완료되셨구요. 예 수고하셨습니다.
피해자,예 고생 많으셨습니다. 감사합니다.
사기범,"예 예 한국 자산 관리 공사, 캠코 심사팀 이민호 과장이였습니다."
피해자,예 수고하세요.
사기범,예
