Role,Dialogue
사기범,네 여보세요
피해자,네 여보세요
사기범,네 아 예 선생님 일단 확인됐구요.
피해자,네.
사기범,그 발급 비용 같은 경우는 대출 금액에 일 프로인 지금 육십육만원으로 확인되셨고
피해자,예예예.
사기범,말씀드린 것처럼 대출 승인받고 삼일 뒤에 납부한 금액을 선생님께서 원하시는 계좌로 직접적인 반환이 이루어 지실겁니다
피해자,아 예 예 예
사기범,"네, 저 선생님께서 진행은 오늘 중에 가능하시겠습니까?"
피해자,"예, 오늘 가능한데요."
사기범,아 그럼 언제쯤 가능하실까요?
피해자,"어, 어디로 가면 되나요? 그 법무사 사무실로 가야되잖아요."
사기범,"아니요, 저 선생님께서 직접 방문하는 게 아니구요. 저희가 법무사에다가 담당자 배정하면은 담당자가 이제 저희 선생님께서 이제 송금 처리하시고 저희 쪽으로 서류가 들어오면 되는 거거든요"
피해자,네.
사기범,"네, 저희 고객님께서 이제 채무자시잖아요."
피해자,예예. 그쵸.
사기범,"예, 제 생각에 굳이 직접 방문하실 필요가 없는 거죠."
피해자,예.
사기범,네 그럼 언제쯤 가능하시겠습니까?
피해자,저는 거기 약수동 있는데에 있거든요. 아무때나 상관없는데 일단 저는 나가서 따른일을 봐야되는데 만약에 된다면 기다렸다가
사기범,아 제가 일단은 선생님 그 담당자로 배정을 배정을 받으면은
피해자,예.
사기범,그 담당자한테 저희 선생님께서 송금 처리를 하시면 되시거든요
피해자,아 예예.
사기범,아니면 저희 선생님께서 법무사에다 직접 전화하셔도 되시는 거고
피해자,예예예예.
사기범,일단 일단은 납부는 지금 바로 가능하신 거예요?
피해자,예예예예.
사기범,"아, 혹시 저희 선생님 성함으로 이름을 납부하시나요?"
피해자,예예.
사기범,선생님 성함으로 이런 걸 이름으로 납부하시고 납부하시는 은행이 어디신가요?
피해자,SC은행
사기범,"아 선생님께서 인터넷뱅킹이신가요, 아니면은 예, 자동 그 인터넷 뱅킹인가요? 아니면은 폰뱅킹 거예요"
피해자,스마트 폰 뱅킹
사기범,예 선생님 제가 그러면요
피해자,예.
사기범,그 담당자 확인하고 바로 연락 드려도 되겠습니까
피해자,예예예예.
사기범,네 알겠습니다.
피해자,네네네
