Role,Dialogue
사기범,여보세요?
피해자,네 여보세요.
사기범,예 고객님 금방 통화했던 담당자 김민정인데요.
피해자,네 네.
사기범,그게 네이버에서 잘 안 되면 혹시 그 바탕 화면에 동그랗게 지구 모양 되있는 인터 넷으로 한번 들어가보실까요 고객님.
피해자,구글 말씀하시는거에요?
사기범,아니 구글 말고 그냥 인터넷 지구모양 되있는 인터넷.
피해자,네.
사기범,네 거기 들어가 주시구요. 맨 위에 보시면 그 주소창 나오시잖아요 고객님 주소창.
피해자,네 네.
사기범,네. 주소창 지금 영문으로 다 있잖아요. 그게 영문으로 된 주소를 다 지워 주시구요.
피해자,예.
사기범,예. 다 지우고 하나도 남김없이 다 지우시고 그 상태에서 지우신 상태에서 제가 다 시 한번 불러드릴게요.
피해자,네.
사기범,일 이 오 점
피해자,네
사기범,이 백 삼 십 점
피해자,네
사기범,일 공 이 점
피해자,네
사기범,공 이 점
피해자,네
사기범,그리고 오 팔
피해자,네
사기범,네 그리고 이동 버튼 한번 눌러보세요 고객님 여기서 안 들어가면 인증 번호를 교체 를 해야 되기 때문에요.
피해자,네.
사기범,네. 본인 인증화면은 넘어가나요. 고객님?
피해자,아 여기는 잠시만요. 연결이 아직 진행되고있어서.
사기범,네 네. 혹시 인터넷이 조금 늦어서 그런 거 아닐까요?
피해자,아 지금 얘가 안 넘어가긴 하는데...
사기범,안 넘어간다고요?
피해자,네 네.
사기범,음 인터넷이 늦으면은 그럴 수도 있는데요.
피해자,일반 홈페이지는 없나요? 그 아이피...
사기범,그... 왜냐면 이게 본인 인증 화면에서 직접 하셔야 돼요 고객님. 본인 본인이 하시 고 우편물을 저희 쪽에 직접 불러들이는 거거든요.
피해자,네 네.
사기범,그리고 저희 홈페이지를 다운 받으셔야 되는데 지금 인터넷에서 이게 연결이 잘 안 되시면은...
피해자,네.
사기범,어... 아직도 안 넘어간다는 말씀이세요?
피해자,네 네.
사기범,어 그래요. 고객님 그러면 제가 다른 부분 한 번 본인 인증 받아 보구요. 만약에 이 게 그 부분 안 넘어가면 제가 인증 번호를 다시 한번 바꿔서 말씀 드릴게요.
피해자,네 알겠습니다.
사기범,네 고객님 네이버에서 다시 한번 클릭 좀 해주세요 고객님. 되는지 안되는지 확인 한번 확인해주세요.
피해자,한 시간 뒤에는 연락주시겠어요? 저희한테도. 내일 아침에 일해야 되갖고.
사기범,아 그래요. 12시에요 고객님?
피해자,네 네.
사기범,네 담당자 김민정이고요. 고객님 전화 드리면 전화 잘 받아 주세요.
피해자,네.
사기범,네.
