Role,Dialogue
피해자,여보세요
사기범,여보세요. 아줌마 주위에 누구야.
피해자,아유 지금 길거리에요. 여보세요. 애 바꿔요 빨리.
사기범,"아줌마 내가 말했지, 조용한 곳에서 전화 받으라고."
피해자,어떻게... 어어
사기범,여보세요
피해자,여보세요
사기범,아줌마 조용한 곳에서 전화 받아 울거나 그러면 전화 끊고 돈이고 뭐고 필요 없다.바로 끊는다.
피해자,지금 어디에요?
사기범,그건 알 필요 없고. 나한테 얼마 해 줄 수 있어. 묻는 말에만 대답해. 여보세요.
피해자,여보세요.
사기범,아줌마 내가 울지 말라 했지. 계속 울면 난 전화 끊는다.
피해자,아니 어딘데요. 어떻게 하라는 건데요.
사기범,그건 알 필요 없고. 아줌마 나한테 돈 얼마 해줄 수 있나? 묻는 말에만 대답해. 얼마 해줄 수 있어. 여보세요.
피해자,여보세요.
사기범,아줌마 똑똑하게 행동해. 허튼 수작 부리면 나 전화 끊는다.
피해자,애 좀 바꿔주라고요.
사기범,아줌마 계속 울 거야? 나 그럼 전화 끊는다.
피해자,어디에요 거기?
사기범,그건 알 필요 없고. 나한테 얼마 해 줄 수 있냐고.
피해자,"아니, 얼마를 해 달라는 건데요 지금?"
사기범,내가 원하는 금액은 삼천만원이다.
피해자,뭐라고요?
사기범,내가 원하는 금액은 삼천만원이라고. 아줌마 지금 주위에 사람들이 있지.
피해자,아니 애 다쳤어요? 지금 머리 다쳤다고 아까 그러는 것 같은데.
사기범,크게 안 다쳤고 그냥 잠깐 코피가 났었.. 나는 건데 오바 떠는 거니까. 얼마 해줄 수 있냐고. 크게 안 다쳤다고.
피해자,아니..
사기범,묻는 말에만 대답해.
피해자,애 때렸어요?
사기범,"그렇게 안때렸으니까, 아줌마가 생각할 정도로 아니니까."
피해자,아니 애가 다쳤다는데 그럼.
사기범,"내가 말했지 돈만 안전하게 받으면, 애는 해치지 않습니다. 그건 약속할게요. 알았죠?"
피해자,잠깐 애 좀 바꿔주면 안되요?
사기범,아줌마가 나한테 해준 게 뭐가 있는데 계속 바꿔 달라고 해.
피해자,어떡해..
사기범,아줌마 내가 말했지.
피해자,아니 애 목소리를 들어봐야지 될거 아니에요.
사기범,주위 사람들 없는 곳에서 전화 받으라고.
피해자,없다고요.
사기범,아줌마 나한테 얼마 줄 수 있어. 그 묻는 말에 먼저 대답 하세요. 아줌마 내가 말했지 울지 말라고. 이제 뭐 한번 더 울면 난 전화 끊고 애 죽입니다.
피해자,네?
사기범,"아줌마 똑똑하게 행동하세요. 똑똑하게만 행동하면 애는 다치지 않고 안전하게 돌려 보내줄 테니까, 나한테 얼마 해 줄 수 있어요."
피해자,아니 일단 애 목소리 좀 들어 보면 안되요? 무사한지는 알아야 될 것 아니에요.
사기범,"아줌마 내가 말했지 앞서 나가지 말고, 나한테 얼마야 해 줄 수 있냐고. 아줌마 통장에 돈 얼마 있어."
피해자,전 아무것도 없어요.
사기범,신용 카드는 몇 개 써 그럼.
피해자,신용 카드 안 쓰는데요.
사기범,그럼 나한테 돈 어떻게 해줄 건데. 어? 어떻게 해줄건데. 아줌마가 돈이 없으면 거래가 안 된다는 거잖아 그치?
피해자,아저씨
사기범,예 여보세요
