Role,Dialogue
사기범,여보세요. 아 네. (삐-) 고객님 되시나요?
피해자,예 안녕하세요
사기범,예 안녕하세요. 농협 은행 이윤환이고요.
피해자,네
사기범,대리 접수 허가 승인 나와가지고 진행을 좀 도와드릴까하고 전화 드렸어요. 고객님. 예 통화 가능하시고요?
피해자,네 네 네.
사기범,아 15분에서 20분 정도 소요가 되실 거구요. 고객님. 그 컴퓨터 사용 가능하신가요?
피해자,컴퓨터요?
사기범,네 네 네
피해자,아 네 네 지금 잠... 아 집에 들어가고...
사기범,어 지금 당장 필요한건 아니신데요. 저 왜 여쭤보냐면 이제 대리 접수 관련해서는 개인 신용 정보가 좀 들어가시잖아요.
피해자,네 네
사기범,저희가 이제 녹취 진행이 1차적으로 한번 들어가실 거구요.
피해자,네 네.
사기범,그리고 2차적으로 이제 저희 이제 신원 있잖아요. 저희 신원. 뭐 사진이라던가 이런 걸 좀 확인시켜 드리고자 이제 여쭤봤던 거예요
피해자,네 네 네
사기범,"고객님께서 뭐 나중에 확인하신다고 하시면은, 그건 추후 나중에라도 언제든지 확인은 가능하신 거구요"
피해자,아니 그냥 진행하시죠.
사기범,아 그냥 진행을 해드릴까요? 고객님.
피해자,네 네 네
사기범,네 네. 알겠습니다. 그러면 나중에 확인하시고 싶으실 때 언제든지 말씀하시구요.
피해자,네 네 네
사기범,"네 네 네. 일단은 저희가, 그 어, 대리 접수 관련해서는 그 공인 인증서가 재발행 요청 한번 들어가셔야 돼요"
피해자,네
사기범,왜냐면 고객님이 사용하시는 건 개인 인증 서구 여기는 은행 기관이잖아요
피해자,네
사기범,그렇기 때문에 개인 인증서는 사용할 수가 없어요. 저희가
피해자,네
사기범,사용을 위해서 그 범용으로 재발행이 한번 들어가셔야 돼요
피해자,예 예
사기범,"고객님 명의로 범용으로 재발행이 들어가실 때는, 그 고객님 그 4400원 수수료가 부과가 되세요"
피해자,뭐 돈이요? 예 예
사기범,네 네. 알겠습니다. 일단은 어 대리 접수 관련해서 진행하기 전에
피해자,네
사기범,저희가 먼저 그 녹취 진행부터 좀 진행을 좀 할게요
피해자,예 예. 하세요
사기범,"예 잠시만 기다려 주시구요. 예, 사원 등록 번호 12-04-00283 이윤환 상담사는, 그 (삐-) 고객님에 동의하에 대리 접수 진행하도록 하겠습니다"
피해자,네
사기범,이 계약과 관련하여 기 금융 기관 NH 농협 은행이 (삐-) 고객님 본인으로부터 취득 위임한 신용 정보 및 전자 서명은 신용 정보의 이용 및 보호에 관한 법률 제23조의 규정에 따라 타인에게 제공 활용 위임 시 본인의 동의가 있어야합니다
피해자,네 네
사기범,어 이에 (삐-) 고객님은 기 금융 기관 NH 농협 은행이 신용 정보를 신용 집중 기관 신용 정보 제공 이용자 등에게 제공하여 (삐-) 고객님 본인의 신용을 판단하기 위한 자료로써 활용하거나 또는 한국 자산 관리 공사 및 기타 공공 기관에서의 보증서 발급 및 전자 금융 거래 민원 처리 등을 위한 자료로 활용하는 것에 대한 동의가 있어야 합니다
피해자,네
사기범,(삐-) 고객님 본인은 신용 정보 및 전자 서명을 제공 활용 위임하는 것에 대하여 동의 거부하실 권리가 있으며 동의가 없으시면은 계약이 상실 처리가 됩니다. 어 이에 동의하시나요
피해자,네 동의합니다
사기범,네 네. 동의 감사드리구요. 그 본인 확인 위해서 생년월일 여섯 자리 확인 좀 부탁드립니다
피해자,(삐-)
사기범,네 확인 감사합니다. 녹취 완료되셨구요. 대리 접수 절차 좀 도와드리도록 하겠습니다
피해자,네
사기범,"네 그리고 인증서는 중도에 폐기하시면 심사 시 이제 원활하게 진행이 안되시니까, 최종 승인 전까지는 유지하시면 좀 청구하시면 되겠구요"
피해자,네 네
사기범,네 잠시만요. 고객님. 그 농협 인터넷 뱅킹 아이디가 어떻게 되세요
피해자,(삐-)
사기범,"예, 한번 확인 좀 해볼게요. 그리고 제가 진행을 하면서요. 고객님 자산 관리 공사 쪽에 동시에 어 진행이 들어가시는 거예요. 중간 중간에 제가 말이 없더라도 양해 좀 부탁드리구요"
피해자,네 네
사기범,"두 가, 두 가지를 동시하다 보니까"
피해자,네 네
사기범,범용으로 재발행 들어가실 거구요. 주민 등록 번호는 (삐-). 어 고객님 인터넷 뱅킹 신청이 돼있으시지 않은 상황이라고 나오는데요
피해자,아 네. 안 돼있을수도 있겠죠
사기범,인터넷 뱅킹 가입을 안 하셨네요
피해자,아니요 가입이 되있는데
사기범,네 네
피해자,그거를 공인인증서를 그 모바일 핸드폰 에다가 이걸
사기범,스마트뱅킹만 사용하시는구나
피해자,예 옮겨놓으니까 그게...
사기범,이거는요. 어 요거는 고객님이 오늘 시간 나실 때 지금 가까운 농협 은행 내 방을 하셔가지고요
피해자,네
사기범,"인터넷 뱅킹 신청하러 왔다고 하시면은, 이제 한 5분 정도면 바로 신청을 해줄 거예요 가입을 해주실 거예요"
피해자,네 네
사기범,예 그래서 가입을 하시면은요. 뭐 아이디랑 뭐 이런 거 정해 뭐
피해자,아니 그게 아이디가 다 있는데요?
사기범,저희 쪽에 지금 (삐-) 요 인터넷 뱅킹 가입이 안 돼있으세요
피해자,그거를 대 문자로 (삐-)
사기범,예 예. 대문자에요. 다
피해자,"아 아니 그걸로 그 공인인증서, 그 저기 뭐야 다운받기도 하고 그러지않아요?"
사기범,농협 은행으로 등록하셨던 거 맞으세요?
피해자,"농협 맞죠. 제가 농협으로만, 주거래 은행이 농협인데"
사기범,"음 저희가 확인한 바로는 저희가 지금 해보니까요. 고객님은 이제 인터넷 뱅킹 가입되지 않은 상태라고 나와서, 그 아마 고객님이 그 뭐 스마트 뱅킹만 이용을 하시는 걸 수도 있어요 그 휴대폰에..."
피해자,아니요 아니요. 휴대폰에서 하더라도요.
사기범,네 네 네. 공인인증서는 마찬가지로 되시는건데. 네 네 네. 그거랑은 또 틀려요.
피해자,그거랑 인터넷 뱅킹은
사기범,예 예
피해자,이해를 못하겠어
사기범,잠시만요. 그러면 아이디 조회를 한번 해볼게요. 고객님
피해자,"제가 노트북에, 노트북으로 그거를 해볼게요. 확인해볼게요"
사기범,고객님이 노트북으로도 이용을 하시나요? 인터넷을 인터넷 뱅킹을?
피해자,그럼요
사기범,아 그러면 안 될 수가 없는데 잠시만요.
피해자,아니요 아이디가. 노트북에도 하나 있고 공인인증서가
사기범,고객님. 아 저희가 조회를 다시 한번 해볼게요. 고객님
피해자,네
사기범,아이디가 틀려셨을을 수도 있어요. 그러면은 계좌 번호 한번 말씀해 주시겠어요 농협
피해자,(삐-)
사기범,(삐-)요?
피해자,예 예 예.
사기범,계좌 비밀 번호 확인 좀 해주시구요.
피해자,계좌 비밀번호는 (삐-)
사기범,(삐-) 요?
피해자,예
사기범,저희가 조회 한번 해볼게요. 아이디가 나올거에요
피해자,나오죠. 당연히
사기범,(삐-) 맞으신데
피해자,맞잖아요
사기범,예 잠시만요. 다시 한번 해볼게요. (삐-) 시고 (삐-) 맞으시죠?
피해자,맞죠
사기범,음
피해자,그렇게 될 리가 없는데
사기범,저희 쪽에서는 계속
피해자,아니 그게 농협 중앙회 맞아요?
사기범,"네, 농협 중앙회 맞아요"
피해자,맞는데 같은 전산인데 왜 그래요?
사기범,농협 중앙회 당연히 맞죠. 음 일단은 요거는요 고객님이 어 노트북에서 하셔도 마찬가지일 거예요
피해자,네 네
사기범,"저희 금융권 전산에서 진행을 하는 거기 때문에, 사실 이런 거는 이제 창구 쪽으로 한 번 내 방을 한번 하셔야 돼요 하셔 가지고"
피해자,안 맞다고요? 그거를...
사기범,아 아니 아이디랑 이런 거 다 맞아요
피해자,네
사기범,말씀해 주신 게 맞는데 인터넷 뱅킹 자체가 가입이 안 돼있대요
피해자,참나
사기범,이게 이렇게 나오는 경우가 고객님이 주거래 은행이 농협 하나만 이용 중이신 거죠.
피해자,주 거래 은행은 그렇죠.
사기범,"네. 농협 하나만 이용 중이신거구요. 요거는요. 그 내방을 한번 하셔가지고요 그 인터넷 뱅킹 인증서를 그니까, 그 대리, 대리 위임하셨다는 말씀은 하지 마시구요"
피해자,네
사기범,"인터넷 뱅킹 내가 이제 공인인증서 재발행할려고 했더니, 그 인터넷 뱅킹 가입이 안 돼있다고 나온다. 어떻게 된 거냐 한 번 여쭤보시구요. 만약에 그쪽에서 가입이 안 돼 있다라고 얘기를 어차피 고객님이 손실을 하고 계신 거잖아요"
피해자,그렇죠
사기범,아 그니까요. 그니까 요거는 고객님이 한 번 내 방을 하셔가지고 한번 여쭤보셔야 될 거 같애요. 이 부분에 대해서는
피해자,하 제가 그 공인인증서를 2개를 갖고 있거든요 하나는 돈을 내고 하는
사기범,범용이요
피해자,예 하나는 안 내고 하는거 있잖아요
사기범,네 네 네
피해자,"그거 2개 다 갖고 있는데도, 그게 안되는 건 말이 안되는돼요?"
사기범,저희가 이제 대리 접수 같은 경우는 뭐 고객님만 해 드리는 게 아니잖아요
피해자,그렇죠
사기범,예 저희도 이제 여러 번 진행을 해요. 이제 많은 분들 이제 특히나 인제 연세 많으셔서 컴퓨터 사용 못 하시는 분들은 저희 쪽에서 거의 이제 절차가 들어가세요
피해자,네 네
사기범,근데 그런 분들 같은 경우도 인제 인터넷 뱅킹 가입 안 돼있는 분들이 많아요. 가셔가지고 가입을 하고 오셔가지고 저희가 진행을 도와드리는 경우도 많고
피해자,그러면 이게 농협이 가까운 데 있으니까
사기범,네 네 네 네. 가서 여쭤보시고요
피해자,확인하고 통화하죠.
사기범,아 네 그러세요. 전화 한번 주세요. 고객님
피해자,네 그렇게할게요
사기범,네 네 감사합니다 고객님
피해자,네 네
사기범,네
