Role,Dialogue
사기범,숫자 6자리 발송해 드릴 건데요. 요즘은 개인 정보 유출과 도용 방지를 위해서 임시 아이핀 발급을 통해 안전하게 본인 확인을 도와드리는 겁니다. 통화 중에 몇 가지 확인 가능하신가요. 고객님?
피해자,예
사기범,예. 지금 보내 드리겠습니다. 네. 보내드렸습니다. 고객님.
피해자,295523이요
사기범,29
피해자,5523
사기범,5523번 맞으십니까?
피해자,네 네 네.
사기범,잠시만요 확인 중에 있습니다. 본인 확인되셨구요 고객님
피해자,네
사기범,소득 활동은 직장 생활하시나요? 아니면 개인 사업 운영하시나요?
피해자,개인 사업이요.
사기범,개인 사업이시고요.
피해자,네
사기범,개인 사업이시고 어떤 업무 보실까요?
피해자,(삐-) 사업하고있어요.
사기범,어떤거요?
피해자,(삐-) 사업이요
사기범,(삐-) 처음 맞으시죠.
피해자,예
사기범,판촉물 사업이시고 본인 명의 사업자 등록증 있으신 건가요?
피해자,네 네 네
사기범,"예 본인 명의시고, 기간은 얼마나 되셨죠?"
피해자,2012년도 12월 달에 했으니까
사기범,"2012년도시면은 6년 정도 되셨, 6년 되셨네요. 주거래 은행은 어디시죠?"
피해자,우리은행이요
사기범,우리은행이시고요. 연 매출은 어떻게 되세요?
피해자,연 매출이 지금은 떨어져서 한 (삐-) 되나?
사기범,연 매출... 매출이 (삐-) 정도시구요. 정도시고 신용 카드...
피해자,순이익 말씀하시는 건 아니죠?
사기범,네 순이익 말고 연 매출.
피해자,네
사기범,네 그러시고
피해자,평균 매출 불리드리면 되죠?
사기범,예 맞습니다. 편하시게 말씀해주시면 되시구요. 신용 카드 몇 장 사용 중에 있으신가요?
피해자,신용 카드는 뭐 우리 은행 주 거래 은행 신용 카드있고요. 삼성 카드 있고요.
사기범,"삼성카드 있으시고, 카드론이나 현금 서비스 받으신 내역도 있으신가요?"
피해자,아니요. 없습니다.
사기범,그런 건 없으시고 사금융이나 대부 업체 사용 중이신 것도 있으신가요?
피해자,아니요. 그것도 없어요.
사기범,"그런 것도 없으시고요. 고객님 살고 계시는 거주지 시, 구, 동까지만 확인 부탁 드리겠습니다."
피해자,(삐-) 동
사기범,(삐-) 동 맞으시죠. 사시는 곳 거주 형태가 자가세요? 전세세요? 월세세요?
피해자,자간데 애 엄마 명의로 되있는데.
사기범,자가신데 누구 명의시라구요?
피해자,애 엄마 애 엄마
사기범,아 부모님. 아 배우자 명의.
피해자,예 예.
사기범,배우자 명의시구. 아파트세요? 빌라세요? 주택이세요?
피해자,빌라요. 아파트요. 아파트요. 아파트.
사기범,아파트시구요. 아파트시고 등본 상 가족 관계는 몇 인으로 되어 있으신가요?
피해자,제가 주민등록 등본상은 부모님 밑으로 되있고요. 가족 관계 증명서 상에서는 어떤거 말씀드려야 되나요?
사기범,그 지금 살고 계시는 거주지 안에 가족 관계 몇 인...
피해자,주거지 말씀하시는거죠?
사기범,예 맞습니다
피해자,주거지는 5인. 애 엄마 애들 셋까지.
사기범,이렇게 5인으로 등록되어 등록되있으신가요?
피해자,네
사기범,"5인으로 되있으시고, 기혼이시고, 네 잠시만요. 저희 쪽 접수 완료되셨습니다. 마지막으로 서민 금융 통합 지원 센터로 접수 이관을 위해서 접수 이관 번호 다시 한번 발송 도와드릴 건데요. 요즘은 불법적인 업체에서 인증을 요구하는 경우가 많기 때문에 주의하시라고 고객님의 숫자 6자리와 타인요구방지 문구와 함께 다시, 다시 발송해 드릴 겁니다. 다시 한번 확인 가능하시죠. 고객님."
피해자,네
사기범,네 지금 보내 드리겠습니다. 네 보내드렸습니다. 고객님. 어 잠시만요. 아 KT시구나. 잠시만요. 죄송합니다. 예 지금 보내드렸습니다.
피해자,443833이요.
사기범,44
피해자,443833
사기범,443833번 맞으십니까.
피해자,예
사기범,"잠시만요. 확인 중에 있습니다. 고객님의 정보 이관 확인되셨구요. 조건에 따른 한도와 금리는 본인 조건 평가 후에 확인 가능하시고, 두 시간 안에 내일 오전에 오전 10시 이후에 서민 금융 통합 지원 센터 대출 전문 전화인께 연락이 갈 겁니다. 부재 없이 전화하니까 상담 잘 나눠 보시고 상담을 통해 좋은 결과 있으시기 바라겠습니다. 접수 상담사 이기훈이었습니다. 감사합니다."
피해자,다 된건가요?
사기범,예 맞습니다.
피해자,이게 어떤 취지로 심사를 하는건가요?
사기범,"아 고객님 문자 날라와 날라가셨잖아요. 고객님 신용 카드나 보험 만드실 때 약관 동의하실 때, 정보 활용 동의를 하셔서 정부 정책 혜택 받으시라고 문자를 드렸잖아요."
피해자,정책이 확실한건가요?
사기범,예 맞습니다. 고객님. 인터넷 검색해보셔도 나옵니다.
피해자,정부 정책...
사기범,서민 금융. 한국 자산 관리 공사
피해자,서민 금융 통합 센터 자산 관리 어떤게 자산 관리 공사 정책 자금으로 그게 정식 그게 명칭인가요?
사기범,예?
피해자,"정책, 정책이라면서요."
사기범,네. 정부 정책 자금이요 한국 자산 관리 공사 내.
피해자,공사?
사기범,한국 자산 관리 공사요.
피해자,공사요?
사기범,예 예.
피해자,"정부에서 주체적으로 이렇게, 서민 금융 지원 때문에 하는건가요?"
사기범,예 맞습니다. 심사를 거기서 받으시고요.
피해자,예 알겠습니다. 고맙습니다.
사기범,네 내일 오전에 부재 없이 상담 잘 받아 보셔야 합니다.
피해자,예 알겠습니다. 네
사기범,네
