Role,Dialogue
피해자,그러면 제가 재단이나 기금에 가서 뭐라고 얘기를 해야 되나요
사기범,고객님 진행하시거든요
피해자,네 네
사기범,"저희가 어차피 뭐 뭐 조금 보증비 그래도 조금 저렴한 대로 찾아서, 뭐 서울 보증 기금이나 이런 데 조금 저렴하거든요."
피해자,아 예 예.
사기범,"제가 고객님 대출 서류를 넘겨드릴 거에요. 고객님. 고객님 저희 쪽에서 뭐 2550만 원 확정이 됐고, 8.6%로 이제 해서 대출을 진행할 건데."
피해자,아 예 예.
사기범,이제 보증서를 발급을 해달라고 일단 요청해 가지고
피해자,네
사기범,"뭐 그쪽에서 이제 가능하다고 싸인이 떨어지면은 고객님 이제 다시 연락하셔서 보증비 납부하시고, 예 보증서는 이제 저희쪽으로 이제 받으시면 되거든요?"
피해자,음 그래요? 그러면 그렇게 해주세요. 제가 직접 가는 것 보다는 나은가요?
사기범,고객님. 직접... 네 안 가셔도 돼요. 어차피 저희가.
피해자,아~
사기범,협조 요청을 이렇게 들어가면요.
피해자,네 네.
사기범,"네 네. 저희 쪽에서 이제 다 다루는거기 때문에. 고객님은 그냥 그쪽에 연락하셔서 보증비만 납부하시면 되는데, 일단은 그러면 저희가 공문 한번 보내드릴까요?"
피해자,네 네 네
사기범,일단은 그쪽 에서도 보증서를 발급 가능하다고 해야
피해자,아 그렇죠
사기범,대출을 진행할 수 있는데 만약에 보증서 발급이 안 된다면 저희도 다른 기관을 알아 봐야 되니까요
피해자,아 네 네
사기범,저희가 그러면 어 서울 신용 보증 기금 쪽으로
피해자,네 네.
사기범,공문 보내서요. 싸인 떨어지면 고객님한테 전화드리겠습니다.
피해자,아 예. 알겠습니다.
사기범,네.
피해자,네.
