Role,Dialogue
사기범,"제가 고객님 첫 번째 고객님 부결 나셨다고, 모든 분들을 예 그 조회 진행 건에서 고객님, 추가, 추가 진행이 들어갈 수 있는 자격 조건이 되시는 거 아니시거든요"
피해자,"아니 만약에 2개, 2달 46만 원을 내는 거야 내면 된다고 치고"
사기범,네 네
피해자,46만 원씩 냈는데 2달 후에 이게 만약에 안 돼 버리면은 계속 46만 원을 내야되잖아요
사기범,그러니까 안 되는 경우가 있으신데요. 그거는 고객님께서
피해자,예
사기범,"어 뭐 그럴 일 없겠지만 요 자금 받고 60일 동안은 금융권 안에서 추가 대출 받으시면 안 돼요. 고객님 추가적으로, 아니 아니 아니, 그니까 고객님은 안 받는다 하시지만"
피해자,예
사기범,제가 당부 말씀드린 거예요. 고객님. 추가 대출이 있거나
피해자,예
사기범,고객님 카드 사용을 하시니까 뭐 현금 서비스 카드를 받을 일 없잖아요 고객님
피해자,그렇죠.
사기범,"그러니까 추가적인 대출이 고객님 현재 상황에서 추가적으로 대출을 늘리신다거나, 그런 게 있으시면 솔직히 대환 안 되세요. 그러니까 그 부분 없으셔야 됩니다 고객님"
피해자,아 그거는 그건데요.
사기범,그것만 없으시면
피해자,확정이 된다고 괜히 막 비싼 이자 이거 소비자 금융인가 이거 이상한 좀 그런거잖아요
사기범,"이상한 금융권 아니시고요. 금융권이 1금융만 있으신 게 아니시거든요. 1, 2, 3, 4금융까지 있어요. 고객님"
피해자,신용등급 떨어지는 거 아니에요?
사기범,신용 등급은 고객님 무조건 떨어지시는 게 아니시구요
피해자,아
사기범,"소비자 금융권은 고객님 1금융권 전산을 같은 은행 연합회 전산 같이 공유 전산이 아니시거든요. 오늘 대출, 만약에 예를 들어서 소비자 금융권에 산와를 입금을 받았다, 하시는 것 같으면 고객님 은행에서 공유 전산이 아니시기 때문에 1금융권 조회 바로 해보시면 아시겠지만 대출 정보란이 있어요 고객님. 고객님께서 어디서 대출 받은 거."
피해자,그렇죠.
사기범,대출 정보란에 소비자 금융권은 대출 정보에는 안 떠요 고객님
피해자,그래요?
사기범,같은 공유 전산 아니시거든요 고객님 그렇기 때문에 1금융권 등급에는 고객님 영향을 줄 수 없는 부분 이구요
피해자,아
사기범,어차피 두 달 이용하시고 단기로 들어갈 거잖아요
피해자,아
사기범,그렇기 때문에 중도 상환 수수료도 없어요 고객님
피해자,그냥...
사기범,그런 금융권에 특성과 상품의 특성을 조금 이용을 하는 거예요. 고객님.
피해자,"제가 일단은 2000만원 빌리고 46만원씩 2번을 내고, 세 달째에는 저 씨티는 1금융권으로 바꾼다 이거죠."
사기범,갈아타기 개념으로 생각하시면 되세요. 요즘 새희망홀씨라든지 징검다리란 통장 대환 상품이 있거든요
피해자,아
사기범,고런 상품을 이용을 하는 거구요
피해자,아
사기범,정확하게 61일 자에 들어가시는 거예요 고객님
피해자,음
사기범,응
피해자,그 하여간 세 번째 전환은 다시 바꿔탄다 이거죠.
사기범,3회차 들어가시기 전에 정확히 61일자에 들어가시는데요
피해자,아
사기범,"저희가 오늘 자금 입금 받고 나면, 입금 받으시고 나면, 고객님께서 저희 쪽에서도 마무리 정리하고 나서 고객님 전산실 쪽으로 요청드려서, 요 내용상에 고객님 법적인 효력이 있는 서류상 고객님 확약서 부분이 발송되실 겁니다. 고객님."
피해자,예
사기범,제한되시는 거는 고객님께서 걱정 안 하셔도 되는데요
피해자,아
사기범,추가 저희 쪽에서도 한도를 띄우자는 목적에서 얘 지원을 해드리거든요 고객님
피해자,예?
사기범,근데 고객님께서 절대적으로 지켜주셔야 되는 부분은 추가 대출을 받으시면 안 돼요. 고객님
피해자,그러니까 추가 대출은 안 받으니까
사기범,어
피해자,근데 이거가 지금 1금융에서 안되기 때문에 옛날에 세금 문제가 있어 가지고 제가 금융권에 돈 이렇다 할 연체는 없었어요.
사기범,예. 고객님.
피해자,세금도 이것도 잘못 돼가지고 지금 내가 한 5년을 갖다가 지금 한 3년 넘게 이 지랄하는건데 지네들이 없어졌단 말이에요
사기범,네 네 네
