Role,Dialogue
사기범,여보세요.
피해자,네네.
사기범,"네, 안녕하세요. NS농협 예예 유연경 팀장입니다. (삥처리)"
피해자,네.
사기범,"맞으시죠, 신설팀 저도 공문받아보고 전화드렸구요. 고객님. 연락받아보셨어요?"
피해자,예예.
사기범,"네, 다른 제반사항에서는 문제가 없으신대요, 고객님."
피해자,네.
사기범,어 신용도가 조금 하락원인이 되셨다고 하세요.
피해자,네.
사기범,"예, 설명은 들으셨죠?"
피해자,네.
사기범,"예, 그래서 신용도만 조금 상향하고 진행하시면 보증서 발급되시고 저희 자금 충분히 받아보실 수 있을것 같구요."
피해자,네.
사기범,신용도는 어떻게 상향되시는지는 설명 들으셨어요?
피해자,"그 뭐, 그 자세히는 못 들었어요."
사기범,"어, 일단 고객님 같은경우는 기존 대출거래내역이 없으신 편이잖아요."
피해자,네.
사기범,"한도대출만 이용하고 계시구요. 그래서 거래내역을 쌓아드리면서 진행을 해드리는게 완납처리 되신부분이 없으시잖아요, 저희 은행권 자금쓰시면서…"
피해자,네.
사기범,그래서 어 대출 한건을 만들어 드려서 계약기간동안 어 잘 사용이 되셨다고 완납처리 되는 그 거래내역을 쌓아드려야 되는 부분이구요.
피해자,네.
사기범,그래서 어 쉽게 말씀드리면 A라는 금융사에서 자금을 한번 받으셨다가 사용을 하시는게 아니구요
피해자,네.
사기범,당일날 바로 상환처리를 하시는 방법이세요.
피해자,네.
사기범,확실히 말씀드리면 오늘 A라는 곳에서 자금을 한번 받게 되시면 고객님 거래하시는 계좌에 A라는 금융사라고 입금내역이 찍히시죠.
피해자,네.
사기범,"에, 상환처리를 하고나시면 출금내역이 한건 찍히시구요."
피해자,네.
사기범,"예, 쉽게 말씀드리면 거래내역을 만들어 드리는 부분이구요."
피해자,네.
사기범,계약하신 기간동안 잘 사용되셨다고 완납처리가 됐다고 대출 한건을 만들어 드렸다가 없애드리는 방법이에요.
피해자,예예
사기범,그러시구 오늘 자금을 받으셨다가 오늘 상환처리가 들어가시는 거기 때문에
피해자,네.
사기범,수수료가 발생이 된다거나
피해자,네.
사기범,"부대비용이 발생이 되거나 이러한 부분은 전혀 없으시구요, 고객님."
피해자,네네.
사기범,"네 그래서, 이렇게 진행하실 의사가 있다고 하시면 이렇게 진행을 도와드릴수가 있구요."
피해자,네.
사기범,"그래서, 이렇게 진행을 도와드릴까요? 고객님?"
피해자,그래서 어떻게 해야된다는 거에요?
사기범,"제 생각에는 심사진에서 공문 내려주셨데요, 가장 간단하게 자금 받아보실 수 있는게 장기카드론 대출이라고 있어요, 서류접수없이"
피해자,네.
사기범,그쪽으로 진행하시는게 가장 빠르게 진행이 되실것 같구요.
피해자,네.
사기범,"고객님, 주로 이용하시는 카드사가 어디 은행카드사 이용을 많이 하세요?"
피해자,"음, 씨티은행?"
사기범,"씨티은행이요? 하나, 머, 씨티 그다음 씨티은행 주로 이용하시게 되시면은"
피해자,네.
사기범,씨티랑 또 따른쪽은 어디 있으세요? 고객님?
피해자,지금 다 없앴어요. 최근에
사기범,씨티은행만 있으세요? 그러시믄요?
피해자,그리고 신한있죠.
사기범,"아 씨티은행이랑 신한은행 쪽으로 그러시믄 전화를 하셔가지구요, 카드뒷면에 보시면 연락처가 나와있어요."
피해자,네네.
사기범,전화를 하셔서 대출신청을 먼저 하시는게 아니구요 고객님.
피해자,네네.
사기범,전화를 하셔가지구 강제상환처리 하신다고 얘기를 하게 되시면은 해당 금융사에서 자금을 안내도 되요. 왜냐면 오늘 받으셨다가 오늘 갚으실 거잖아요.
피해자,예예.
사기범,"네, 해당 금융사에선 이전 수익이 발생이 안되잖아요. 고객님."
피해자,네.
사기범,"예, 그렇게 되시면 해당 금융사는 어, 이전 수익이 발생이 안되는데 자금을 내어줄 리가없으세요."
피해자,네.
사기범,그러니까 강제상환처리 하신다고 얘기하시면 안되시구요. 그냥 고객님께서 필요하셔서 신청을 하시는것처럼
피해자,네
사기범,개인생활자금이라던가 이런식으로 어필을 하시는데요.
피해자,네.
사기범,"어 저, 대출신청을 먼저 하시는게 아니시구 카드론, 장기카드론 한도가 얼마인지만 먼저 문의를 하시고 전화 끊으시구요."
피해자,네네.
사기범,저한테 연락을 주시면은
피해자,네
사기범,제가 제 은행코드 입력을 해서 가상 시뮬레이션 확인을 해서 부족하신 신용도가 상향이 되는지를 먼저 확인을 해드리구요.
피해자,네.
사기범,신용도가 상향이 되어야지 진행을 하시는거지 신용도가 상향이 안되는데 굳이 진행을 하실 필요가 없으신거잖아요.
피해자,네.
사기범,"예, 그러니까 한도가 얼마인지만 먼저 문의를 해보시고 저한테 바로 연락 부탁드리겟습니다. 고객님."
피해자,"아, 그러니까 시티은행에 물어보라고요?"
사기범,"시티도 괜찮고, 주로 이용하는 카드사쪽으로 하시는게 유리하실 거에요. 고객님."
피해자,"아, 카드론에 한도를 물어보라고요?"
사기범,"그렇죠, 고객님, 장기카드론 한도가 얼마인지 시티카드 쪽이나 신한카드 쪽이나 두군데 다 문의를 해보시고 한도확인만 해보시고 저한테 연락주세요. 대출신청을 하시는게 아니구요."
피해자,"아, 점심먹고 할게요. 지금 좀 바쁜일이 있어서"
사기범,"아 예, 그럼 한도 확인 되시는데로 연락좀 부탁드리겠습니다."
피해자,네네. 아 그럼 2시쯤 연락주세요. 2시쯤에
사기범,아 2시에요? 2시에 통화 가능하시겠어요?
피해자,네네.
사기범,"네, 알겠습니다."
피해자,"그전에 물어봐줄테니까 예예,"
사기범,"네, 아니면 카톡 남겨주시면 제가"
피해자,네네.
사기범,설명을 해드릴게요.
피해자,네네네.
사기범,"네, 감사합니다."
