Role,Dialogue
피해자,네 말씀 하세요.
사기범,아 예 고객님 리드코프 통화해 보셨습니까?
피해자,아 저는 중간에서 부담스러워서 안할라고요.
사기범,예?
피해자,저는 부담스러워서 안할라고요.
사기범,뭐 어떤 게 부담스러우셔 가지고요?
피해자,아니 지금 그것도 한계가 있는데 갚아 진것도 아니고
사기범,이거 전산 처리 완료 돼 가지고 소비자 금융 협회 통해서 이미 해당 금융사로 넘어가있는 상태구요. 농협 대출 나갈 때까지 잡아 놓고 있는 상태입니다. 평점이 다시 올라간 게 떨어지면 안 되니까요. 지금 645점에서 753점까지 상향되신 거 아니겠습니까? 중단을 시켜버리면 올라갔던 게 다시 내려가버리니까. 저희 농협 대출 마무리 될 때까지 평점을 잠깐 잡아 놓고 있는 거예요.
피해자,그만하고 싶은데요 저는. 더 이상 부담스러워서 못 하겠는데요. 어쨌거나..
사기범,고객님 예 예
피해자,어쨌거나 지금 돈이 걸려 있는거고 위험 부담이 너무 큰데요 이거.
사기범,어떤 위험 부담이 있으세요?
피해자,지금 그 알지도 못하는 분한테 돈이 가있잖아요. 제가 모르는 분이잖아요. OOO씨가.
사기범,그 전산 담당자분이요?
피해자,네.
사기범,그거는 고객님 이십사개월에 걸쳐 분할 상환 된 것처럼 전산 처리해가지고 해당 금융사로 이제 상환 처리할 수 있게끔 전산 처리해 주시는 분이지 않습니까?
피해자,"그 농협 지금 저한테 전화하시는 분이야 그렇게 아시니까 제가 그분을 전혀 모르죠. 제 돈이 그 사람, 그 분한테 가있는데."
사기범,아니요. 이미 전산 처리 완료해가지고 소비자 금융 협회 쪽으로 상환 처리까지 진행이 된 겁니다.
피해자,그래 가지고...
사기범,고객님 그렇게 말씀하시면 제가 그럼 뭐 이거를 어디로 제가 빼 돌리기라도 하겠습니까? 어디로 빼 돌리기라도 했겠어요?
피해자,아 감사한데요 네.
사기범,예?
피해자,"아 감사는 해요, 네."
사기범,아이고 참... 지금 평점 상승 시키기 위해서 강제 채권 상환 진행하신 거 아닙니까.
피해자,네
사기범,근데 지금 천이백만 원 처리 한 게 조금 평점이 부족하다고 내려와서 나머지 부분 채우라고 공문이 내려온 거 아닙니까.
피해자,네
사기범,그 동일하게 한 건 더 진행을 해달라고 내려온 거잖아요.
피해자,네
사기범,그래서 제가 리드코프라는 금융사를 알려드렸지 않습니까.
피해자,네
사기범,고객님 그쪽에서 신규 대출 추가로 한 건 받아 가지고 동일하게 이제 상환 처리하게 되면 부족한 평점이 채워 질 것 같은데 지금 뭐 어떤 게 문제이신 거예요?
피해자,계속 저는
사기범,네
피해자,맨 처음에 대출 받았어도 제가 뭐 갖고 그러면 그쪽으로 해서 신용 평점 오른다고 알지도 못하는 분한테 돈이나 그렇게 작업하는지도 몰랐고 또 한번에 끝나지 않고 또 또 안끝났다고 또 대출 받아서 또 해야 되니까... 저로서 엄청 진짜 ...
사기범,고객님께서 받으셔가지고 그쪽 금융사로 상환하신 거잖아요. 받았던 금융사에다가 상환해가지고 채권이 없어지는 건데 그게 문제가 됩니까?
피해자,아니요. 지금이 뭐 없어진 게 아니잖아요. 지금 어쨌거나 갚아 진것도 아니고 한번 더 받아서 지금 걸려 있는 거잖아요. 제가 백퍼센트 믿고 진행 할 수가 없죠.
사기범,고객님께서 이거는 그쪽 금융사로 따로 상환하시는 게 아니에요. 지금 러쉬 앤 캐시에서 받으신 천이백 만원은 이미 채권이 없어 진겁니다. 전산 반영이 안 돼서 그런 거죠.
피해자,그쪽 그쪽 제가 더 이상은 뭘 믿고 제가 계속 진행해야 할까요?
사기범,네 그럼 지금 어떻게 해드려야 되겠습니까?
피해자,아 저는 그냥 캔슬 하고 싶은데요.
사기범,이게 좀 평점 올린다는 좀 민감한 부분이라서 저도 예 코드 번호 진행해 드리는 거 다 보니까요. 준대 문제가 생기면은 저한테 페널티가 올 수도 있습니다.
피해자,네
사기범,제가 뭐 지금까지 진행하면서 고객님께 거짓말 쳤던 거 있습니까? 있는 그대로 말씀 해 드리고 진행을 해드리는 건데. 그렇게 말씀하시면 제 입장에서는 제가 뭐 이 돈을 받은 천이백만원 다른 데로 빼돌렸다는 그거밖에 저는 안 들리는데요.
피해자,처음부터 이렇게 신용 평점 작업한다 이랬으면 이렇게 얘기했으면 처음부터 제가 글쎄요.. 안 했을 수도 있어요. 제가.
사기범,제가 이게 좀 민감한 부분 이고 자의적으로 평점 조정하는 게 이제 약간 불법까진 아니지만 편법적인 부분이다 보니까.
피해자,네
사기범,좀 민감한 부분이라고 말씀은 드렸지 않습니까.
피해자,"네 그쵸 민감한 부분이라곤 얘기했지, 내 알지도 못하는 사람한테 돈이 가서 이렇게 작업 되는지 몰랐죠."
사기범,돈이 간 게 아니잖습니까. 실제로요.
피해자,그분한테...
