Role,Dialogue
피해자,여보세요.
사기범,예 안녕하세요. KB 국민 은행 이민용 대립니다. 예전에 그 OOO 남편분 되시는 거 맞으시죠.
피해자,네
사기범,예 좀 전에 저희가 그 OOO 지금 상담하셔서 대출 자금 진행 건을 드렸는데 뭐 어떤 부분을 지금 여쭤보실려고 전화드렸습니다.
피해자,그게 금리가 몇이라 그랬죠?
사기범,금리는 이제 오점 삼 프로로 보내드리고 있습니다
피해자,"오점 삼프로고. 근데, 제가 듣기론 뭐 신용 등급이 낮아가지고"
사기범,등급이 낮은 것이 아니라
피해자,네
사기범,신용 평점이 미달 이시다 보니까
피해자,네
사기범,신용 평점 올리려면 대출 일부를 지금 갚으셔야 되신 데 기존에 지금 지금 OOO께서 지금 우리 카드 쪽으로 지금 금액이 있으시다 보니까. 어차피 대출 자금 받으시고 이쪽으로 상환하실 지금 대환 하실려고 하시는 거잖아요.
피해자,네
사기범,그런데 지금 일부만 갚으셔도 평점이 올라가기 때문에 그쪽 그 일부를 갖고 저희 쪽 대출 자금 받아 가는 걸로 해드린다는 거고요.
피해자,일부는 어디다가.. 우리 은행에 갚으면 되는 거에요?
사기범,우리 카드.. 예 카드사 하고 카드론으로 받으셨으니까 그쪽으로 갚으셔야죠.
피해자,아 그리고요.
사기범,그리고 그쪽으로 갚으시면 대출 자금 갚고 그리고 저희 쪽에서 뭐 담보 대출로 바로 천이백만 원 그리고 사십팔 개월로 해드릴 수 있다는 건데
피해자,아 거기가 국민 은행 어디 지점이죠?
사기범,명동 지점입니다.
피해자,명동..
사기범,예 명동 지점이시고요.
피해자,명동 지점이요?
사기범,예 예
피해자,명동 지점... 그 성함이 어떻게 되시지?
사기범,예전에 이민용이라고 합니다.
피해자,이민..
사기범,용
피해자,용. 뭐 직책이 어떻게 되세요?
사기범,대립니다.
피해자,아 이민용 대리님. 여기 직통 번호 좀 알려 주실래요?
사기범,이 번호가 저희 직통 번호이거든요. 저희 지점에 지금 이 번호로 지금 뭐 통화하고
피해자,일 오 칠 칠에 오 이 구 오 요?
사기범,예 예
피해자,일 오 칠 칠에 오 이 구 오... 그럼 제가 이걸 국민 은행에 한번 확인하고 다시 전화 드려도 되죠?
사기범,예 예 그러셔도 되십니다.
피해자,예
