Role,Dialogue
사기범,월요일 확인 한번 부탁 드리겠습니다
피해자,여보세요
사기범,네 네
피해자,근데 그 여기가 1611-1421 맞아요?
사기범,네 네. 맞습니다
피해자,음 아까 걸었던 번호랑 똑같네요
사기범,아까 걸었던 번호라니까 어떤 말씀이시죠?
피해자,아까 전화왔던거랑 똑같네요 거기에 그 대리님하고
사기범,예 동일하시죠 고객님 같은 영업지원부서에요
피해자,아 심사부가 아니고요?
사기범,예 심사분데 영업지원부서 내에 있는 네 그 유성우 대리는 상담 센터에 계시고 저희는 이제 심사 그쪽에
피해자,음
사기범,지금 전화드린 거구요 내선 하나밖에 없기 때문에 예 저희 대표 번호로만 영업이 가능하십니다
피해자,"예 그럼 어떻게 해야, 어떤걸 해야되나요"
사기범,음 일단은 뭐 본인 확인을 위해서 소중한 개인 정보 생년월일 확인 한번 부탁 드리겠습니다
피해자,(삐-)
사기범,어 (삐-) 시라구요?
피해자,예 예
사기범,네 저 예 소중한 정보 감사 드리구요. 현재 저희 쪽으로 대환 대출 7000만 원에 대한 금리 2.5%에 심사 요청되셨는데 맞으신가요
피해자,네 네
사기범,음. 네 확인 감사 드리고요. 접수되신 내용은 고객님 신용 정보로 신용 시뮬레이션 실행해본 결과 고객님께서 신용 등급과 자격 조건이 저희 국민은행과 한국 자산 관리 공사에 보증서 발급 기준에 적합하셔서 문제가 없으신데요. 하지만 신용 평점이 신용 등급에 비해서 낮게 처리되셔서 대출 건에 대한 상환 능력이 어렵다고 판단이 되세요
피해자,네
사기범,네 그래서 이제 뭐 지금 보시면 원칙대로 하면 부결로 처리가 되시는 부분이신데 이게 그 유명우 대리 지인 분 되신다고 올려주셨어요 친척분되신다고
피해자,네 네
사기범,예 근데 뭐 지인 분이 아니신 거 같으시네요. 지금 말씀하시는 거 보면
피해자,네 지인 분이라고 부탁해달라고 그랬거든요
사기범,"아 그러셨나요. 네 일단은. 예 고객님. 저희 쪽에서는 대출이 좀 어려우실 것 같으시고요. 예 저희 쪽에서 대출 어려우시고, 네 그 쪽, 다른 쪽으로 한번 해보시는 게 괜찮을 것 같으세요"
피해자,아 그 국민은행에서 안 되는거에요?
사기범,네 네. 안 되세요
피해자,아 알겠습니다
사기범,네
피해자,감사합니다
사기범,네
