Role,Dialogue
피해자,아 예
사기범,예 (삐-) 고객님 맞으시죠?
피해자,네
사기범,아 네 그 심사 결과 안내 차 연락 드렸는데
피해자,네
사기범,우선 대출 면에서는 지금 (삐-)께서 이렇게 대출을 받아 보셨지만 뭐 최근까지 연체 이력 한 번도 없으신 점과
피해자,네
사기범,(삐-) 어쨌든 5개 금융사 카드 이용 중이시잖아요?
피해자,예
사기범,아 이 부분도 연체 없이 또 우량하게 사용하시고 그 신용 거래를 오래 해주신 점은 저희 국민 은행 측에서 좀 굉장히 긍정적으로 평가를 하세요
피해자,네
사기범,근데 반면에 아무래도 그 대출 면에서 (삐-) 이용하시는데
피해자,네
사기범,보험사는 2금융권이세요.
피해자,네
사기범,"그래서 전산에서는 그 1금융권 거래 실적이 좀 미비하시다라고 하는데요. 그 다행히도 그 상환 능력 평가 미달로 부결이 나신 거라서, 이 상환 능력 평가 확인되시면 좀 더 좋은 조건으로 발급이 가능하시다 확인이 되시니까"
피해자,네
사기범,아무래도 저도 뭐 다음 달부터 이제 팀장으로 좀 진급 심사가 있어요. 그래서...
피해자,근데 저 어디 어디 대리점이라고 하셨죠?
사기범,아 대리점이 아니고 여의도 본사세요
피해자,아 여의도 본사요?
사기범,네 네 네 네. 본점이시고
피해자,예
사기범,어 제가 아무래도 다음 달에 좀 중요한 진급 심사가 있으니까
피해자,네
사기범,고객님을 이렇게 따로 이렇게 좀 좋은 조건으로 발급이 되시면은 저도 실적이 좀 많이 올라가는 것도 사실이라서요
피해자,네
사기범,"제가 (삐-) 이렇게 좀 예외 심사건으로 좀 편법이지만 상환 능력 평가만 따로 볼 수 있게끔 재접수를 한 번 해드리고 싶은데, 고객님이 혹시 뭐 마이너스 통장이 많이 필요하신지 해서요"
피해자,아 상환능력평가란게 어떤건가요?
사기범,어 상환 능력 평가라는 거는 뭐 국민 은행 측에서 자금이 나갔을 때
피해자,예
사기범,고객님께서 잘 상환을 할 수 있는지 확인을 하는 거구요
피해자,예 그럼 어떻게 하는 건가요?
사기범,우선 2가지 방법이 있어요
피해자,예
사기범,"우선 첫 번째 방법은 (삐-)을 완납을 하거나 1000만원 이상 상환이 되면 고객님이 여유 자금이 1000만원 이상이 있다라는 게 증빙이 되니까, 저희 마이너스 통장이 그 2배 한도인 2000만원까지 발급이 되는 거고"
피해자,"아 제가, 제가 먼저 돈을 보내야 된다고요?"
사기범,"처, 첫번째 방법은 그렇구요"
피해자,예
사기범,"여유 자금이 없으시면은 두 번째 방법으로 진행을 하셔야 되는데, 아무래도 그 카드사도 많이 잘 이용하시잖아요."
피해자,예
사기범,이 쪽에서 자금을 받으시면은 저희 국민 은행 전산에 확인이 되고
피해자,예
사기범,자금 받으신 걸 어 카드 사로 다시 완납을 하면 상환 기록도 남잖아요
피해자,아
사기범,"예를 하나 들어드리면은, 롯데카드나 현대카드, 현대카드에서 1000만원, 1500만 원을 받으셨어요"
피해자,네
사기범,"네 그러면은 국민은행에서, 현대카드에서 이렇게 1500만 원 받았다 확인이 되시잖아요?"
피해자,네
사기범,그거 받으시고 내일 다시 현대카드로 완납 처리를 하면은 1500만 원에 대한 상환 기록도 남죠.
피해자,예
사기범,"그래서 이 하루치 이자도 저희 국민은행에서 납부를 해드려야 현대카드 측에서 거래 실적을 보내 주시니까, 아무래도 고객님 입장에서 받았다가 다음날 완납하는 거라서 제가 그 사이에 ‘고객님은 자금이 부족하지 않은 분이다’ 이렇게 전산하고 서류를 남겨놔야 제가 마이너스 통장 승인 처리를 내어드릴 수가 있으니까, 아무래도 약간의 편법 있다. 말씀드리는거고요"
피해자,근데 그게 그 카드론 같은 걸 받으라는 말씀이신가요?
사기범,그렇죠. 받았다가 다음 날 완납하시는 거고
피해자,카드론 결제가 그렇게 나는지를 모르겠는데
사기범,결제 나시죠. 우선 카드사는 모두 다 선결제가 있는 거고 거치 기간이라는 게 있잖아요.
피해자,예
사기범,"카드사는 거치기간이라는 게 있는데, 저희 국민은행은 1금융권이고 카드사는 또 2금융권이세요"
피해자,예
사기범,그러다 보니까 국민 은행에서 이자 납부할 때 요청을 하면 완납 처리는 국민 은행에서 이렇게 요청해서 고객님이 카드사로 다시 완납하면 되는 거니까. 그 부분에 대해서는 거치...
피해자,그러면은 카드회사에서 돈을 받아서 다음날 다시 갚으라는 거죠.
사기범,그렇죠. 제가 전산하고 서류를 남겨놓기 위해서 그런 거구요
피해자,네
사기범,왜 이렇게 해야 되냐면 지금 1금융권 거래 실적이 없다는 거잖아요. 전산에서는
피해자,예
사기범,이 거래 실적이 없다는 거는 한마디로 그냥 고객님이 자금이 좀 부족하다 판단이 돼서 부결이 난 거란 말이에요
피해자,아 예
사기범,그래서 그 전산으로 이제 대출 면에서 고객님이 자금이 있다는 걸 증빙을 해야 돼서 우선 전산하고 서류만 남겨 놓는거고 어 고객님은 이렇게 자금이 부족하지 않은 분이다. 이렇게 남겨놓고 승인 처리를 내어드리려고 하는 거고 지금 현 상황에서 제가 그때 말 씀 드렸던 3800만원의 3.6% 있잖아요?
피해자,네
사기범,그냥 승인 처리 내드릴 수가 있어요
피해자,아 네
사기범,그냥 승인 처리냈다가 감사과에서 와서 이게 지금 서류나 전산이 아무 것도 없는데 왜 이렇게 발급을 해줬냐 하면 제가 할 말이 없는 것도 사실이어서 이 받으셨다가 다 완납하신 거 그 기록만 이렇게 확인하고 제가 승인 처리 내드리려고 하는 거구요
피해자,아
사기범,상환 금액의 2배 만큼 한도가 측정되시니까
피해자,예
사기범,아무래도 좀 최대한도로 받으셨다가 어차피 완납하는 거 최대한도로 받으셨다가 완납하시는 게 좋기도 하고
피해자,예
사기범,제가 입장으로 봤을때는 아무래도 한도를 좀 높게 설정을 해드려야 제가 실적이 좀 많이 올라가는 것도 있어서
피해자,네
