Role,Dialogue
사기범,그래서 지금 대출 자금 받아서 입금해 주라 이것만 약속을 해주세요. 저도 왜냐면은
피해자,여보세요
사기범,예 예
피해자,무슨 말씀이라고요?
사기범,저도 할 거 같아서 다시 한번 못을 박아 놓겠다고요. 이렇게 해서 재처리 들어가면은 뭐 해서 대출 자금 받고 그 나가는데 문제 없이 해서 이거 승인 건으로 올려줄 거냐 내 얘기를 할 거란 말이에요 그렇게 확답을 듣고 올게요.
피해자,예
사기범,대신에 저도 입장이라는 게 있습니다 어제부터 해서 지금 고객님 저는 그 감사과
피해자,그때 가서
사기범,"그냥 하지 마라는 말씀입니다. 뭐 또 안 돼요, 돈이 뭐 안 됐는데 뭐 이거 처리 안 되겠다 뭐 이런 얘기하지 마시라는 거예요. 예? 그걸 약속해달라는 거예요. 그니까 서로 해서 저도 확답을 드리겠다는 거예요. 가서 얘기를 해서 문제 없이 대출 자금 나 갈 수 있냐 이거만 처리 되면은 확답 듣고 올 테니까"
피해자,예
사기범,"그러니까 다른 얘기하지 마시라는 거예요, 예?"
피해자,전 확답을 드렸어요.
사기범,"고객님이 나중에 아 도저히 해봤는데 안 될 거 같아요, 이런 얘기해 버리시면은 저도 솔직히 그렇잖아요. 제 입장이라는 게 있는데, 예?"
피해자,예
사기범,"예 원하시는 게 뭔지 아니까, 저도 그렇게 해서 지금 일처리를 해 보겠다 이거예요."
피해자,"아 이거 끊으면, 제가 뭐 오후 한시가 되든 두시가 되든 내가 이렇게 해가지고 다시 그렇게 삼백 팔만원만 내가 입금을 다시 그거를 선생님 이름으로 하면 되겠습니까?"
사기범,예 가능합니다. 그 예 내용은 제가 다시 한번
피해자,다시 한번 확답을 받아 올 수 있습니까?
사기범,받아야죠. 어떻게든 받아야죠. 약속해 드릴게요.
피해자,그러면 삼십 분 이따가 저한테 다시 전화를 드리죠.
사기번,아 알겠습니다. 전화 드릴게요.
피해자,그럼 저도 어디서 돈을 구하던지 정확하게 저도 답변을 드릴테니까.
사기범,아 예 알겠습니다.
피해자,예 예 예 예
