Role,Dialogue
사기범,"애 때기 타일르고 그러니까, 니 동생이 마지막으로 엄마 목소리 한 번 듣고 싶다 해가지고 전화했다 전화하는 게 잘못됐나. 이 xx놈아"
피해자,"그래서 저희한테, 제가 어떻게 하면 됩니까"
사기범,니가?
피해자,그니까 저희 엄마랑 제가 어떻게 하면 됩니까
사기범,니 엄마랑 (삐-) 니 동생 살리고 싶으면은 아저씨가 원하는 걸 해주든가
피해자,그러니까 원하는게 어떤건데요
사기범,원하는 게 돈이야
피해자,얼마 정도 원하시는데요
사기범,돈 500이 필요된다. 애 때리지마 이 xxx야. 일단 건들지 마. 칼 대지마. 몸에 칼 대지마.
피해자,"예 돈, 그래서 어떻게 할까요. 어떻게 해주면 되는데요"
사기범,일단 바꿔봐라
피해자,어머니가 쓰러지셨는데요
사기범,쓰러졌어?
피해자,예
사기범,"잘 됐네 그러면은 아저씨가 칼들고 지금부터 (삐-) 손가락 하나하나 자를 테니까. 눈깔 파버리고, 응? 동영상 찍어 가지고 너한테 넣어 줄게. 니가 한 번 똑똑 쳐다봐라"
피해자,아니요
사기범,아저씨가 어떻게 죽이는지
피해자,아니요. 그게 아니라 돈을 어떻게 해드릴까요?
사기범,니가 해줄 수 있나?
피해자,예
사기범,"(삐-) 집 쪽으로 전화했더니, 걔 엄마 아빠가 받고, 걔 형도 받더라고."
피해자,돈 보내드릴게요
사기범,근데 그쪽 에서는.
피해자,네
사기범,나한테 돈 5백을 바로 모바일 뱅킹으로 바로 우리들한테 넣어 주더라고 그래서 (삐-) 차에 태워 가지고 보내주기로 했는데
피해자,예
사기범,(삐-)가 그걸 보더니 응? 우리 엄마 아빠형도 그렇게 해줄 수 있다는 거야. 그래서 (삐-) 몸에 칼대지 않았다. 니 동생 때리지 않고 일단은
피해자,해줄 수 있어요
사기범,해줄 수 있제?
피해자,예
사기범,계좌 번호 불러줄까
피해자,예 잠시만요. 제가 좀 정리가 안되서
사기범,엄마보고 메모하라. 그래
피해자,예 불러주세요
사기범,기업 은행.
피해자,예. 기업 은행
사기범,(삐-) 대가리 박으라고 이 xxx야. xx 움직이면 죽는다. 개 xx놈아
피해자,기업은행
사기범,(삐-) 어떤 식으로 보낼 건데
피해자,계좌이체로 할 게요
사기범,"계좌 이체해주는데 모바일 뱅킹, 텔레뱅킹, 인터넷뱅킹으로 보낼 거냐고. 새끼야"
피해자,가서 보내야 되는데요
사기범,어느 은행
피해자,ATM가서 보내야 돼요
사기범,니가 보내는 거야? 니 엄마가 보내는 거야? 누가 보내?
피해자,제가 보내요
사기범,니가 보낼 수 있나?
피해자,네
사기범,너 나한테 보내 줄 돈이 있나
피해자,예
사기범,약속하는거다
피해자,(삐-) 맞습니까
사기범,"어 어 (삐-)인데, 니가 ATM기계 가가지고 은행 가가지고 현금 인출기로 나한테 계좌 이체해준다고 했잖아"
피해자,예
사기범,시간이 얼마나 걸리는데
피해자,저희 집 근처에 농협이 있으니까. 걸어서 한 5에서 6분정도
사기범,"니 엄마 지금 뭐라고, 뭐 하고 있는데"
피해자,어머니 울고 계시는데요
사기범,울고 계시면은 옆에 가만히 앉아있으라고 그래
피해자,가만있으세요. 지금 아무것도 안하시는데요
사기범,만에 하나
피해자,예
사기범,여보세요. 너 이름 뭔데
피해자,(삐-)요
사기범,(삐-)야
피해자,예
사기범,"아저씨가, 아저씨한테 니 남자 대 남자로서 약속 하나 좀 하나만 지켜줄 수 있나"
피해자,예. 제 동생 목소리 한번만 들려주면 안됩니까? 한번 듣고싶은데
사기범,목소리 한번 늘려주는데
피해자,예
사기범,아저씨한테 먼저 약속을 하라고
피해자,예 약속할게요
사기범,"(삐-) (삐-) 위해서라도 안 그러겠지만은, (삐-) 다쳤다는 얘기 누구한테도 하지 않고 네가"
피해자,예
사기범,"남자 대 남자로서 차분하게, 나한테 아저씨한테 처리를 해달라는 거야"
피해자,예 예 예
사기범,"내가 나도, 나도 니한테 약속 지키고 니 동생 (삐-) 몸에 칼 대지 않겠다"
피해자2,맞지?
피해자,예 예. 알겠습니다
사기범,엄마 바꿔봐
피해자,여보세요
사기범,니 엄마 바꿔보라고
피해자,싫어요
사기범,와
피해자,근데 목소리가 말투가
