Role,Dialogue
피해자,예 여보세요
사기범,예 저 박경호 대린데 기억 나시나요?
피해자,여보세요?
사기범,네 네 제 말 잘 안 들리세요?
피해자,아 네 잘 들려요.
사기범,네 박경호 대리 기억 나시죠?
피해자,아　네
사기범,그 어제 혹시 저희 뭐 마감 전에나 은행에서 따로 전화 받아 보신 거 있으세요?
피해자,아니요.
사기범,없으시고요.
피해자,예
사기범,음 일단은 저희 쪽으로 해서 그 저희 앱 프로그램 있죠?
피해자,아 예예
사기범,삭제시키셨나요?
피해자,아 핸드폰 뭐지 저기 진단 받을 때 초기화 시켰거든요.
사기범,어 뭐 때문에 그러신 거예요?
피해자,아 저 자꾸 막 이게 꺼져 가지고. 좀 오래 되가지고.
사기범,아 그 이거를 그 제가 애초에 설명을 잘 못드렸나? 그 저희 프로그램 같은 경우에는 삭제를 시켜 버리면요 기존에 가지고 있던 신청서들이 다 삭제가 되거든요.
피해자,아
사기범,이거를 지금 저희 일 월 십일일 날짜로 해서 대출 신청서 하나만 작성 좀 해주셔야 될 것 같은데요.
피해자,아 네 네
사기범,네 그 제가 지금 카카오톡으로 그때 저희 케이 캐피탈 홈페이지 링크 하나 더 보내드릴게요. 잠시 만요.
피해자,아 예.
사기범,지금 전화 통화하면서 저랑 같이 대출 신청서 하나 작성 좀 부탁 좀 드릴게요.
피해자,아 예. 제가 지금 버스 안이라서 제가 내려서 다시 전화 드릴게요.
사기범,몇 분 정도 걸리실까요?
피해자,아 이제 금방 내릴거에요. 근데 지금 제가 내리기가 좀 그래서.
사기범,그러면 제가 그러면 전화로 해서요 저 찾는다고 부탁좀 드릴게요.
피해자,네 다시 전화 드릴게요.
사기범,예
