Role,Dialogue
피해자,예 그래서 그냥 제가 연체료가 나와가지고
사기범,예
피해자,지금 두군데 지금 승인 대기 중이거든요.
사기범,예
피해자,예 그래서 그거를 일단은 제가 어제 입금해 드린 거를 다시 받아서 내고 그리고 승인을 내야 될 것 같아서요.
사기범,"어 지금 그 채권 말하는게 그걸 그거는 좀 저희가 안 돼요, 지금 바로는. 네 그 금액이 얼마신데요, 고객님."
피해자,490이요.
사기범,아유 아 그 그런 부분이 있으셨으면은 말씀을 해 주시지 고객님. 일단은 연체 중이신 거는 연체 중이시기 전에 일단은 저희 쪽 그 먼저 일단은 뭐 연체는 없이 진행을 하셔야 되시잖아요?
피해자,그렇죠.
사기범,"아이고 지금 어느 쪽에서 지금 승인 좀 승인 대기 중이라는 거죠, 그러시면?"
피해자,태강하고요
사기범,예
피해자,러시 앤 캐시하고요.
사기범,아 답답하네요. 뭐 승인 자금이 총 얼마에요?
피해자,지금 두 개 합하면은 1200정도 될 것 같아요.
사기범,아 아니시면 잠시만요. 고객님 혹시 지금 그러시면. 잠시만요. 혹시 지금 현금 서비스 안되시나요 그러시면?
피해자,안되죠.
사기범,아 고객님 그 미리 좀 말씀을 좀 해주시지. 그러셨으면 결제일 전에 일단은 그 카드 부분을 먼저 해결을 하고 그 다음에 진행을 하셨어야 되는 게 순서적으로는 맞거든요.
피해자,그래서 제가
사기범,예
피해자,"제가 좀 서둘렀던 이유가, 원래는 처음에 말씀드릴 때 제가 지난주에는 나와야 된다고 말씀 드렸잖아요."
사기범,예 예
피해자,네
사기범,"그럼 뭐 그게 뭐 카드 값 때문이다라고 말씀을 하시면은 일단은 그러시면 당연히 우리 쪽 상환 처리 들어가시기 전에 먼저 그것을 막고 진행을 하셨어야 되는 게 맞거든요,고객님."
피해자,네
사기범,근데 이미 지금 뭐 정보 은행 연합회까지 지금 지금 네 이관 처리가 들어가신 상황에서 이거를 다시 지금 저기를 하실려면 시간이 꽤 걸리세요 고객님. 아 어떻게 잠시 잠깐 융통을 못하시나요 고객님?
피해자,그럴거 같으면 제가 지금 대출을 안하죠.
사기범,"일단은 고객님 뭐 뭐 사오백 쓰실려고 지금 대출 진행하시는 건 아니잖아요, 고객님. 피해자 : 예 그쵸"
사기범,음 그러시니까 일단은 뭐 한 그 카드 값 정도만이라도 잠시 잠깐 뭐 융통을 좀 하셔가지고 좀 일단은 막으신 다음에 진행하시는 게 좋으실 거예요 그러시면. 아니면 이거 전산에 떠버리거든요 고객님. 그래서 연체 예 카드 연체중으로 전산에 떠버리면 저희 쪽 진행되시는 진행되고 있는 요거까지 지금 어 캔슬이되실 수 있으세요 고객님.
피해자,그래서 제가 지금..
사기범,일단은 지금 거고 적용 은행 연합회까지 지금 넘어갔 이관 처리가 되신 상황이 시기 때문에 음 그것을 다시 뭐 빼간다는 거는 시간 절차가 너무 오래 걸려요. 영업일 기준으로 한 삼일 정도 걸리시는데 그러시면은 오늘 수목금 이게 지금 월요일로 넘어갈 수도 있단 말이에요. 백 하는 거를..
피해자,네
사기범,일단은.. 아니시면 이런 부분을 좀 미리 저랑 상의를 하셨으면
피해자,아 저도 잊어 버리고 있거든요.
사기범,그 국민 지금 국민 카드 한장 이용하고 계신 거죠?
피해자,네 네
사기범,그 국민 카드 한장 카드 대금이 지금 사백 구십이 나오신 거예요?
피해자,네
사기범,뭐 카드 한 장에서 뭐 이렇게 많이 쓰셨대? 아니시면 그걸 카드사 혹시 전화하셔가지고
피해자,네
사기범,그것을 분납하는 것도 있어요. 리볼빙이라고 해 가지고
피해자,네 네 알고있어요.
사기범,예 그 리볼빙 처리를 하게 되시면은 아마 그 카드 대납 그 원래 청구되시는 금액에 일단은 십프로만 납부하시고 연체 처리는 안 되고 이렇게 넘어갈 수 있거든요?
피해자,네 네
사기범,그렇게 신청을 일단은 하셔가지고 그 십프로 정도 되시는 거를 먼저 상환 처리하셔서 일단 연체를 뭐 연체 중인 거를 말라 일단은 먼저 푸시고 그러고 진행하시는 게 지금 현재 로서는 가장 좋은 방법이세요. 이런 거를 미리 상의하셨으면 제가 좀 이렇게 안내를 해드렸잖아요 고객님. 그죠?
피해자,아니 지금 그 리볼빙을 지금 신청한다고 해서 십프로만 낼 수 있어요?
사기범,지금 미리 신청을 일단 뭐 신청이라도 지금 해보세요 지금. 아마 되실 거예요 고객님. 그 연체 중인 거보다 낫잖아요. 아싸리 요런 걸 좀 미리 좀 신청 하셨었으면 하여튼 훨씬 좀 좀 저기 하셨을 텐데. 일단은 카드사 먼저 전화하셔 갖구요. 리볼빙 신청을 좀 되냐 이렇게 말씀을 해보세요.
피해자,안된다고 그러면요?
사기범,안된다고 하시면은 고객님 그 카드 대금 정도를 고객님 뭐 잠시 잠깐이라도 고객님 융통을 하셔서 일단은 좀 막으셔야 되세요. 아니면 모든 절차가 지금 다 지금
피해자,근데 어제 그..
사기범,꼬입니다 고객님.
피해자,예 어제 입금해드린게 개인 통장이잖아요.
사기범,예 그렇죠. 담당자.
피해자,왜 근데 그게 왜 개인 통장으로 들어가는 거예요?
사기범,"이게 고객님 그 여신　금융 협회라는 것은 이게 고객님이 일반 고객님들에게 입금받을 일이 없어요. 비영리 단체잖아요 고객님. 관리감독을 하는 없고 뭐 이렇게 단체지, 어떤 뭐 고객님들한테 또 금융 기관이 아니란 말이에요 고객님."
피해자,예
사기범,"예 근데 이것을 어 이관 처리를 해서 우리가 만기 상환 처리된 걸로 전산에 반영을 할려면은 고객님 명의의 계좌로 어 바로 이제 그 저 쪽으로 들어가면 안 될 거 아니에요 고객님. 해당 금융사로, 그렇죠?"
피해자,예
사기범,그렇기 때문에 그래서 일단은 그 담당하시는 주무관님들이 그 이관 처리하실 때 그 하시는 절차가 되게 복잡해요 고객님. 그리고 그거는 이제 아무나 할 수 있는 업무가 아니기 때문에 그 담당자들이 배정이 되셔갖고 그 담당자에 처리를 해줘야 되는 부분이 있거든요 그러다 보니까는 이제 그렇게 지금 담당자가 배정이 되셔 갖고 진행이 되셔야 된다라고 아마 여신 금융 협회쪽에도 아마 통화하실 때만 내용은 아마 들으셨을 거예요 고객님.
피해자,아니요 그런 말씀 안 하시던데.
사기범,음 그쪽에서 보통 그렇게 말씀을 하세요. 담당자 배정이 되실 텐데 괜찮으시겠냐. 이런 식으로 말씀을 하시거든요. 고객님.
피해자,아
사기범,음 그래서 담당자 배정이 되셔갖고 그 담당자께서 이것을 이관 처리를 해 주신 단 말이에요 전국 은행 연합회 쪽으로. 그 다음에 이제 나머지는 이제 전국 은행 연합회 쪽에서 어 상환을 해주시든 뭐 그렇게 하시는 건데. 예 그거는 이제 절차상 그렇게 될 수밖에 없어요 만기 상환 처리 만기 상환 처리되는 걸로 반영을 안 할 거면 일단 상관이 없어요. 고객님 근데 만기 상환 처리된 걸로 우리가 전산에 반영을 하게 할려면은 고객님께서 뭐 일시금으로 어 입금 처리하신 내역이 나오시면 안 되잖아요 고객님. 금융 감독 기관이라든지 금융사 쪽에다가. 그죠?
피해자,예
사기범,그렇게 하면 이게 어 일시금이 뭐 일시금으로 들어갔다라는 그런 근거가 나와버리게 되니까 그래서 그런 거예요 고객님. 만기 상환 처리할게 아니면은 상관이 없어요. 당연히 뭐 가상 계좌라든지 이런 걸로 발급 받아서 진행을 하시면 되시는데 이거는 뭐 만기 상환 처리된 걸로 전산에 반영을 할 거기 때문에 고객님. 고객님 그 금융 기관 쪽이라 든지 공공 기관 쪽으로 고객님이 그 해당 금액에 해당 금액이랑 일치하는 금액이 한번에 일시 상환 처리 되시는 뭐 그정도의 금액이 한꺼번에 들어가신다 하시면은 나중에 문제 생길수도 있어서 그런거에요.
피해자,그러면은 그 OK 캐피탈에는 언제 들어가는 거예요?
사기범,일단은 나머지 그 지금 보안 처리가 원격하게 되시면 그때 상환 처리가 들어가실 거라고 제가 말씀 드렸잖아요 고객님.
피해자,지금 만약에 카드가 지금 안 되면 어떡하죠?
사기범,그러니까 일단은 시간 더 지체되시기 전에 일단은 국민 카드 쪽으로 전화하셔가지고 고것도 리볼빙으로 좀 저희가 대찰을 해서 십프로만 그러면어 먼저 뭐 분납을 하겠다 뭐 이런 이렇게 좀 안 되면 뭐 이런 식으로 일단은 여쭤보세요 고객님. 그러시고 만약 그게 안 된다라고 하시면은 그 카드 대금 사백 구십을 고객님 다 한꺼번에 지금 고객님 융통을 하셔서 일단은 매 꾸셔야 되세요 지금. 요런 것들 미리 말씀해 주셨으면은 오케이캐피탈 것을 받기 전에 일단은 그거 먼저 막으라고 했겠죠 제가. 일단 뭐 이런 말씀을 지금 말씀해 주시면 어떡해요 고객님.
피해자,잠깐 잊어 버리고 있어서.
사기범,예 그러니까. 아유
피해자,그 지난주까지만 해도 그냥 대출 나오면 갚고 이렇게 하면 되겠다라고 생각을 했던 거라 그것만 신경써서..
사기범,예 일단은 그 저는 카드사 쪽 먼저 전화하셔가지구요.
피해자,네
사기범,"요거를 예 지금 이번에 제가 한꺼번에 요거 지금 사백 구십 일단 한번 한꺼번에 좀 납부하게 좀 힘들 거 같으니까. 무었을. 리볼빙, 리볼빙 저기를 좀 하겠다라고 말씀을 하시고. 좀 그렇게 좀 처리를 해달라고 말씀을 하세요. 그럼 카드사에서도 모른 척 하진 않을 거예요. 고객님."
피해자,예 그럼 일단 카드사에 전화해보고
사기범,"그쪽 그 현금 서비스 한도는 어느 정도 되세요, 고객님."
피해자,그 국민 카드 한도요?
사기범,현금 서비스 한도.
피해자,"현금 서비스, 그거는 안 되는 거거든요."
사기범,현금 서비스는 안되신다고요?
피해자,네 네
사기범,예 현금 서비스는 이용 안 하셨죠?
피해자,예
사기범,"예 그러시면 아마 그 카드 그냥 일시불이랑, 할부금"
피해자,할부도 안 되는 카드에요.
사기범,일시불만 되는 카드에요?
피해자,네 네
사기범,그런 카드가 있어요?
피해자,네
사기범,일단 전화해서 먼저 리볼빙 신청 먼저 해 보시고요 고객님.
피해자,예
사기범,응 그게 안 된다라고 하면은 그거는 그 카드 대금은 한 사백 구십 정도 일단은 고객님 융통을 하셔서 일단 막고 진행하셔야 되세요.
피해자,예. 어제 그거 입금해 드린 거. 일단은 지금 급한 불 일단은 먼저 끄고. 응 그리고 대출 받아서 다시 보내 드리면 어떨까요? 제가
사기범,그거를 일단은 저희 쪽 진행하시기 전에 진행하시기 전에 그런 상황이셨다라고 하시면은 저희가 당연히 예 채권 발행 대입해서 먼저 들어가자는 거보다는 그거를 먼저 막으라고 저도 먼저 말씀을 드렸을 거예요. 근데 이거 지금 오늘 벌써 수요일 이란 말이에요. 그럼 어제 월요일 정도에 시간있으셨을 텐데 그때는 고객님 알고 계셨을 거 아닙니까. 미리 말씀을 해주셨으면 제가 그렇게 처리를 하라고 좀 말씀을 드렸죠. 제가. 네 일단은 빨리 그냥 국민 카드에 좀 전화를 좀 해보세요 고객님. 리볼빙 신청을 좀 하고 싶은데 좀 빨리 좀 리볼빙 신청서 좀 좀 도와달라고 하세요. 고객님.
피해자,예 그러면 통화해 보고 전화 드릴게요
사기범,예 예 고객님
피해자,네
