Role,Dialogue
피해자,여보세요
사기범,예 안녕하세요 OOO고객님. 담당자 박효신대리 입니다.
피해자,네네.
사기범,아 네 고객님 점심 식사는 맛있게 드시러 가시나요?
피해자,가야죠.
사기범,아 이제 가시려고요. 고객님 지금 승인 처리 떨어 지셨고요. 제가 지금 처리 부분 도움 드릴 건데요. 고객님 메모 좀 가능하세요? 네 바로 불러드릴게요. 잠시 만요. 영어 엔 숫자 아니 엔 다시 사 공 오 오 번이십니다
피해자,사 공 오 오
피해자,"네 엔 다시 사 공 오 오 번이시구요. 어, 고객 만족 센터에서 전화가 가실 건데요. 선생님 마찬가지로 진행를 처리해주셔야 되시는데, 접수 번호 물어 보시면 엔 다시 사 공 오 오 불러 주시구요. 고객님께서 직접 접수해 주신 거라고 해주셔야 되십니다. 네 그 다음에 이제 물어 보실 거세요. 마찬가지로 고객님 뭐 진행이 뭐 두번 해보셔서 잘 아시겠지만 한번만 더 설명 드릴게요. 어, 왜 그 상환 처리하시냐고 물어 보면은 현금이 융통이 되어서 필요"
피해자,몇 번이요?
사기범,네 완납 내역서는 공 이 일 팔 삼 삼 에 오 오 이 이 번이십니다.
피해자,일 팔 삼 삼
사기범,오 오 둘 둘 번이요.
피해자,네
사기범,네 잠시만요 고객님. 여보세요.
피해자,네
사기범,고객님 대기 나서 바로 그 다음 고객님 다음이시네요. 한번 남으셨어요. 아마 오 분 안 쪽으로 전화 가실 거 같으시니까요. 전화 받고 안내 따라 진행 한번 해주시고 저한테 전화 한번 부탁 드릴게요. 네 감사합니다.
