Role,Dialogue
사기범,우리 금융이고요.
피해자,여보세요.
사기범,"필요하신 자금 있으신가, 대출 필요한 게 있으신가, 해서 연락 드렸어요, 고객님. 필요 하신 자금 있으세요, 고객님?"
피해자,어디신데요?
사기범,예 안녕히 계세요. 아 대출 안 필요하세요 고객님?
피해자,어디신지 물어보잖아요
사기범,"그니까 필요하신 자금이 있으신가 해서 여쭤보는 거예요, 고객님. 제가."
피해자,네 있어요.
사기범,"어 그러면 안내 좀 해드릴게요, 고객님."
피해자,어디 인데요 거기 가요?
사기범,"여기는 우리 금융, 캐피탈 쪽이고요, 예 예."
피해자,아 캐피탈이에요?
사기범,예 예 그 그 새마을 금고 같은 이 금융권입니다 고객님.
피해자,아 이 금융권 ... 예.
사기범,"예 지금 신용상에는 이상 없으시죠, 고객님."
피해자,그렇죠.
사기범,"아 예 직장인이세요? 하시는 일이 있을 거 아니에요, 고객님."
피해자,예 그냥 사무직으로 근무하고 있어요.
사기범,아 그럼 직장인이신데. 고객님 직장 근무하신 지 얼마나 되셨구요?
피해자,여기 한 육년 됐죠?
사기범,어 예 그럼 고객님 뭐 사대 보험도 다 적용되시겠네요?
피해자,네 다 되죠.
사기범,"어 급여도 다 통장으로 받으시고요, 고객님?"
피해자,그럼요.
사기범,"네 금융권에 대출은 몇 건이나 쓰고 계세요, 고객님. 다른 쪽에."
피해자,다른 쪽에?
사기범,예 대충.
피해자,"예, 세건 있는거 같아요."
사기범,"아 예 가능하세요, 고객님. 그러면 고객님 연봉은 한 달에 월급은 얼마씩 들어오십니까, 고객님."
피해자,지금 한 삼백오십 정도 들어오죠.
사기범,"예 예 몇 년생이시고요, 고객님."
피해자,OO년생이요.
사기범,예 가능하세요. 저는 이연수인데 성함이 어떻게 되세요?
피해자,OOO요.
사기범,"아 지금 얼마, 많은 자금 필요하신 거예요? 얼마가 필요하신데요, 고객님?"
피해자,일단 뭐 한 이천 정도 있으면 좋겠네요.
사기범,아 그러세요 고객님. 카드 사용하시구요?
피해자,예 예.
사기범,예 차도 뭐 본인 명의 차가 있으세요?
피해자,"아니요, 없어요."
사기범,"아 집도 자가 아니시고요, 고객님?"
피해자,네
사기범,"카드만 이용하시는데 최근에 신용 대출 받으려고 서류 넣으신 적 있으세요, 고객님? 아 최근에 따른 쪽에 이제 신용 대출 쪽으로 진행을 한번 하신 적이 있으시냐고."
피해자,아 그런 적 많이 해봤죠.
사기범,요근래에 고객님?
피해자,네
사기범,"어 그럼 카드는 어떤 카드 이용하시는데요, 고객님."
피해자,무슨 어떤 카드를요?
사기범,신용 카드 고객님.
피해자,삼성카드요.
사기범,삼성 카드 한 장 만 이용하시고 다른 카드는 이용 안하시고요?
피해자,"없어요, 예."
사기범,"예, 언제 마지막으로 해 보셨어요, 고객님. 뭐 대출 진행한다고 다른 쪽에."
피해자,어제요.
사기범,"아 그러면 고객님 조회 기록 때문에 신용 쪽은 안 되고 카드 쪽만 가능하세요, 고객님. 조회 기록 때문에."
피해자,카드 쪽만 된다는 게 무슨 얘기죠?
사기범,그니까 카드 대출만 가능하시다고요. 조회가 안 들어가니까.
피해자,카드론 받으라는 얘기에요?
사기범,"아니요, 카드 한도 내에서 나가는 대출인데 고객님 결제라든가 생활 자금으로 가능하신데 지금 이제 고객님 삼성카드만 이용하신다고 하셨잖아요."
피해자,네 네.
사기범,"그렇기 때문에 삼성카드는 또 저희하고 제휴가 안 되있기 때문에 그건 안 되네요. 다른 카드 있으시면 가능하세요. 당일로. 결제되는 거, 생활 자금으로 해서 카드론을 쓰고 계셔도"
피해자,예 알았어요.
사기범,네 안녕히 계세요.
