Role,Dialogue
사기범,네 감사합니다. 무었을 도와드릴까요?
피해자,여보세요
사기범,예
피해자,그 저 오전에 상환 입금한 OOO
사기범,네
피해자,그 혹시 어디시죠?
사기범,잠시 만요. 성함이 어떻게 되신다고요?
피해자,OOO
사기범,담당자 분 성함이 어떻게 되세요?
피해자,강승규 씨라고 하던데
사기범,잠시 만요. 어떤 부분 때문에 그러기는 거세요?
피해자,아니 입금했는데 거기 A1캐피탈 아닌가요?
사기범,네 맞으세요.
피해자,근데 입금을 했는데 제가
사기범,네
피해자,"그 상환, 일부 상환을 했거든요. 그 확인 좀 해주세요."
사기범,아 상환 처리가 되셨는지 확인하고 싶다는 거세요?
피해자,네 네
사기범,네 잠시 만요. 어 고객님 성함이 어떻게 되신다고요?
피해자,OOO
사기범,예 아 생년월일 앞에 여섯 자리 확인 부탁 드릴게요.
피해자,OOOOOO
사기범,네 잠시만요. 어 상환 처리 확인되신 거 되시는데 그 상환 금액이 있어서 전액 상환을 해주신 게 아니시네요.
피해자,예 제가 백 팔십을 입금했거든요.
사기범,네 백팔십 만원 상환 받아 보신 거 확인되시구요. 남아 있으신 잔금 부분에 있어서는 내일로 이관 처리되신 게 확인 됬습니다.
피해자,난 또 입금을 했는데. 강승규 씨 이름 앞으로 입금하라 그러더라고요.
사기범,네
피해자,그게 맞나요?
사기범,어 고객님 그 강승규 담당자를 받아 보신 거 같으시고요. 어 지금 강승규 담당자 상담 중 이신데
피해자,강승규.
사기범,"네 잠시 만요. 네 맞으세요. 그니까 그 상담 중이신데요. 그 상담 끝나시는 대로 전화 받을 수 있도록 조치해 드리겠고요. 그리고 처리 부분에 있어서는 그 입금하신 거 정상 처리 되시구요. 그 다음에 남아 있으신 금액 부분은. 잠시 만요. 어, 그 부분으로는 이제 고객님 이체 처리가 불편하시다고 하셔가지고 그 내일로 이관 처리되신 걸로 확인이 되십니다. 그래서 내일 상환 처리하시면 정상 처리되실 거고 그 다음에 그 전산 기록 삭제 요청하신 부분도 내일 부분으로 처리되실 걸로 확인이"
피해자,거기 에이원 캐피탈 맞죠.
사기범,네 맞으세요
피해자,아 난 또 뭐 보이스 피싱 당했나 해서.
사기범,아 그러신 거구요. 근데 고객님 그 저희 쪽에 직접 고객님께서 접수해 주신 걸로 확인이 되시는데 그렇게 보이스 피싱을 당하셨다는 말씀은 뭐 따로 어떤 분에게 안내를 받아 주셔서 진행을 하고 계신다는 말씀 이세요?
피해자,아니 좀 전에 전화가 왔는데 에이원 캐피탈에서 전화가 왔다고
사기범,네
피해자,요즘 보이스 피싱 많다고 조심하라고 그러면서.
사기범,아 그러셨어요?
피해자,계인 계좌로 절대 입금하지 말라고 그러더라고요.
사기범,"네 그러시죠. 당연히 고객님 개인 입금으로 이체 처리 하시면은 당연히 안되시는 거구요. 이체 처리 같은 경우에는 이제 대부 캐피탈이라고 확인 처리가 되시거나 아니면 고객님께서 따로 고객님 같은 경우는 조금 특별한 케이스세요. 고객님께서 인터넷에서 대출 계약 취소 철회 요청을 해주셨는데 인터넷 대출 취소 철회 같은 경우 담당자분이 배정이 되셔야 되시면 괜찮습니다. 고객님은 이 계좌로 고객님께서 특별히 따로 요청을 해주신 걸로 확인이 되시는데요. 이거 체크박스에 다 고객님 동의 해 주신 걸로 나오시는데 직접 해주신 게 아니, 접수를 직접 하신 게 아니세요?"
피해자,"아니 취소 처리는 했는데,"
사기범,"네 아니, 그러시니까 접수를 고객님께서 직접 접수해 주신 거 아니시냐고요."
피해자,아 제가 했죠.
사기범,네 맞으시죠. 아 그러시면 은 당연히 저희 쪽에서 사 상환 처리되신 거는 당연히 확인되실 거죠.
피해자,아 근데 제가 입금을 당시에 개인 계좌로 입금을 했거든요.
사기범,아 개인 계좌 부분 아니 시구요. 고객님 그 받아 보실 수 있는 담당자 가상 계좌신 거세요. 그리고 고객님 처리 부분에 있어서는 정상적으로 처리되셨으니까 너무 염려하지 않으셔도 되실 거 같으세요.
피해자,아 그런가요?
사기범,네 그래서 그 고객님 확인되시는 바로는 전산 기록 삭제 같은 경우에는 이제 내일 정상적으로 처리되시니 까요. 그 내일에 내일 되시면 은 전부 다 확인 처리 가능하실 거세요.
피해자,네 알겠습니다. 일단 저한테 한번 전화 연락 좀 달라고 하세요.
사기범,네 알겠습니다.
피해자,네.
