Role,Dialogue
사기범,그거를 이제 그쪽 카드 통합 그 채권 관리부서쪽
피해자,네
사기범,제가 연람할 수 있게끔 어제 사장님 전화해 주셔가지고 동의하신 부분 땜에
피해자,네네
사기범,전산 확인 받아 가지고 왔고요. 제가 거기 다시 한번 공문 요청한 부분 전산 확인해가지고요.
피해자,네
사기범,연람한 다음에 사장한테 알려드리면은 음 사장님 납부 처리만 하시면은 그 기업 납부 증명서 납부 처리하신데요.
피해자,네
사기범,제가 받아서 사장님한테 그 등기 우편으로 보내드리고 대출 진행해드리면 되는 거죠.
피해자,아 제가 입금을 그쪽에다 은행에 바로 넣으면.. 넣어야 하는 거잖아요 은행에.
사기범,그렇죠. 제가 대신 해드리는게 아니고.
피해자,신한 은행하고 국민 은행하고 카드에..
사기범,아 각각 하시는 건 아니고요.
피해자,네
사기범,음 지금 어차피 양쪽으로 원래 나눠져 가지 두군데로 번거롭게
피해자,네
사기범,"연락, 통화나 납부 처리하셔야 되잖아요."
피해자,네네
사기범,네 그렇게 처리 안 하고 이제 카드사 통틀어 가지고 뭐 케이비든 삼성이든 현대든 통틀어서 그 채권 관리하는 부서 쪽에 어제
피해자,네네
사기범,제가 공문 띄어서 이제 사장님 전화 통화하시게끔 해드린 거였고
피해자,네
사기범,그쪽에 어차피 제가 전산 연람해가지고 이쪽으로 납부를 한번만 하시면 되게끔 처리 되셔서 번거로운 건 없으세요.
피해자,그래요
사기범,그냥 금액이 한번에 납부 처리하시면 되고 따로따로 일반 상환 처리 안하셔도 되게끔 해드린 거구요
피해자,네
사기범,일반 상환 처리하시게 되면은 사장님 그 부채 상환한 내역이 있죠?
피해자,네
사기범,"기록 자체가 저희 쪽에 당일날 전산 입력을 잘 못해드려서 삼개월, 6개월 있다가 대출 진행이 가능하세요. 근데 그렇게 하시겠금 안되기 위해서 해드린거죠. 어제부터 오늘까지 제가."
피해자,"음 근데 바로 저는 바로 은행에 넣었으면 싶은데, 뭐 대리 이렇게 넣는거 보다는."
사기범,예 은행에 바로
피해자,네 네
사기범,"어차피 거기 채권 관리 부서, 회계담당 다 그쪽 계좌를 제가 연람해 가지고 안내해 드리는 거고요."
피해자,네
사기범,그쪽에 납부 처리하시게 되면은 제가 어차피 사장님이랑 그 카드사 두군데 중간에 껴서
피해자,네
사기범,업무 처리 대신 지원해 드리는 거기 땜에
피해자,네
사기범,바로 납부 상환 증명서라고 그러면 발급 받을 수가 있구요.
피해자,네.. 근데 좀만 뭐 이렇게 하기가 좀 내가 잘 몰라 가지고.
사기범,네 네 아니 제가 어쨌든 어제부터 사장님 원래 안 되시는 거를 진행하게끔 좀 도움을 드린 거구요.
피해자,네
사기범,지금은 죄송한 얘긴데 사장님이 소위 말하는 사금융 쪽이나 아니시면은 뭐 뭐 일반 2.50 정도 그쪽에서 자금이 나오실지 안 나오실지 모르시거든요.
피해자,네
사기범,"어쨌든 자금을 받으셔야 되고 저금리로, 저도 어쨌든 자금을 받아야, 저도 영업하는 입장 이니까."
피해자,예
사기범,예 최대한 도움 드릴려고 저희 쪽 외삼촌으로까지 해서 지인 설정 해서 올려드린 거라.
피해자,네
사기범,"음 그래서 도움 드리는 것지 아니시면은 이렇게까지 안내 안해 드리고요, 바로 부결 처리 하고 말았죠 저도."
피해자,네. 저도 생각을 해봐야 할 것 같은데 이거. 돈을 넣어야 할지 아니면 바로 은행을.. 대출을 내야 할지.
사기범,대출을요? 어느쪽에..
피해자,제가 이렇게 먼저 국민 카드에 먼저 갚고 신한 카드 갚고 그 다음에 대출을 진행 해야 하지 싶지
사기범,그러면 그렇게 하셔도 되는데요.
피해자,네
사기범,그렇게 하시고 나서 삼개월 있다가 저한테 연락 주시거나 넉넉 잡고 한 육개월? 연락 주시면 그때 대출 가능은 하세요
피해자,아 그래요? 그럼 알아보고 다시 연락을 드릴게요.
사기범,아 예 알겠습니다
피해자,네네.
