Role,Dialogue
사기범,"예예, 좀 늦게 내려와가지고 좀 늦었어요, 고객님. 혹시 메모 가능하실까요? 고객님?"
피해자,네.
사기범,"예, 메모좀 해주세요. 전산이관요청."
피해자,네.
사기범,"네, 적으셨나요?"
피해자,네.
사기범,"예, 그다음 기업부납부증명서 요청."
피해자,네.
사기범,"네, 요 두가지를 해주셔야 되요, 고객님. OOO고객님, 납부를 그쪽에다 다하시면은 납부증명서가 발급 되거든요."
피해자,제가 납부를 그쪽에요?
사기범,"납부를 해주셔야 되요, 이게 이제 콜센터로 전화하는게 아니라 이제 제가 채권회수팀으로 제가 그 이제 요청을 해놨어요. 그 채권을 회수좀 해달라."
피해자,네.
사기범,"예, 고객님 전화번호가 02-"
피해자,네.
사기범,6713
피해자,네.
사기범,0311
피해자,0311요? 네.
사기범,"네네, bnk 먼저 그쪽 그 납부 다하실건데요, 고객님."
피해자,네.
사기범,"그 납부하실 때, 그 전산이관요청을 좀 꼭 좀 해달라고 저도 이제 보내놨거든요."
피해자,네.
사기범,"네, 고객님 아시는 지인이다 bnk 그쪽 그 다 상환하시고 내가 이번에 여쪽에 늦게 알아가지고 친인척 관곈데, 늦게 알아가지고 그쪽에 대출을 잘못받은거 같다. 우리쪽에서 해줄려고 하는데 뭐 이렇게 근데 그쪽에서 대출을 저희쪽에서 대출한다고 얘기안하구요, 등급관리를 좀 한다음에 이렇게 이제 제가 관리를 해드린다고 했거든요."
피해자,네.
사기범,고객 관리를 저희쪽에서 해준다고 하면 고객을 뺏기는거라 상환을 안받아줘요.
피해자,아…
사기범,"저희쪽 우회적인 방법으로는 꼭 이 전산이관을 받아야 하는데,"
피해자,네.
사기범,전산이관을 안해주면은
피해자,네네네.
사기범,아무 말짱 소용이 없는 이 지금 하시는 방법이 되는거거든요.
피해자,네.
사기범,"채권1팀에서 좀 뭐하고 허더라도, 고객님. 전화를 하시면"
피해자,네
사기범,"뭐, 그 쪽에서 대출을 받으려고 하냐고 물어보면 절대로 안된다고 그렇게만 말씀 해주시고요."
피해자,네.
사기범,그쪽 담당자 배정되~면은 이제 바로 납부하실 수 있게끔
피해자,네.
사기범,"해줄거에요. 그러면 납부 다하셨다고 이제 전화 한번 더 주시고, 전산이관요청하고 빨리좀 해달라고 오늘 내일이 금요일이잖아요, 고객님."
피해자,네.
사기범,"오늘해서 자금 오늘 다 받으시는게 좋으실거 같애요, 고객님."
피해자,"저기 잠시만요, 제가 정리해 볼게요. 그럼 먼저, bnk에 전화해 가지고 먼저 전산이관요청 한 다음에 그게 되면 돈을 집어넣으면 되는거에요?"
사기범,네네. 그러니깐 안해줄 수도 있어요. 요즘 요렇게 우회적인 방법을 많이 하기 때문에
피해자,네.
사기범,연초고 그 구정전이기 때문에 뭐 아시는 지인들이나 뭐 요렇게 대출 많이 받아가거든요
피해자,이렇게요? 아
사기범,"제가 일단 금액은요, 금액이 27,743,377원이잖아요, 고객님."
피해자,네.
사기범,뒷자리 다 빼고 2770만원만 저희쪽 납부이자 있잖아요. 그 43000원은 이자는 저희쪽에서 이렇게 내주기로 했거든요.
피해자,"네, 아"
사기범,이렇게 해줘야 그쪽에서도 긍정적으로 생각을 하거든요.
피해자,네.
사기범,네 그래가지고 그게 그쪽 그쪽에서 저희쪽으로 청구할 거에요. 고객님 납부하시면
피해자,얼마?
사기범,2770만원만
피해자,네에.
사기범,"에, 납부해주시면 되요. 그쪽에는 알려드릴거에요. 고객님."
피해자,네. 확인했다고 하면요.
사기범,"예, 알겠습니다."
피해자,하고 전화드리면 되죠?
사기범,"네, 하구요. 그쪽에다가 뭐 납부까지 다하신 다음에 저한테 전화주시면 될 거 같아요."
피해자,"에, 알겠습니다."
사기범,해결하시구요.
피해자,"예, 감사합니다."
사기범,예
피해자,네
사기범,네
