Role,Dialogue
사기범,"죄송합니다. 지금 대출건땜에 다른분꺼 잠깐 그 안내좀 해드리라, 안내좀 하니라고요."
피해자,네.
사기범,고객님. 당일 만기상환제도 지금 바로 안내해 드릴게요.
피해자,네.
사기범,고객님께서 지금 일억 칠천이라는 대출금이 있기 때문에 고객님이 지금 보셨을 때 지금 이자 원금만 납부하시잖아요.
피해자,네.
사기범,근데 저희 쪽 전산에는 고객님께서 이자 원금만 납부하시는 거는 아무 의미가 없는 거예요. 지금 대책을 초과가 되셨기 때문에…
피해자,네.
사기범,고객님께서 그 전에 기존에 대출을 받으셨다가 완납하신 거는 저희 전산에는 6개월도 채 안 남아 있으세요.
피해자,네.
사기범,그렇기 때문에 고객님께서 지금 중간에 지금 만약에 비 엔케이 캐피탈 이천 칠백만 원 받으신 거라 롯데 캐피탈에서 지금 사천만원 대출 받으신 거
피해자,네.
사기범,이거 지금 완납을 못 해주시잖아요. 둘중에 하나를 완납을 해주셔야 저희 쪽에서 대출이 발생이 될 거 같으세요.
피해자,그래요?
사기범,"예, 근데 지금 그 부분이 어려우시잖아요."
피해자,네에.
사기범,그게 어렵기 때문에 저희가 당일 만기상환제도라는 거를 말씀을 드리는 거예요. 당일 만기상환 제도가 무었이냐면요.
피해자,예.
사기범,"그냥 간단하게, 고객님께서 비엠케이 캐피탈에서 대출 이천 칠백만 원 받으신 거 같이"
피해자,네.
사기범,쉽게 말씀 드리면 하나 카드에서 카드론으로 해서 백만원이 됐든 이 백만원 삼백만 원 대출을 오늘 받으시는 거예요. 당사에.
피해자,예.
사기범,그러면 고객님께서 대출 받으신 거를 고객님께서 오늘 저녁 아니면 내일 오전에 하나 카드에 직접 전화하셔서 백만원이든 이백만원이든 삼백만 원이든 대출금을 고객님께서 직접 갚으시는 거예요.
피해자,네.
사기범,"그냥 저희는 일 금융권이고 하나카드는 이 금융권이기 땜에 저희가 하나카드에 고객님한테 이 기업 납부 증명서를 요청을 할 거예요. 고객님 하루만에 대출을 갚은 거지만 저희는 하나 카드한테 삼십육개월 동안 고객님 이자 원금 잘 납부한 것처럼 공문을 요청을 해서,"
피해자,네.
사기범,그 공문이 첨부가 되면 제가 고객님한테 팔천만 원에 이 점 사오 프로 조건부 가승인이 나신 거 승인으로 제가 바꿔드린다는 말씀이세요.
피해자,"아, 근데 저는 그 카드론처럼 되가지고 내려가는 거 아닌가요?"
사기범,아니죠. 아니죠. 왜그냐면 고객님께서 오늘 받으셨다 갚으셨잖아요.
피해자,예.
사기범,그럼 등급이 상향되시는 거예요. 그리고 또 저희 쪽에서도 등급을 더 상향을 시켜드리고. 피해자 : 응.
사기범,왜그냐면 고객님께서 납부를 해주시는 게 지금 하나도 없는데 그냥 고객님 전산을 임의대로 만질수가 없거든요. 고객님.
피해자,"아, 그러니까 만약 내가 하나만 갚으면은 팔천원이 나온다는 거죠."
사기범,예 그러시죠. 고객님.
피해자,그럼 오늘 하나 갚으면 나오는건가요? 확실한건가요?
사기범,예 그러시죠. 고객님. 근데 비엔케이 캐피탈 만약에 고객님께서 이천 칠백만 원 갚으신 다 가정을 하시면 고객님께서 고객님 임의대로 비엔케이 캐피탈 콜센터에 전화를 하시면 저희가 필요한 공문을 요청을 못 받아요.
피해자,"아, 예."
사기범,그니까 저희가 먼저 비엔케이 캐피탈에 공문 요청을 할 거예요.
피해자,예.
사기범,고객님께서 이런 식으로 해서 상환을 해주실 거니까 비엔케이 캐피탈 측에서는 우리한테 이런 공문을 줘라.
피해자,네.
사기범,저희는 그 공문을 요청을 한 다음에 고객님한테 납부를 해 주시라고 고객님한테 요청을 드릴까요?
피해자,그래요? 네.
사기범,그 비엔케이 캐피탈 어떻게 정리를 하시겠어요?
피해자,네. 팔천만원이 확실하게 나온다고 한건가요?
사기범,아니 그거는 걱정 안하셔 갖고 하면 비 엔케이 타 비엔케이 캐피탈 남아 계신게 오천 칠백 육만 천원 남아 있으신 거 같으세요.
피해자,예.
사기범,"그러면 6만천원 같은 경우는 다음 달 이자 빠져나가는 거 미리 선납으로 뺀다 하고 이천 칠백만 원만 완납 처리하시면 되는 것처럼 제 공문 요청을 해놓을까요, 고객님?"
피해자,예. 어떻게 해야 되나?
사기범,아 그러시면 일단 김재성 대리님한테 제가 공문다 내려놓쿠요. 재상 대리님하고 다시 통화 한번 하신 다음에 김재상 대리마다 전화 드리라고 말씀을 드려놓을게요. 고객님.
피해자,예 알겠습니다.
사기범,네 알겠습니다. 고객님. 네.
