Role,Dialogue
피해자,여보세요
사기범,네 네
피해자,"제가 입금 하려 했는데 아까, 계좌 오류 나가지고.."
사기범,오류요?
피해자,네
사기범,잠시만요... 제가.. 에... 잠시만요... 오류가 나온다고요? 이게 금융 감독원에서 발급 요청을 해서 고객님께서 에스크로 계좌 발급 신청이 된 거잖아요?
피해자,네 네 네
사기범,"예 그렇기 때문에 문제 건를 저희 쪽에서 확인할 수 없는데, 잠시만요... 제가 그러면요,"
피해자,네
사기범,일단은 그 고객님 그 납부하시게 되시는데 납부 시간이 너무 지연이 되셨어요. 에스크로 계좌 같은 경우는 납부를 하시겠다고 했는데 그 지연 시간이 너무 오래 걸리시면은 이게 그 다시 그 회수 처리가 되거든요. 아마 지금 현재 시간이 너무 오래 됐기 때문에 입금이 안 되실 거예요.
피해자,아 네.
사기범,그죠. 입금이 안 되시는 거죠. 오류 나오는 거잖아요.
피해자,예
사기범,"예 그래서 제가 이거 다시 한번 발급 요청을 해야 돼요. 그래서 일단은 그 직장 근무를 하셔야 되기 때문에 일단 복귀하세요. 복귀 하시고 제가 산와 대부, 산와머니 쪽에.."
피해자,예
사기범,제가 통화를 해서 다시 한번 해서 에스크로 계좌 발급 요청을 할께요. 그런데 이게 발급되는 요청이 저희가 발급하시더라고 해서 바로 나오는 게 아니거든요.
피해자,네
사기범,"네 에스크로 계좌 같은 경우는 금융 감독원에서 안전하게 진행을 해드리기 위해서 이제 고객님께서 만일에 저희 쪽에서 어 상대 쪽에 이제 산와머니 쪽에 납부를 중도 상환 없이 다 했는데도 불구하고 저희 쪽에서 만일에 대출 부결 날, 부결 났을 때 다시 환급 받을 수 있는 계좌를 발급 받는 거에요. 그렇기 때문에 지금 시간이 오래 지연 됐잖아요?"
피해자,네.
사기범,그래서 제가 산와머니 쪽에서도 통화를 해서 에스크로 계좌 재발급 새로 발급해드리고 나서 전화 드리겠습니다.
피해자,어 근데 제가 일하고 있어서 통화가 어려울 수도 있거든요?
사기범,그러세요?
피해자,네
사기범,"그러면, 그러면요, 이렇게 하시죠."
피해자,어떻게요?
사기범,오늘 지금 시간이 네시 이십분이시잖아요.
피해자,네
사기범,그래서 시간이 좀 여섯시 면은 저희 금융권 업무 마감 시간이기 때문에 예 오늘 납부를 하시고 난다 하셨더라도 내일 내일로 해서 송금 처리가 받으실 수가 있거든요? 시간이 너무 촉박하니까. 그래서 내일 오전 중으로 처리하시는 게 어떠실까요? 편하신 시간대에.
피해자,그게 더 괜찮은거 같아요.
사기범,그렇죠. 네 알겠습니다. 그러면 내일 오전 몇시 정도로 해서 진행을 해드릴까요?
피해자,"그럼 12시.. 아 아니다, 오후 한시, 두시정도 그때가.."
사기범,오후 한시 두시?
피해자,오전에 하는 일이 있어 가지고.
사기범,네 오후 한시에서 두시 사이로 해서 진행을 해드릴게요. 네 알겠습니다. 그럼 오늘은 그 근무하시구요. 네 괜찮죠? 내일 저희 대출금 수령할 수 있게끔 처리될 건데 괜찮죠?
피해자,네 내일 해도 상관 없어요.
사기범,네 알겠습니다 고객님
피해자,네
사기범,네
