Role,Dialogue
사기범,주시면은 이거 이백만원은 저희가 다시 고객님한테 반납금으로 해서 오 분 안으로 대출금 나감과 동시에 오분안으로 저희가 반납 처리해 주겠다는 거에요 바로 음 예 이해되시는 거죠.
피해자,네
사기범,고객님으로 인해서 이게 왜냐면 저희 쪽에 법적으로 민원 제기나 이의제기나 이런 부분 고객님으로 인해서 제삼자나 이런 부분으로 해서 저희 쪽에 이의 제기하는 부분 안 들어오면은 문제가 없다는 얘깁니다. 하시는 과정 중에. 이게 편법인 부분이다 보니까 법적인 책임이 좀 가져가셔가지고는 전산팀에 저희가 의뢰를 할려면은 이 정도는 고객님 그래도 이게 되셔야 그 전산에서 이게 그게 떨어지셔야만이 이분도 작업들어갈 수 있는 거거든요
피해자,예
사기범,예 이해 되시는 거세요?
피해자,네네 이해 되요
사기범,네 그래서 일단은 시간상 관계로 고객님이 지금 네시잖아요
피해자,네
사기범,네 그래서 일단 저희는 요거 한시간 정도 시간 넉넉히 잡고 지금 처리하시게 되시면은 늦어도 5시 반이나 늦어도 정말 정말 늦어도 여섯 시까지는 이거 결제날 수 있는 건데 그러니까 자체 처리 날수 있는건데 그렇게 해서 고객님 진행 가능하시다고 하시면 제가 전산팀에 지금 그 작업할 수 있는 관리자 분을 일단 저희도 섭외를 해야 돼요 여기에 대해서 설명을 해주고
피해자,네
사기범,섭외를 해서 예 그분 가상 계좌로 안내가 들어오시는 거기 때문에 안내 들어오시면은 저희가 이게 소득이 되는 부분이 아니기 때문에 저희 회사 법인 계좌로 저희가 받으면 안 돼요 이거는 앞으로 저희가 반납 처리 들어가야 되는 거고 어쨌든 작업 건으로 편법적으로 이루어 지는 거기 때문에 그래서 예 고객님이 동의를 하시면은 제가 요거는 전산팀에 작업하시는 관리자 분 섭외해서 그분 가상 계좌로 해서 저희가 안내를 해줄 거구요 고객님이 수납 처리 들어오시면은 저희가 영수증을 발급해서 본인 이름으로요
피해자,예
사기범,영수증 발급되면 영수증 남바가 있을 거 아니에요
피해자,네
사기범,그거를 저희가 전산에 입력을 하자 마니 이게 동의가 되신 걸로 하셔가지고 전산 작업이 이루어 지시는 거에요
피해자,아
사기범,"이루어 지면은 예 한 시간 안으로 작업이 마무리되시는 대로 대출금 팔백만원과 동시에 이거는 동시에 이백만원 반납 처리 들어가면 안 되는 거라 실질적으로 고객님 1,000만원 받는 거랑 마찬가지인데 그 중에 팔백만원은 제가 지금 이거 고객님 본인이 이백만원 저희쪽으로 위험부담으로 걸어 주신 거는 일원 한 장 빠짐없이 본인한테 다시 반납처리 들어 가시는 건데 같이 들어 가시면은 전산에 천만원 대출 받는걸로 지금 상환할 때 오해가 생기는 경우가 많아서 일단은 먼저 팔 백원 대출금 나가고 반납금은 계속 입금됐다는 부분에 대해서 확인이 되시면은 저희가 이 백만원에 대해서 다시 반납금으로 처리해준다 이 얘기에요"
피해자,아 네 알겠어요
사기범,그리고 절대 여기에서 대출 고객님 이거 오늘 당일 입금 받고 나서 이렇게 해서 받는다 혹은 받았다 이런 얘기 절대 하시면 안 돼요 고객님 이게 금융사에서 이거는 대출 내어 주는 입장에서 이렇게 편법적으로 작업하는 건 어느 금융사도 다 하시는 거겠지만은 오픈을 해놓고 하시는 데 없어요. 다 쉬쉬해서 뽑아 주는거지
피해자,네 알겠어요 괜히 또 딴사람에게 말했다가 클레임 걸고 왜 난 안되냐 막 이렇게 될 수 있으니까
사기범,그러니까 예 예 그래서 이렇게 해서 진행을 해주시는 부분으로 부장님께서 얘기를 하시는데 결제과에서 아 예 고객님 요거 이백만원 부분에 대해서 부담하시는 부분이라고 하시면은 지금 제가 저희 쪽 작업하시는 관리자분 제가 섭외를 해서 계좌 번호 지금 바로 안내해 줄 거거든요
피해자,네네
사기범,아 그러면 고객님 이거 수납 처리하시는 거 혹시 어느 은행으로 하실 거에요
피해자,수납 처리가 어떤 수납처린가요?
사기범,이백만원 이거 위험 부담을 걸어 주시는 거 혹시 어느 은행으로 고객님이 입금 처리할 거냐고요
피해자,아 그 계좌 가르쳐 주시면 그쪽으로 제가 그냥 입금하면 되는거 아니에요?
사기범,그쵸 입금하시면 되시는데 제 얘기는 고객님이 어느 은행으로 하실 거냐고 같이 은행이시면 제같은 은행으로 배정해 달라고 요청을 할려고 고객님
피해자,아 저 같은 은행.. 우체국꺼죠. 거기에 아 돈이 있으니까
사기범,아 우체국으로 그러면 계좌 이체하시는 거예요? 은행 가셔서 하셔야 되는 거예요 아니면
피해자,그냥 모바일로 모바일 폰뱅킹
사기범,아 그러세요 알겠습니다 그럼 제가 지금 이거 관리자분 바로 섭외를 해가지고요 고객님 계좌번호 알려 드릴거니까 일단은 예 조금 대기하고 계세요 지금 제가 작업하신 관리자분 섭외해서 바로 알려 드리겠습니다
피해자,예
사기범,예
