Role,Dialogue
피해자,아까 좀 전에 전화 드렸었는데 담당자가 모른다고 말씀 드리면서 했던 사람이거든요.
사기범,성함이 어떻게 되시죠?
피해자,OOO이요.
사기범,아 네 잠시만요. 주민 번호 앞자리 확인 부탁 드리겠습니다.
피해자,OOOOOO요.
사기범,예 아 혹시 공철 팀장님 앞으로 지금 접수되는 걸로 나오는데 저희 바로 연결해 드릴까요?
피해자,네 네 네
사기범,네 잠시만요.
피해자,아 죄송한데 담당자 성함이 어떻게 되신다고요?
사기범,공철 요 공철 팀장님.
피해자,아 네 알겠습니다.
사기범,네 잠시 만요.
피해자,예
사기범,예 감사합니다
피해자,네 아까 저기 심사 결과 나오는데로 전화 주신다고 했었는데
사기범,잠시만요. 고객님 성함 말씀해주세요.
피해자,OOO요.
사기범,OOO 고객님이요. 잠시만요. 아 예 안녕하세요 고객님.
피해자,네 네 네. 그 저기 뭐야 내가 궁금한게 일단 바꿔드림론에 대해서 얘기를 하셨잖아요.
사기범,네 고객님
피해자,바꿔드림론에 대해서 제가 찾아보니까 그 고금리를 사용하는 사람한테 한에서 된다고 알고 있는데
사기범,네 맞습니다.
피해자,그러니까 캐피탈에서 캐피탈로 넘어가는 건데 그게 가능 한가요?
사기범,일단 캐피탈에서 몇 프로 금리 사용하세요? 이거는 제가 같은 경우는 국민 행복 기금에서 그 고객님한테 이제 보증을 서서 저금리로 가능하신 거잖아요. 그렇기 때문에 일단 이십프로 이상 사용하시는 금 상품이 있으시면 그 부분을 저금리로 해서 팔 프로에서 십이프로 금리로 해서 갈아타시는 상품이세요.
피해자,제가 십팔점 육프로에요. 그럼 안되지 않나요?
사기범,십사점 육프로요?
피해자,아니 십팔이요.
사기범,십팔 프로요?
피해자,네
사기범,아이고 최저 최저 이십프로 이상 사용하시는 상품에 한해서 갈아타실 수가 있으세요.
피해자,근데 아까 그런거 물어보시지도 않으셔서 그래서 일단 저는 개인적으로 말씀드리기는 했는데. 찝찝해가지고 한번 더 전화 드린거거든요.
사기범,아 확인 차 전화 주신 거예요?
피해자,네 네
사기범,음 근데 죄송한데 아직까지 현재 그 심사 결과가 안나왔어요.
피해자,네 네
사기범,"아까 말씀을 드렸는데 빠르면 이십분 길면 한시간 정도 소요가 될 거라고 말씀드렸는데,"
피해자,그럼 거기가 농협 캐피탈 어느 지점이에요?
사기범,영등포 지점이에요
피해자,아 영등포에요?
사기범,예 검색하시면 나오시는데?
피해자,아니 전화 번호 검색을 해봤는데 전화 번호가 안나와서
사기범,"농협 캐피탈 본사 대표 번호 확인 안 되세요? 그리고 이 지점이, 이 번호는 저희 그 심사부 내선 번호세요."
피해자,네 네.. 아 그래서 제가..
사기범,아까 인사 드릴 때 심사부라고 안내 인사 먼저 드렸었는데
사기범,"아 상관 없으세요. 확인해 주시구요, 전화 주세요."
사기범,예 공 철입니다. 외잡니다.
피해자,"아 네 네, 영등포 지점이라고 하셨죠?"
사기범,네
피해자,아 예 알겠습니다.
