Role,Dialogue
피해자,여보세요
사기범,네 ㅇㅇ고객님 되시죠?
피해자,네
사기범,안녕하세요 저희 kb캐피탈입니다 고객님
피해자,네
사기범,지금 전화드린게 다른게 아니구요 지금 저희쪽에서 1차 한도금액이 나오셔서 연락드렸어요 통화 가능하세요?
피해자,네
사기범,왜냐면 저희쪽같은경우에 저희 신용대출이 아니시고 정부 지원금이세요 상품 이름이 서민금융나들목이라고 하구요 실제 한도금액이 3800만원에서 금리는 6.8%되더라구요 그래서 확인을 해보고 연락드렸어요
피해자,네
사기범,일단 고객님께서 기존에 쓰고있던 대출 지금 어디에서 얼마정도 받고있어요? 다시한번확인부탁드릴게요
피해자,정확히는 모르겠어요
사기범,대략적으로 말씀해주세요
피해자,삼사천 되는것같아요
사기범,어디에서 얼마정도 받았어요
피해자,4군데정도 되거든요 러시앤캐쉬 산와머니
사기범,러시에서 얼마받았어요
피해자,천만원정도
사기범,산와머니에서
피해자,천만원
사기범,네 그다음에요
피해자,오케이 저축은행
피해자,거기도 그정돕니다
피해자,그리고 한군데 기억이 잘 안나요 봐야할거같아요
사기범,좀 봐주시고 제가 5분뒤에 다시 연락 드릴까요
피해자,정확하게 그걸 알아야하나요?
사기범,대략적으로 말씀해주시면 되요 저희가 심사과랑 통화를 해봐야하니까 그거는 심사과랑 통화를 하실때도 간단하게 말씀해주시면 되구요
사기범,어차피 저희쪽에서 정부지원금이다보니까 전산에서 확인해보고 연락드린거잖아요
피해자,네
사기범,그래서 대략적으로 얼마정도 남아있는지도 말씀해주시면 더 좋으신거죠
피해자,조회하니까 다 알고 계실텐데요
사기범,저희쪽에는 조회를 해본적은 없는거잖아요 네
피해자,네
사기범,이따가 5분뒤에 다시 연락 드릴게요
피해자,네
